minute,value
1.0,-7
2.0,-10
3.0,-6
4.0,28
5.0,93
6.0,60
7.0,75
8.0,58
9.0,36
10.0,17
11.0,16
12.0,7
13.0,8
14.0,3
15.0,11
16.0,5
17.0,-31
18.0,-79
19.0,-43
20.0,-27
21.0,-21
22.0,45
23.0,20
24.0,17
25.0,11
26.0,7
27.0,1
28.0,2
29.0,-30
30.0,-17
31.0,-9
32.0,-5
33.0,6
34.0,5
35.0,-5
36.0,6
37.0,14
38.0,-20
39.0,-12
40.0,-11
41.0,-16
42.0,-10
43.0,11
44.0,10
45.0,7
45.5,10
46.0,7
47.0,40
48.0,50
49.0,36
50.0,22
51.0,13
52.0,6
53.0,12
54.0,2
55.0,-5
56.0,-12
57.0,-7
58.0,6
59.0,2
60.0,-30
61.0,-26
62.0,-16
63.0,-10
64.0,6
65.0,98
66.0,61
67.0,67
68.0,81
69.0,53
70.0,100
71.0,66
72.0,38
73.0,20
74.0,12
75.0,1
76.0,1
77.0,-140
78.0,-73
79.0,-83
80.0,-55
81.0,-32
82.0,-14
83.0,-3
84.0,7
85.0,75
86.0,51
87.0,1
88.0,1
89.0,-10
90.0,-11
90.5,40
