match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,outfielderBlock,unsuccessfulTouch,totalCross,shotOffTarget,shotValueNormalized,accurateCross,dispossessed,blockedScoringAttempt,keyPass,clearanceOffLine,wonContest,onTargetScoringAttempt,goals,bigChanceMissed,bigChanceCreated,hitWoodwork,totalOffside,lastManTackle
14015405,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,37.0,23.0,27.0,13.0,0.0,15.0,17.0,8.0,20.0,1.0,1.0,1.0,17.0,1.0,1.0,4.0,1.0,1.0,90.0,49.0,9.0,14.0,1.8378,"{'original': 9, 'alternative': 7.7}",0,0.08,-0.12,0.41,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,62.16216216216216,48.148148148148145,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,15.0,11.0,5.0,2.0,0.0,4.0,5.0,7.0,10.0,,4.0,3.0,1.0,,,,,,90.0,37.0,7.0,8.0,,"{'original': 7, 'alternative': 6.9}",0,0.18,-0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,73.33333333333333,40.0,,,,4.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,22.0,17.0,3.0,1.0,0.0,13.0,15.0,4.0,7.0,3.0,4.0,5.0,2.0,,,,,,63.0,32.0,7.3,5.0,,"{'original': 7.3, 'alternative': 7.2}",0,0.09,0.05,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,77.27272727272727,33.33333333333333,,,,1.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,27.0,20.0,6.0,4.0,0.0,12.0,14.0,8.0,13.0,3.0,8.0,4.0,3.0,,,,,,90.0,39.0,7.3,8.0,,"{'original': 7.3, 'alternative': 7.1}",0,0.11,0.01,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,5,3,74.07407407407408,66.66666666666666,,,,1.0,4.0,1.0,,,5.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,24.0,19.0,3.0,1.0,0.0,13.0,16.0,6.0,8.0,,2.0,4.0,5.0,,,,,,90.0,46.0,7.5,12.0,,"{'original': 7.5, 'alternative': 7.4}",0,0.33,0.01,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,79.16666666666666,33.33333333333333,,,,,1.0,,,1.0,2.0,2.0,,1.0,,2.0,3.0,,,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,M,37,False,24.0,18.0,2.0,2.0,0.0,10.0,13.0,8.0,11.0,,4.0,5.0,3.0,,,,,,90.0,43.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.8}",2,0.12,-0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,75.0,100.0,,,,3.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,2.0,-0.36,,,,,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,33.0,17.0,7.0,1.0,0.0,9.0,12.0,8.0,21.0,4.0,9.0,1.0,7.0,,,,,,90.0,51.0,7.1,21.0,,"{'original': 7.1, 'alternative': 6.9}",1,0.26,0.14,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,5,3,51.515151515151516,14.285714285714285,33.33333333333333,,,3.0,6.0,,,,,,5.0,2.0,,2.0,3.0,,-0.12,1.0,1.0,1.0,1.0,,,,,,,,,
14015405,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,17.0,10.0,2.0,,0.0,4.0,6.0,6.0,11.0,1.0,5.0,1.0,1.0,,,,,,57.0,31.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.5}",0,0.1,0.09,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,58.82352941176471,,,,,,3.0,,,,2.0,1.0,2.0,2.0,1.0,2.0,,,,,1.0,,1.0,1.0,,,,,,,,
14015405,home,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,False,32.0,25.0,5.0,4.0,0.0,12.0,12.0,13.0,20.0,,4.0,,7.0,,,,,,81.0,50.0,8.7,13.0,,"{'original': 8.7, 'alternative': 7.8}",2,0.49,0.3,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,78.125,80.0,40.0,50.0,,,3.0,1.0,4.0,1.0,,,2.0,,,1.0,5.0,,0.53,2.0,,1.0,1.0,,2.0,1.0,1.0,,,,,
14015405,home,7771,FK Mladost Lučani,1835422,Ognjen Bondžulić,ognjen-bondzulic,M,11,False,10.0,7.0,,,0.0,3.0,4.0,4.0,6.0,1.0,11.0,1.0,4.0,,,,,,90.0,43.0,6.5,16.0,,"{'original': 6.5, 'alternative': 6.2}",1,0.03,0.62,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,2,23,10,13,70.0,,,41.66666666666667,,1.0,14.0,3.0,12.0,2.0,2.0,1.0,3.0,1.0,,2.0,,1.0,-0.53,,2.0,,,,5.0,,,1.0,,,,
