match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,penaltyConceded,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,penaltyWon
14147365,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,53.0,50.0,4.0,4.0,0.0,24.0,25.0,23.0,24.0,0.0,0.0,0.0,1.0,10.0,6.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,68.0,7.3,7.0,0.0,0.12,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,94.33962264150944,100.0,,100.0,,,1.0,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,False,20.0,15.0,4.0,3.0,0.0,3.0,4.0,10.0,14.0,1.0,0.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,70.0,33.0,6.5,12.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,2,12,75.0,75.0,0.0,100.0,,,,3.0,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,30.0,22.0,3.0,1.0,0.0,6.0,6.0,15.0,22.0,3.0,1.0,0.0,3.0,1.0,8.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,40.0,7.4,8.0,0.07,0.2,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,73.33333333333333,33.33333333333333,33.33333333333333,100.0,,,2.0,,,1.0,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,22.0,12.0,1.0,0.0,0.0,3.0,6.0,8.0,15.0,0.0,0.0,2.0,0.0,10.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,5.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,78.0,37.0,6.6,12.0,0.13,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,54.54545454545454,0.0,,0.0,,,,,1.0,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,42.0,34.0,5.0,3.0,0.0,9.0,9.0,25.0,33.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,11.0,8.0,2.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,69.0,7.3,10.0,0.34,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,9,9,80.95238095238095,60.0,0.0,72.72727272727273,,,,1.0,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,23.0,15.0,1.0,0.0,0.0,6.0,7.0,9.0,16.0,0.0,0.0,4.0,10.0,14.0,13.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,,,,,,,90.0,41.0,7.6,17.0,1.23,0.0,"{'original': 7.6, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,14,13,3,10,65.21739130434783,0.0,,0.0,,,,,,2.0,
14147365,away,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,True,4.0,2.0,1.0,1.0,0.0,,,2.0,4.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,20.0,9.0,7.3,3.0,0.0,0.07,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,50.0,100.0,,,,,1.0,,,,1.0
14147365,away,6219,FK Jedinstvo Bijelo Polje,1982085,Velid Škrijelj,velid-skrijelj,D,18,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.0,1.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,M,4,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.0,1.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,
14147365,away,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,True,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,2.0,6.6,0.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,100.0,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1166154,Mladen Kovačević,mladen-kovacevic,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147365,away,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
