player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime,goalType
"{'name': 'Tomislav Dadić', 'slug': 'tomislav-dadic', 'shortName': 'T. Dadić', 'position': 'D', 'jerseyNumber': '50', 'userCount': 57, 'gender': 'M', 'id': 978293, 'fieldTranslations': {'nameTranslation': {'ar': 'توميسلاف داديتش'}, 'shortNameTranslation': {'ar': 'ت. داديتش'}}}",False,miss,fast-break,"{'x': 6.1, 'y': 30.5, 'z': 0}",left-foot,right,"{'x': 0, 'y': 31.9, 'z': 15.3}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6407823,84,5024,"{'start': {'x': 30.5, 'y': 6.1}, 'end': {'x': 68.1, 'y': 0}, 'goal': {'x': 68.1, 'y': 84.7}}",7,376,2324,shot,,,
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",False,save,assisted,"{'x': 24.8, 'y': 33.1, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.9, 'z': 3.8}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6407822,84,4989,"{'start': {'x': 33.1, 'y': 24.8}, 'block': {'x': 47.1, 'y': 2.4}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 96.2}}",7,411,2289,shot,"{'x': 2.4, 'y': 47.1, 'z': 0}",,
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,miss,assisted,"{'x': 9.4, 'y': 55.2, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63, 'z': 31.9}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6407821,72,4299,"{'start': {'x': 55.2, 'y': 9.4}, 'end': {'x': 37, 'y': 0}, 'goal': {'x': 37, 'y': 68.1}}",19,1101,1599,shot,,,
"{'name': 'Issa Bah', 'slug': 'bah-issa', 'shortName': 'I. Bah', 'position': 'F', 'jerseyNumber': '77', 'userCount': 88, 'gender': 'M', 'id': 987250, 'fieldTranslations': {'nameTranslation': {'ar': 'باه، عيسى', 'bn': 'বাহ, ইসা', 'hi': 'बाह, इस्सा'}, 'shortNameTranslation': {'ar': 'ع. باه', 'bn': 'আই. বাহ', 'hi': 'आई. बाह'}}}",False,miss,assisted,"{'x': 21.3, 'y': 69.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 63.9, 'z': 13.9}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6407820,72,4290,"{'start': {'x': 69.6, 'y': 21.3}, 'block': {'x': 43.3, 'y': 6.6}, 'end': {'x': 36.1, 'y': 0}, 'goal': {'x': 36.1, 'y': 86.1}}",19,1110,1590,shot,"{'x': 6.6, 'y': 43.3, 'z': 0}",,
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",True,miss,set-piece,"{'x': 11, 'y': 44, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 39.3, 'z': 43.1}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6398115,69,4095,"{'start': {'x': 44, 'y': 11}, 'end': {'x': 60.7, 'y': 0}, 'goal': {'x': 60.7, 'y': 56.9}}",22,1305,1395,shot,,,
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",False,miss,regular,"{'x': 18.4, 'y': 47.4, 'z': 0}",right-foot,right,"{'x': 0, 'y': 36.8, 'z': 15.3}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6398112,67,3960,"{'start': {'x': 47.4, 'y': 18.4}, 'end': {'x': 63.2, 'y': 0}, 'goal': {'x': 63.2, 'y': 84.7}}",24,1440,1260,shot,,,
"{'name': 'Lazar Zličić', 'firstName': '', 'lastName': '', 'slug': 'lazar-zlicic', 'shortName': 'L. Zličić', 'position': 'M', 'jerseyNumber': '59', 'userCount': 39, 'gender': 'M', 'id': 799015, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار زليتش'}, 'shortNameTranslation': {'ar': 'ل. زليتش'}}}",True,miss,assisted,"{'x': 25.3, 'y': 27.6, 'z': 0}",right-foot,high,"{'x': 0, 'y': 48.1, 'z': 61.1}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6398108,65,3872,"{'start': {'x': 27.6, 'y': 25.3}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 38.9}}",26,1528,1172,shot,,,
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,save,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.8, 'z': 5.1}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6398075,59,3511,"{'start': {'x': 50, 'y': 11.5}, 'block': {'x': 50, 'y': 1.2}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 94.9}}",32,1889,811,shot,"{'x': 1.2, 'y': 50, 'z': 0}",,
"{'name': 'Lazar Zličić', 'firstName': '', 'lastName': '', 'slug': 'lazar-zlicic', 'shortName': 'L. Zličić', 'position': 'M', 'jerseyNumber': '59', 'userCount': 39, 'gender': 'M', 'id': 799015, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار زليتش'}, 'shortNameTranslation': {'ar': 'ل. زليتش'}}}",True,block,assisted,"{'x': 11.3, 'y': 31.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6398070,58,3423,"{'start': {'x': 31.5, 'y': 11.3}, 'block': {'x': 38.8, 'y': 6.6}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",33,1977,723,shot,"{'x': 6.6, 'y': 38.8, 'z': 0}",,
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",False,miss,assisted,"{'x': 11.9, 'y': 33.3, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.8, 'z': 41.7}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6397888,45,2761,"{'start': {'x': 33.3, 'y': 11.9}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 58.3}}",1,2639,61,shot,,2.0,
"{'name': 'Wajdi Sahli', 'slug': 'wajdi-sahli', 'shortName': 'W. Sahli', 'position': 'M', 'jerseyNumber': '7', 'userCount': 230, 'gender': 'M', 'id': 1013823, 'fieldTranslations': {'nameTranslation': {'ar': 'وجدي السهلي'}, 'shortNameTranslation': {'ar': 'و. السهلي'}}}",False,miss,free-kick,"{'x': 26.5, 'y': 48.4, 'z': 0}",right-foot,high,"{'x': 0, 'y': 51.1, 'z': 76.4}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6397887,44,2589,"{'start': {'x': 48.4, 'y': 26.5}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 23.6}}",2,111,2589,shot,,,
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,save,assisted,"{'x': 7.9, 'y': 46.9, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 47.3, 'z': 27.2}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6397884,42,2491,"{'start': {'x': 46.9, 'y': 7.9}, 'block': {'x': 50.9, 'y': 1.1}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 72.8}}",4,209,2491,shot,"{'x': 1.1, 'y': 50.9, 'z': 0}",,
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",False,goal,assisted,"{'x': 10.5, 'y': 54.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 2.5}","{'name': 'Vladimir Savić', 'firstName': 'Vladimir Savic', 'lastName': '', 'slug': 'vladimir-savic', 'shortName': 'V. Savić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 24, 'gender': 'M', 'id': 1147879, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير سافيتش'}, 'shortNameTranslation': {'ar': 'ف. سافيتش'}}}",6397872,37,2208,"{'start': {'x': 54.2, 'y': 10.5}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 97.5}}",9,492,2208,shot,,,regular
