match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalContest,wonContest,outfielderBlock,shotOffTarget,shotValueNormalized,blockedScoringAttempt,keyPass,bigChanceMissed,onTargetScoringAttempt,penaltyMiss,totalOffside,lastManTackle,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateCross,penaltyConceded,errorLeadToAShot,bigChanceCreated,goals
14015565,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,28.0,20.0,8.0,6.0,0.0,8.0,10.0,12.0,18.0,2.0,,,45.0,35.0,6.9,8.0,111.97267606416,10.0,37.695,27.825,,"{'original': 6.9, 'alternative': 6.9}",1,0.1,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,71.42857142857143,75.0,,100.0,,,,2.0,3.0,,,,,1.0,,,1.0,1.0,1.0,28.580507500743,1.0,1.0,1.0,,1.0,-0.12,,,,,,,,,,,,,,,,
14015565,home,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,4.0,4.0,,,0.0,,,4.0,4.0,3.0,,,27.0,7.0,6.3,2.0,13.587798819296,3.0,-4.62,2.625,,"{'original': 6.3, 'alternative': 6.3}",0,0.01,-0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,100.0,,,,,,,4.0,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,15.0,13.0,3.0,1.0,0.0,7.0,8.0,6.0,7.0,1.0,,,15.0,19.0,6.6,2.0,57.441605311369,8.0,-4.935,4.62,,"{'original': 6.6, 'alternative': 6.6}",0,0.04,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,86.66666666666667,33.33333333333333,,,,,,3.0,2.0,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,True,2.0,,1.0,,0.0,,1.0,,1.0,,,,1.0,3.0,,2.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,,,,,,,,3.0,,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,374281,FK Napredak Kruševac,1855771,Mateja Gajić,mateja-gajic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,263772,FK Napredak Kruševac,2296728,Aleksa Djordjevic,aleksa-djordjevic,G,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,20.0,11.0,12.0,4.0,0.0,9.0,10.0,2.0,10.0,14.0,2.0,4.0,90.0,34.0,8.4,9.0,3.1977243470944,1.0,-0.105,-0.105,0.8617,"{'original': 8.4, 'alternative': 8.4}",0,0.06,0.04,0.85,0.63,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,55.00000000000001,33.33333333333333,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
