match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt
15280993,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,18.0,17.0,11.0,10.0,0.0,7.0,7.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,90.0,27.0,7.4,6.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,94.44444444444444,90.9090909090909,,,0.0,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,808565,Haris Banda,haris-banda,D,24,False,22.0,15.0,7.0,4.0,0.0,8.0,9.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,62.0,26.0,7.0,7.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,68.18181818181817,57.14285714285714,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,24.0,15.0,7.0,4.0,0.0,12.0,16.0,2.0,4.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,26.0,7.2,10.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,62.5,57.14285714285714,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,40.0,27.0,10.0,6.0,0.0,18.0,20.0,9.0,15.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,45.0,7.0,11.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,67.5,60.0,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1381385,Nihad Balić,nihad-balic,D,2,False,32.0,15.0,11.0,3.0,0.0,5.0,12.0,8.0,18.0,0.0,0.0,0.0,2.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,90.0,40.0,7.2,12.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,3,7,46.875,27.27272727272727,,100.0,,1.0,1.0,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,33.0,20.0,1.0,0.0,0.0,9.0,15.0,10.0,16.0,0.0,0.0,2.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,40.0,7.1,16.0,0.02,0.09,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,5,6,60.60606060606061,0.0,,,,1.0,1.0,1.0,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,30.0,23.0,5.0,3.0,0.0,8.0,11.0,13.0,15.0,0.0,0.0,1.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,90.0,41.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,3,9,76.66666666666667,60.0,,,,,,1.0,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,23.0,14.0,3.0,1.0,0.0,1.0,2.0,12.0,20.0,5.0,3.0,2.0,1.0,15.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,,,,,,77.0,35.0,6.4,13.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,1,13,60.86956521739131,33.33333333333333,60.0,100.0,,,,3.0,
15280993,home,6219,FK Jedinstvo Bijelo Polje,2246412,Lucas Estabio,lucas-estabio,M,32,False,9.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,44.0,21.0,6.8,7.0,0.08,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,5,6,44.44444444444444,0.0,0.0,100.0,,,,2.0,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1000576,Andrej Đukić,andrej-dukic,M,30,False,11.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,5.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,,,,,,77.0,25.0,7.3,6.0,0.09,0.02,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,54.54545454545454,0.0,,100.0,,,2.0,,2.0
