minute,value
0.0,0
1.0,8
2.0,57
3.0,42
4.0,31
5.0,28
6.0,26
7.0,27
8.0,23
9.0,10
10.0,7
11.0,16
12.0,9
13.0,12
14.0,9
15.0,1
16.0,-5
17.0,-13
18.0,-2
19.0,-1
20.0,12
21.0,8
22.0,7
23.0,10
24.0,12
25.0,3
26.0,9
27.0,11
28.0,8
29.0,1
30.0,-9
31.0,-9
32.0,7
33.0,2
34.0,-5
35.0,-1
36.0,-25
37.0,-20
38.0,-12
39.0,-6
40.0,6
41.0,3
42.0,3
43.0,-10
44.0,-6
45.0,-4
45.5,10
46.0,6
47.0,39
48.0,18
49.0,16
50.0,14
51.0,17
52.0,52
53.0,27
54.0,10
55.0,81
56.0,47
57.0,19
58.0,12
59.0,7
60.0,-2
61.0,-12
62.0,-8
63.0,5
64.0,-66
65.0,-65
66.0,-49
67.0,-25
68.0,-61
69.0,-33
70.0,-29
71.0,-23
72.0,-15
73.0,-2
74.0,-32
75.0,-25
76.0,-21
77.0,-14
78.0,-1
79.0,21
80.0,17
81.0,39
82.0,27
83.0,20
84.0,14
85.0,7
86.0,-2
87.0,-57
88.0,-76
89.0,-47
90.0,-30
90.5,-45
