match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalTackle,wonTackle,onTargetScoringAttempt,goals,shotValueNormalized,dispossessed,wonContest,bigChanceCreated,blockedScoringAttempt,outfielderBlock,totalOffside,shotOffTarget,hitWoodwork,ownGoals,bigChanceMissed,errorLeadToAGoal
14015628,home,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,True,13.0,11.0,4.0,3.0,1.0,5.0,5.0,6.0,8.0,,1.0,,3.0,,,,,,25.0,16.0,6.9,3.0,34.101597794041,6.0,4.7071995887994,0.0,,"{'original': 6.9, 'alternative': 7}",0,0.33,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,84.61538461538461,75.0,,100.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,
14015628,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,,,,16.0,2.0,6.2,,,,,,,"{'original': 6.2, 'alternative': 6.1}",0,0.0,,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,,,,,0.0,,,,0.0,,,,,,,,,,9.0,1.0,6.1,1.0,3.8922636087501,1.0,-3.8279860426388,0.0,,"{'original': 6.1, 'alternative': 6.2}",0,-0.02,-0.48,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1579193,Filip Halabrin,filip-halabrin,M,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1068813,Egor Prutsev,egor-prutsev,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,807593,Darko Gojković,darko-gojkovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1186804,Tayrell Wouter,tayrell-wouter,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
