match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,hitWoodwork,totalClearance,ballRecovery,errorLeadToAGoal,unsuccessfulTouch,penaltyConceded,fouls,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelWon,challengeLost,bigChanceCreated,onTargetScoringAttempt,goals,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,aerialLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,wasFouled,outfielderBlock,interceptionWon,totalCross,accurateCross,bigChanceMissed,shotOffTarget,blockedScoringAttempt,savedShotsFromInsideTheBox,errorLeadToAShot,penaltyWon,totalOffside
14015596,home,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,home,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,30.0,19.0,15.0,4.0,0.0,17.0,21.0,2.0,9.0,,,1.0,8.0,,,,,,1.0,1.0,,,90.0,40.0,5.7,11.0,61.741092656065,11.0,35.309945375975,0.0,0.0022,"{'original': 5.7, 'alternative': 5.9}",0,0.07,0.0,-0.31,-0.92,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,63.33333333333333,26.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
14015596,away,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,38.0,32.0,1.0,1.0,0.0,20.0,22.0,12.0,16.0,3.0,,,3.0,,4.0,,,,,,,,63.0,62.0,6.1,13.0,135.24012392315,17.0,-10.507659102249,0.0,,"{'original': 6.1, 'alternative': 6.5}",0,-0.13,0.05,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,84.21052631578947,100.0,,33.33333333333333,,,3.0,1.0,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,61.0,52.0,8.0,2.0,0.0,37.0,40.0,15.0,21.0,2.0,,4.0,3.0,,,,1.0,,,,,,77.0,71.0,6.4,9.0,259.0631903677,28.0,107.38437010466,2.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.25,0.12,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,85.24590163934425,25.0,,,,,3.0,,,,,26.456066682198,52.715326457219,,,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,
14015596,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,68.0,54.0,13.0,5.0,0.0,37.0,42.0,17.0,26.0,2.0,,8.0,4.0,,2.0,,,,,,,,90.0,83.0,6.8,16.0,260.36013845019,36.0,143.06327158333,0.0,,"{'original': 6.8, 'alternative': 6.4}",0,0.31,0.15,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,79.41176470588235,38.46153846153847,,,,1.0,2.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,
14015596,away,43981,FK Radnički 1923,804844,Bojan Kovačević,bojan-kovacevic,D,34,False,32.0,29.0,5.0,3.0,0.0,15.0,16.0,14.0,16.0,3.0,1.0,4.0,5.0,,,,2.0,,,,,,90.0,61.0,6.9,10.0,124.87466343288,17.0,43.95618301818,0.0,,"{'original': 6.9, 'alternative': 7}",0,0.49,-0.55,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,90.625,60.0,50.0,,,2.0,4.0,,,,,,,3.0,,1.0,,,,1.0,,1.0,,2.0,6.0,3.0,,,,,,,
14015596,away,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,False,45.0,36.0,6.0,4.0,0.0,22.0,26.0,14.0,19.0,,,2.0,5.0,,,,,,,,,,77.0,55.0,7.2,9.0,104.05824195313,15.0,-19.687737380794,0.0,,"{'original': 7.2, 'alternative': 6.9}",0,0.07,0.14,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,80.0,66.66666666666666,,100.0,,,3.0,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,20.0,16.0,1.0,1.0,0.0,10.0,12.0,6.0,8.0,1.0,,2.0,3.0,,2.0,,,,,,,,63.0,34.0,6.7,11.0,150.80437695133,13.0,99.997118718302,3.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.02,0.2,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,80.0,100.0,25.0,,,,2.0,,1.0,,,28.724459154497,69.608998088763,1.0,,,,1.0,,1.0,1.0,1.0,,,4.0,1.0,,,,,,,
14015596,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,False,38.0,28.0,7.0,3.0,0.0,18.0,21.0,10.0,17.0,11.0,,1.0,7.0,,,,2.0,,,,,,90.0,56.0,5.8,16.0,155.06125933257,19.0,53.028429606485,0.0,,"{'original': 5.8, 'alternative': 6}",2,-0.14,0.13,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,4,7,73.68421052631578,42.857142857142854,,,,2.0,6.0,1.0,,,,,,,-0.06,4.0,3.0,2.0,,3.0,1.0,1.0,,2.0,,,,2.0,,,1.0,,
14015596,away,43981,FK Radnički 1923,1133670,Mohamed Cissé,mohamed-cisse,M,10,False,17.0,10.0,1.0,,1.0,2.0,2.0,8.0,15.0,7.0,,,9.0,,5.0,,1.0,,,,,,90.0,47.0,7.4,15.0,271.68599059002,22.0,168.82817275165,4.0,,"{'original': 7.4, 'alternative': 7.5}",4,0.5,0.35,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,11,4,58.82352941176471,,,66.66666666666666,,1.0,12.0,,1.0,1.0,,29.10061800823,112.65891685648,1.0,0.08,3.0,1.0,6.0,4.0,1.0,1.0,6.0,,1.0,,,,2.0,1.0,,,,
