match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,shotValueNormalized,dispossessed,wonContest,wasFouled,challengeLost,keyPass,accurateCross,onTargetScoringAttempt,goals,bigChanceCreated,penaltyWon,totalOffside,penaltyConceded,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,punches,clearanceOffLine,outfielderBlock,errorLeadToAShot
14015462,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,30.0,25.0,7.0,2.0,0.0,24.0,25.0,1.0,5.0,2.0,8.0,1.0,1.0,1.0,90.0,39.0,6.7,6.0,-0.0013,"{'original': 6.7, 'alternative': 6.9}",0,0.03,0.03,0.19,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,28.57142857142857,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,21.0,16.0,4.0,1.0,0.0,7.0,9.0,9.0,12.0,2.0,2.0,,,,75.0,36.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.7}",3,0.2,-0.55,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,76.19047619047619,25.0,,,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,-0.32,,,,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,51.0,45.0,11.0,9.0,0.0,28.0,30.0,17.0,21.0,4.0,4.0,,,,90.0,70.0,7.6,11.0,,"{'original': 7.6, 'alternative': 7.5}",1,0.36,0.22,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,6,1,88.23529411764706,81.81818181818183,,100.0,,,3.0,3.0,4.0,9.0,1.0,,1.0,,1.0,4.0,3.0,4.0,1.0,-0.04,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,44.0,37.0,5.0,3.0,0.0,26.0,28.0,11.0,16.0,4.0,8.0,,,,90.0,51.0,6.7,7.0,,"{'original': 6.7, 'alternative': 7}",0,0.08,0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,84.0909090909091,60.0,,,,,2.0,2.0,5.0,2.0,,,,,1.0,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14015462,home,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,44.0,35.0,5.0,4.0,0.0,16.0,19.0,19.0,25.0,2.0,10.0,,,,90.0,66.0,7.8,12.0,,"{'original': 7.8, 'alternative': 7.9}",1,0.26,0.45,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,79.54545454545455,80.0,,100.0,,1.0,2.0,,4.0,6.0,1.0,,1.0,,,3.0,3.0,,1.0,0.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,
14015462,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,30.0,25.0,3.0,1.0,0.0,11.0,14.0,14.0,16.0,,3.0,,,,89.0,48.0,6.8,11.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.26,0.28,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,83.33333333333334,33.33333333333333,57.14285714285714,,,7.0,,,4.0,2.0,,,,,3.0,1.0,,2.0,1.0,-0.2,1.0,,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,25.0,20.0,1.0,1.0,0.0,7.0,7.0,13.0,18.0,2.0,9.0,,,,90.0,42.0,6.9,10.0,,"{'original': 6.9, 'alternative': 7.6}",4,0.04,0.32,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,80.0,100.0,,,,,,,3.0,3.0,,1.0,1.0,,1.0,1.0,1.0,5.0,1.0,0.25,,,2.0,2.0,,,3.0,1.0,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,29.0,23.0,,,1.0,6.0,7.0,17.0,22.0,,8.0,,,,90.0,49.0,8.4,14.0,,"{'original': 8.4, 'alternative': 8.3}",2,0.72,0.66,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,6,2,79.3103448275862,,40.0,75.0,,5.0,,,2.0,6.0,4.0,1.0,2.0,,,2.0,2.0,4.0,,-0.62,,3.0,1.0,1.0,4.0,2.0,,,3.0,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,971009,António Pina Gomes,pina-gomes-antonio,M,11,False,31.0,25.0,4.0,3.0,0.0,11.0,12.0,14.0,19.0,,7.0,,,,75.0,54.0,8.1,12.0,,"{'original': 8.1, 'alternative': 7.6}",0,0.54,0.32,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,11,5,80.64516129032258,75.0,,60.0,,1.0,,1.0,5.0,12.0,5.0,,,,2.0,7.0,4.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,
14015462,home,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,False,13.0,10.0,,,0.0,3.0,3.0,7.0,10.0,2.0,,,,,61.0,19.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.12,0.14,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,76.92307692307693,,,,,,1.0,1.0,2.0,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
