match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,shotValueNormalized,dispossessed,wonContest,wasFouled,challengeLost,keyPass,accurateCross,onTargetScoringAttempt,goals,bigChanceCreated,penaltyWon,totalOffside,penaltyConceded,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,punches,clearanceOffLine,outfielderBlock,errorLeadToAShot
14015462,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,12.0,8.0,,,0.0,5.0,7.0,3.0,5.0,,1.0,,,,89.0,30.0,7.6,10.0,,"{'original': 7.6, 'alternative': 7.9}",2,0.05,0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,66.66666666666666,,,,,,1.0,2.0,3.0,6.0,,1.0,,,,1.0,1.0,4.0,,0.32,2.0,,3.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,
14015462,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,13.0,9.0,,,0.0,2.0,2.0,7.0,11.0,,2.0,,,,29.0,20.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.6}",1,-0.17,0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,69.23076923076923,,,50.0,,1.0,,,4.0,1.0,2.0,1.0,,,,,,1.0,1.0,0.01,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,,,,,,15.0,12.0,6.6,3.0,,"{'original': 6.6, 'alternative': 7.1}",1,0.14,0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,-0.49,,,,,,,1.0,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,,,,,,15.0,14.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.7}",1,-0.15,0.26,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,77.77777777777779,,,,,,,,,1.0,,,1.0,,,,,,,-0.05,,,1.0,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,6.0,6.0,,,0.0,4.0,4.0,2.0,2.0,,,,,,8.0,6.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,0.05,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14015462,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,8.0,3.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.03,-0.21,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,22.0,15.0,10.0,4.0,0.0,11.0,13.0,4.0,9.0,1.0,8.0,5.0,,,90.0,34.0,7.0,8.0,0.342,"{'original': 7, 'alternative': 7.5}",0,-0.02,0.0,-0.54,0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,68.18181818181817,40.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,4.0,1.0,1.0,,,
14015462,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,23.0,21.0,1.0,1.0,0.0,15.0,16.0,6.0,7.0,1.0,7.0,,,,73.0,36.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.09,0.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,91.30434782608695,100.0,,,,,1.0,1.0,1.0,3.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,52.0,47.0,7.0,5.0,0.0,27.0,30.0,20.0,22.0,8.0,1.0,,,,90.0,68.0,7.0,5.0,,"{'original': 7, 'alternative': 7.2}",0,0.07,0.1,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,90.38461538461539,71.42857142857143,,,,,2.0,1.0,6.0,2.0,,,,,2.0,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,
14015462,away,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,48.0,39.0,7.0,3.0,0.0,29.0,31.0,10.0,17.0,2.0,4.0,,,,85.0,64.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.3}",0,0.13,0.11,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,81.25,42.857142857142854,,,,,,1.0,5.0,3.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0
14015462,away,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,39.0,37.0,,,0.0,25.0,25.0,12.0,14.0,,3.0,,,,90.0,62.0,5.8,8.0,,"{'original': 5.8, 'alternative': 6}",1,0.02,-0.09,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,94.87179487179486,,,,,,1.0,,4.0,2.0,1.0,,1.0,,,1.0,,1.0,,-0.25,2.0,,1.0,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,False,16.0,10.0,2.0,1.0,0.0,6.0,9.0,4.0,7.0,,2.0,,,,45.0,22.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.5}",1,0.01,0.16,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,62.5,50.0,,100.0,,,2.0,,2.0,3.0,1.0,,1.0,,,1.0,1.0,2.0,,-0.11,,1.0,1.0,,,,,,,,,,,,,,,,1.0
14015462,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,44.0,39.0,7.0,6.0,0.0,18.0,19.0,21.0,25.0,1.0,2.0,,,,73.0,50.0,7.2,6.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.31,0.17,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,88.63636363636364,85.71428571428571,,100.0,,,,,1.0,2.0,1.0,,,,2.0,1.0,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,12.0,8.0,1.0,,0.0,5.0,6.0,3.0,6.0,1.0,3.0,,,,73.0,25.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.1,0.27,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,66.66666666666666,,,100.0,,,,2.0,4.0,4.0,2.0,,,,,,,3.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,35.0,28.0,5.0,4.0,0.0,7.0,8.0,21.0,27.0,1.0,7.0,,,,90.0,58.0,6.5,22.0,,"{'original': 6.5, 'alternative': 6.8}",1,0.12,0.11,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,80.0,80.0,,50.0,,6.0,,,4.0,3.0,4.0,,,,,,,3.0,,-0.07,2.0,2.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,1.0,1.0,,,,45.0,14.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.03,-0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,77.77777777777779,,,50.0,,,1.0,1.0,5.0,2.0,2.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1186164,Dario Pavković,dario-pavkovic,F,90,False,21.0,15.0,1.0,,0.0,8.0,9.0,7.0,12.0,1.0,6.0,,,,90.0,38.0,6.5,14.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.07,0.31,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,8,12,7,5,71.42857142857143,,,50.0,,,4.0,4.0,9.0,11.0,2.0,,1.0,,,2.0,2.0,6.0,1.0,0.01,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,True,16.0,9.0,2.0,,0.0,5.0,5.0,4.0,11.0,,3.0,,,,45.0,24.0,6.6,10.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.05,0.04,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,56.25,,,100.0,,,,,3.0,3.0,1.0,,,,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,True,7.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,,2.0,,,,45.0,17.0,6.2,6.0,,"{'original': 6.2, 'alternative': 6.4}",0,0.05,0.24,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,0,7,100.0,100.0,,,,,,,7.0,,2.0,,,,1.0,,,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,True,20.0,17.0,4.0,1.0,0.0,13.0,13.0,4.0,7.0,1.0,1.0,,,,17.0,22.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.05,0.03,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,85.0,25.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,,,,,,17.0,12.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.04,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,80.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,True,15.0,13.0,2.0,2.0,0.0,11.0,12.0,2.0,3.0,1.0,1.0,,,,17.0,18.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,86.66666666666667,100.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015462,away,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,F,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1518929,Nikola Tasić,nikola-tasic,M,50,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015462,away,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
