player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Tomislav Dadić', 'slug': 'tomislav-dadic', 'shortName': 'T. Dadić', 'position': 'D', 'jerseyNumber': '50', 'userCount': 57, 'gender': 'M', 'id': 978293, 'fieldTranslations': {'nameTranslation': {'ar': 'توميسلاف داديتش'}, 'shortNameTranslation': {'ar': 'ت. داديتش'}}}",True,miss,assisted,"{'x': 15.6, 'y': 35.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 36.3, 'z': 81.9}",5714670,90,6.0,5754,"{'start': {'x': 35.4, 'y': 15.6}, 'end': {'x': 63.7, 'y': 0}, 'goal': {'x': 63.7, 'y': 18.1}}",1,546,354,shot,,
"{'name': 'Alfa Baldé', 'firstName': 'Alfa Baldé', 'lastName': '', 'slug': 'alfa-balde', 'shortName': 'A. Baldé', 'position': 'F', 'jerseyNumber': '17', 'userCount': 92, 'gender': 'M', 'id': 1158017, 'fieldTranslations': {'nameTranslation': {'ar': 'لوباس، فالنتين'}, 'shortNameTranslation': {'ar': 'ف. لوباس'}}}",True,miss,regular,"{'x': 8.2, 'y': 68.5, 'z': 0}",left-foot,left,"{'x': 0, 'y': 67.6, 'z': 8.3}",5714665,90,5.0,5678,"{'start': {'x': 68.5, 'y': 8.2}, 'end': {'x': 32.4, 'y': 0}, 'goal': {'x': 32.4, 'y': 91.7}}",1,622,278,shot,,
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",True,save,assisted,"{'x': 13.6, 'y': 55.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 15.2}",5714664,90,5.0,5671,"{'start': {'x': 55.6, 'y': 13.6}, 'block': {'x': 52.5, 'y': 3.6}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 84.8}}",1,629,271,shot,"{'x': 3.6, 'y': 52.5, 'z': 0}",
"{'name': 'Nikola Bukumira', 'slug': 'nikola-bukumira', 'shortName': 'N. Bukumira', 'position': 'M', 'jerseyNumber': '32', 'userCount': 27, 'gender': 'M', 'id': 1595656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بوكوميرا'}, 'shortNameTranslation': {'ar': 'ن. بوكوميرا'}}}",True,save,throw-in-set-piece,"{'x': 10.4, 'y': 59.1, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 1.9}",5714626,90,3.0,5539,"{'start': {'x': 59.1, 'y': 10.4}, 'block': {'x': 52.9, 'y': 0}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 98.1}}",1,761,139,shot,"{'x': 0, 'y': 52.9, 'z': 0}",
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",True,goal,assisted,"{'x': 4.2, 'y': 47.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 7}",5714460,82,,4912,"{'start': {'x': 47.9, 'y': 4.2}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 93}}",9,488,2212,shot,,regular
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",False,save,assisted,"{'x': 23, 'y': 33.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 8.2}",5714433,81,,4808,"{'start': {'x': 33.7, 'y': 23}, 'block': {'x': 49.3, 'y': 1.6}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 91.8}}",10,592,2108,shot,"{'x': 1.6, 'y': 49.3, 'z': 0}",
"{'name': 'Mehmed Ćosić', 'firstName': '', 'lastName': '', 'slug': 'mehmed-cosic', 'shortName': 'M. Ćosić', 'position': 'D', 'jerseyNumber': '8', 'userCount': 46, 'gender': 'M', 'id': 876751, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد يوسيتش', 'bn': 'মেহমেদ সিওসিচ', 'hi': 'मेहमद कोसिक'}, 'shortNameTranslation': {'ar': 'م. يوسيتش', 'bn': 'এম. সিওসিচ', 'hi': 'एम. कोसिक'}}}",True,miss,corner,"{'x': 28.1, 'y': 59.5, 'z': 0}",right-foot,left,"{'x': 0, 'y': 73.1, 'z': 23.6}",5714451,80,,4760,"{'start': {'x': 59.5, 'y': 28.1}, 'end': {'x': 26.9, 'y': 0}, 'goal': {'x': 26.9, 'y': 76.4}}",11,640,2060,shot,,
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",True,save,regular,"{'x': 19.2, 'y': 49.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 19}",5714180,67,,4004,"{'start': {'x': 49.9, 'y': 19.2}, 'block': {'x': 50.2, 'y': 14.7}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 81}}",24,1396,1304,shot,"{'x': 14.7, 'y': 50.2, 'z': 0}",
"{'name': 'Stefan Petkoski Cimbaljević', 'firstName': 'Stefan Petkoski Cimbaljevic', 'slug': 'stefan-petkoski-cimbaljevic', 'shortName': 'S. P. Cimbaljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 23, 'gender': 'M', 'id': 1802942, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بيتكوسكي سيمبالجييفيتش'}, 'shortNameTranslation': {'ar': 'س. سيمبالجييفيتش'}}}",True,save,regular,"{'x': 14.5, 'y': 37.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 11.4}",5714179,67,,4002,"{'start': {'x': 37.8, 'y': 14.5}, 'block': {'x': 39.9, 'y': 11.2}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 88.6}}",24,1398,1302,shot,"{'x': 11.2, 'y': 39.9, 'z': 0}",
"{'name': 'Slobodan Simović', 'slug': 'slobodan-simovic', 'shortName': 'S. Simović', 'position': 'D', 'jerseyNumber': '14', 'userCount': 37, 'gender': 'M', 'id': 79383, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان سيموفيتش', 'bn': 'স্লোবোদান সিমোভিচ', 'hi': 'स्लोबोदान सिमोविच'}, 'shortNameTranslation': {'ar': 'س. سيموفيتش', 'bn': 'এস. সিমোভিচ', 'hi': 'एस. सिमोविच'}}}",True,miss,corner,"{'x': 9.5, 'y': 47.2, 'z': 0}",head,right,"{'x': 0, 'y': 33.3, 'z': 8.3}",5714126,65,,3896,"{'start': {'x': 47.2, 'y': 9.5}, 'block': {'x': 52.2, 'y': 6.6}, 'end': {'x': 66.7, 'y': 0}, 'goal': {'x': 66.7, 'y': 91.7}}",26,1504,1196,shot,"{'x': 6.6, 'y': 52.2, 'z': 0}",
