minute,value
1.0,10
2.0,23
3.0,17
4.0,17
5.0,8
6.0,12
7.0,34
8.0,58
9.0,42
10.0,32
11.0,50
12.0,35
13.0,80
14.0,100
15.0,90
16.0,18
17.0,16
18.0,-25
19.0,-23
20.0,-8
21.0,-6
22.0,-3
23.0,-9
24.0,-4
25.0,-22
26.0,-12
27.0,57
28.0,61
29.0,42
30.0,27
31.0,87
32.0,53
33.0,20
34.0,12
35.0,3
36.0,-14
37.0,-13
38.0,-32
39.0,-19
40.0,-11
41.0,-5
42.0,-2
43.0,-25
44.0,-19
45.0,-6
45.5,-20
46.0,-4
47.0,-32
48.0,31
49.0,14
50.0,9
51.0,97
52.0,56
53.0,37
54.0,-59
55.0,-27
56.0,-27
57.0,-16
58.0,-24
59.0,-9
60.0,-5
61.0,-42
62.0,-25
63.0,-49
64.0,-29
65.0,-12
66.0,-79
67.0,-47
68.0,-50
69.0,-30
70.0,-18
71.0,6
72.0,1
73.0,33
74.0,20
75.0,12
76.0,-35
77.0,-37
78.0,-24
79.0,31
80.0,10
81.0,4
82.0,-50
83.0,-28
84.0,-19
85.0,-36
86.0,-26
87.0,-6
88.0,-9
89.0,21
90.0,22
90.5,25
