match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,blockedScoringAttempt,dispossessed,keyPass,shotOffTarget
14147382,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,6.0,1.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,11.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,16.666666666666664,0.0,,,0.0,,,,,,
14147382,home,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,False,18.0,11.0,3.0,2.0,0.0,3.0,4.0,8.0,1.0,0.0,3.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,60.0,27.0,6.4,12.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,1,8,61.111111111111114,66.66666666666666,0.0,,,5.0,2.0,,,,
14147382,home,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,35.0,22.0,15.0,11.0,0.0,5.0,10.0,21.0,0.0,0.0,3.0,5.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,43.0,7.7,17.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,8,6,3,3,62.857142857142854,73.33333333333333,,100.0,,15.0,2.0,,,,
14147382,home,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,D,4,False,24.0,12.0,11.0,4.0,0.0,5.0,7.0,15.0,0.0,0.0,3.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,34.0,7.0,13.0,0.05,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,3,6,50.0,36.36363636363637,,,,5.0,3.0,1.0,,,
14147382,home,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,22.0,11.0,6.0,2.0,0.0,6.0,10.0,9.0,0.0,0.0,4.0,3.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,28.0,6.6,20.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,7,12,3,9,50.0,33.33333333333333,,,,3.0,3.0,,,,
14147382,home,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,23.0,14.0,2.0,1.0,0.0,6.0,9.0,12.0,3.0,1.0,4.0,3.0,15.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,33.0,6.8,8.0,0.0,0.03,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,7,15,4,11,60.86956521739131,50.0,33.33333333333333,100.0,,7.0,2.0,1.0,1.0,1.0,
14147382,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,28.0,20.0,4.0,2.0,0.0,10.0,13.0,13.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,,,81.0,36.0,6.5,9.0,0.0,0.09,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,1,10,71.42857142857143,50.0,,50.0,,8.0,3.0,,1.0,2.0,
14147382,home,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,27.0,19.0,4.0,3.0,0.0,7.0,9.0,15.0,0.0,0.0,4.0,9.0,13.0,13.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,,,,,,90.0,42.0,7.4,14.0,0.01,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,13,13,4,9,70.37037037037037,75.0,,50.0,,10.0,5.0,1.0,,,
14147382,home,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,M,7,False,19.0,10.0,1.0,1.0,0.0,3.0,6.0,13.0,2.0,1.0,2.0,3.0,16.0,13.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,,,,,,,90.0,43.0,6.9,19.0,0.15,0.0,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,5,24,10,14,52.63157894736842,100.0,50.0,42.857142857142854,,7.0,,,,,1.0
14147382,home,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,F,10,False,8.0,7.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,13.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,,,,,,,90.0,30.0,6.9,10.0,0.16,0.05,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,3,11,87.5,,100.0,33.33333333333333,,5.0,,,,1.0,1.0
