match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,outfielderBlock,interceptionWon,totalContest,wonContest,keyPass,onTargetScoringAttempt,goals,bigChanceMissed,shotOffTarget,bigChanceCreated,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,goalkeeperValueNormalized
14015563,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,9.0,7.0,1.0,1.0,1.0,,1.0,7.0,8.0,1.0,,84.0,21.0,6.0,8.0,60.605316669802,8.0,-0.105,8.295,"{'original': 6, 'alternative': 6.7}",2,0.23,0.27,-0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,2,5,77.77777777777779,100.0,,,,,,4.0,5.0,9.0,7.0,,1.0,,,,,4.0,2.0,3.0,8.5953766642306,1.0,-0.55,,,1.0,,3.0,,,,2.0,2.0,4.0,,,,
14015563,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,1.0,,19.0,11.0,6.7,1.0,16.272151090157,3.0,-3.99,1.575,"{'original': 6.7, 'alternative': 6.7}",0,-0.04,0.01,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,87.5,,,100.0,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
14015563,home,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,F,11,True,,,,,0.0,,,,,,,10.0,6.0,6.5,3.0,,,,,"{'original': 6.5, 'alternative': 6.5}",0,,-0.01,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,,,,33.33333333333333,,,,1.0,,3.0,2.0,,,,,,,,1.0,,,,,,,3.0,1.0,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,0.0,,,,,,,1.0,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,home,409200,FK Radnički Niš,307458,Petar Petrović,petar-petrovic,M,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,home,263764,FK Radnički Niš,1981903,Pavle Davkovski,pavle-davkovski,M,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,home,263764,FK Radnički Niš,2237640,Marko Radic,marko-radic,D,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,25.0,20.0,11.0,6.0,0.0,19.0,21.0,1.0,4.0,8.0,,90.0,34.0,6.8,5.0,18.289252521226,4.0,1.195,4.765,"{'original': 6.8, 'alternative': 6.7}",0,0.05,0.06,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,80.0,54.54545454545454,,,100.0,,,,1.0,,2.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,3.0,-0.57
14015563,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,28.0,26.0,,,0.0,17.0,17.0,9.0,11.0,1.0,,89.0,40.0,6.0,6.0,77.932779129692,8.0,-34.23,3.675,"{'original': 6, 'alternative': 6.2}",0,-0.05,-0.06,-0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,92.85714285714286,,,,,,,4.0,1.0,8.0,2.0,1.0,,,2.0,1.0,1.0,2.0,,1.0,27.859860175529,1.0,,,,2.0,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,False,42.0,38.0,8.0,5.0,0.0,30.0,31.0,8.0,11.0,1.0,,58.0,48.0,5.9,5.0,71.115342988099,12.0,-38.745,1.785,"{'original': 5.9, 'alternative': 5.8}",0,0.07,0.02,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,90.47619047619048,62.5,,,,,,1.0,,3.0,,,,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,88.0,75.0,12.0,6.0,0.0,47.0,48.0,28.0,40.0,2.0,,90.0,102.0,7.5,15.0,162.99267160031,25.0,-77.49,14.91,"{'original': 7.5, 'alternative': 7.5}",0,0.39,0.15,0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,85.22727272727273,50.0,,,,1.0,,1.0,1.0,1.0,2.0,,,,6.0,,,1.0,1.0,,,,,2.0,2.0,,,1.0,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,56.0,48.0,5.0,1.0,0.0,31.0,32.0,17.0,24.0,5.0,,90.0,90.0,6.7,12.0,118.37814444881,15.0,-22.995,15.015,"{'original': 6.7, 'alternative': 6.7}",0,0.31,0.03,-0.25,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,7,6,85.71428571428571,20.0,50.0,100.0,,2.0,1.0,2.0,4.0,8.0,11.0,2.0,,,3.0,4.0,,2.0,2.0,5.0,,,,,4.0,1.0,1.0,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,32.0,29.0,3.0,2.0,0.0,13.0,14.0,16.0,18.0,3.0,,90.0,45.0,6.5,8.0,102.6918954174,10.0,-15.75,8.085,"{'original': 6.5, 'alternative': 6.9}",0,-0.36,0.24,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,90.625,66.66666666666666,,,,,,1.0,1.0,6.0,3.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,1.0,,65.0,18.0,6.7,8.0,63.289580615375,7.0,-27.51,6.825,"{'original': 6.7, 'alternative': 6.3}",0,0.02,0.28,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,100.0,,,,,,,,,4.0,4.0,,1.0,,,2.0,1.0,3.0,2.0,,25.593587087394,1.0,,,,3.0,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,14.0,14.0,2.0,2.0,0.0,9.0,9.0,5.0,5.0,2.0,,55.0,16.0,6.8,,22.509419526826,5.0,-8.61,4.62,"{'original': 6.8, 'alternative': 6.6}",0,-0.08,0.25,-0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,100.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015563,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,14.0,5.0,2.0,,0.0,1.0,4.0,4.0,10.0,2.0,,49.0,28.0,6.2,14.0,76.073290712448,6.0,-43.155,7.035,"{'original': 6.2, 'alternative': 6.1}",1,-0.17,0.15,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,35.714285714285715,,,,,1.0,,,,7.0,3.0,1.0,,1.0,,1.0,,,2.0,2.0,62.65195770372,4.0,0.01,1.0,,4.0,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,27.0,24.0,1.0,,0.0,13.0,14.0,11.0,13.0,2.0,,65.0,41.0,6.4,12.0,127.47025111552,12.0,-74.235,10.605,"{'original': 6.4, 'alternative': 6.4}",0,-0.17,0.25,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,88.88888888888889,,,25.0,,,,,,6.0,2.0,1.0,,,,,,6.0,1.0,2.0,48.51843387325,2.0,,,1.0,4.0,1.0,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,4.0,3.0,,,0.0,3.0,3.0,,1.0,1.0,,90.0,19.0,6.0,8.0,46.128976750359,4.0,-15.855,6.405,"{'original': 6, 'alternative': 6.3}",1,-0.04,0.31,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,75.0,,,,,1.0,,3.0,,7.0,2.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,21.304329700791,1.0,-0.49,,1.0,2.0,,,,,,,,2.0,,,,
14015563,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,14.0,12.0,,,0.0,4.0,5.0,8.0,9.0,2.0,,41.0,25.0,6.9,5.0,50.212731339389,7.0,-38.43,-0.105,"{'original': 6.9, 'alternative': 6.9}",0,0.16,0.17,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,85.71428571428571,,100.0,100.0,,2.0,2.0,,,2.0,5.0,1.0,,,,3.0,2.0,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
14015563,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,True,35.0,33.0,5.0,3.0,0.0,15.0,15.0,18.0,20.0,5.0,,35.0,43.0,6.8,4.0,88.423207347226,11.0,-8.295,6.93,"{'original': 6.8, 'alternative': 6.9}",1,0.01,0.15,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,94.28571428571428,60.0,,50.0,,,,,,1.0,3.0,,,,,2.0,1.0,,,,,,-0.1,,1.0,2.0,1.0,,,,,1.0,,,,,,
14015563,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,32.0,26.0,2.0,,0.0,16.0,20.0,10.0,12.0,3.0,,25.0,38.0,6.9,6.0,74.095939762343,8.0,-28.875,6.51,"{'original': 6.9, 'alternative': 6.7}",0,-0.03,0.16,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,1,0,81.25,,,,,,,3.0,2.0,3.0,3.0,,,,2.0,1.0,1.0,,,,12.585236151936,1.0,,,,,,,,,,,,,,,,
14015563,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,8.0,7.0,,,0.0,5.0,5.0,2.0,3.0,1.0,,25.0,23.0,6.6,9.0,61.019745730335,7.0,-30.135,9.345,"{'original': 6.6, 'alternative': 6.6}",1,-0.11,0.13,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,87.5,,,,,2.0,,,,2.0,3.0,,,1.0,,1.0,1.0,4.0,2.0,,16.496356234029,1.0,-0.27,,,2.0,,,,,,,,,,,,
14015563,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,11.0,1.0,6.6,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,0.02,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
