match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,challengeLost,totalContest,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,totalCross,wonContest,shotOffTarget,outfielderBlock,ownGoals,fouls,wasFouled,keyPass,aerialLost,onTargetScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,dispossessed,bigChanceCreated,penaltyWon,accurateCross,goals,bigChanceMissed,totalOffside,penaltyFaced,errorLeadToAShot,clearanceOffLine,penaltyConceded,hitWoodwork
14015590,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,27.0,15.0,17.0,5.0,0.0,10.0,12.0,5.0,15.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,90.0,39.0,6.6,13.0,83.713834810534,7.0,34.28465519251,0.0,0.3952,"{'original': 6.6, 'alternative': 6.1}",0,0.03,0.02,-0.28,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,55.55555555555556,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,23.0,14.0,5.0,2.0,0.0,9.0,10.0,5.0,13.0,3.0,4.0,5.0,,,,,87.0,50.0,7.0,16.0,58.443110221508,9.0,8.1040479607988,0.0,,"{'original': 7, 'alternative': 6.4}",1,0.57,0.01,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,60.86956521739131,40.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,45.0,25.0,11.0,2.0,0.0,17.0,24.0,8.0,21.0,1.0,4.0,6.0,3.0,,,,90.0,68.0,5.4,25.0,164.19607258724,21.0,-1.1241551646578,0.0,,"{'original': 5.4, 'alternative': 6.3}",1,-0.09,0.02,-0.88,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,55.55555555555556,18.181818181818183,,66.66666666666666,,4.0,2.0,3.0,,3.0,1.0,,3.0,-0.05,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,45.0,35.0,9.0,3.0,0.0,26.0,28.0,9.0,17.0,1.0,5.0,5.0,4.0,,,,90.0,57.0,6.5,11.0,162.25364819876,23.0,-8.789085332832,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.05,0.05,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,77.77777777777779,33.33333333333333,,,,1.0,1.0,,,,2.0,2.0,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,51.0,39.0,8.0,2.0,0.0,31.0,33.0,8.0,18.0,1.0,8.0,6.0,4.0,,,,90.0,74.0,7.3,15.0,278.23862298095,34.0,-15.268621355722,0.0,,"{'original': 7.3, 'alternative': 7.2}",1,0.03,0.08,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,7,1,76.47058823529412,25.0,,100.0,,3.0,1.0,1.0,,2.0,3.0,1.0,3.0,0.01,,1.0,,2.0,,,3.0,,2.0,1.0,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,41.0,28.0,5.0,2.0,0.0,15.0,22.0,13.0,19.0,,4.0,2.0,7.0,,,,90.0,60.0,6.2,17.0,272.81386222474,26.0,89.717622958679,3.0,,"{'original': 6.2, 'alternative': 6.7}",0,-0.06,0.18,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,68.29268292682927,40.0,,100.0,,,,4.0,,2.0,,,,,3.0,4.0,,1.0,,,,,,,21.510993415304,65.03202340773,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,41.0,31.0,4.0,1.0,0.0,22.0,24.0,9.0,17.0,1.0,5.0,2.0,6.0,,,,90.0,58.0,6.3,13.0,142.12166821966,18.0,-35.50770433092,0.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.1,0.21,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,75.60975609756098,25.0,,,,5.0,,,,3.0,3.0,2.0,3.0,,,,,,,3.0,1.0,,3.0,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,35.0,21.0,2.0,,0.0,10.0,11.0,11.0,24.0,5.0,11.0,,5.0,,,,90.0,53.0,7.2,22.0,162.99674561616,17.0,73.529828595797,2.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.24,0.26,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,10,10,6,4,60.0,,,100.0,,9.0,,1.0,,,2.0,2.0,2.0,,2.0,1.0,,,,1.0,3.0,1.0,5.0,,30.448263086315,48.00879591036,3.0,1.0,1.0,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,13.0,11.0,2.0,,0.0,3.0,3.0,8.0,10.0,,3.0,2.0,1.0,,,,82.0,32.0,7.1,8.0,130.71066732197,12.0,6.836505991033,2.0,,"{'original': 7.1, 'alternative': 7.8}",3,0.45,-1.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,84.61538461538461,,16.666666666666664,100.0,,2.0,,2.0,,1.0,,,1.0,0.31,6.0,2.0,1.0,1.0,,,1.0,1.0,2.0,2.0,11.710886540965,27.193753564924,,1.0,,1.0,1.0,,,,,,,
14015590,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,F,22,False,12.0,4.0,1.0,,0.0,1.0,5.0,3.0,7.0,3.0,4.0,,2.0,,,,82.0,23.0,6.5,12.0,74.366609394756,7.0,52.442589198827,1.0,,"{'original': 6.5, 'alternative': 6.1}",2,0.09,0.22,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,33.33333333333333,,,,,7.0,,,,1.0,,,1.0,-0.18,1.0,,,,,1.0,1.0,1.0,4.0,2.0,28.686343699201,33.525718128028,2.0,1.0,,,,2.0,,,,,,
