match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,dispossessed,totalContest,bigChanceMissed,onTargetScoringAttempt,totalClearance,interceptionWon,unsuccessfulTouch,fouls,keyPass,shotValueNormalized,aerialWon,duelWon,challengeLost,outfielderBlock,totalTackle,shotOffTarget,blockedScoringAttempt,wonContest,wonTackle,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,accurateCross,goals,goodHighClaim,savedShotsFromInsideTheBox,punches,ownGoals,clearanceOffLine,totalOffside,bigChanceCreated
14015589,home,5148,FK Čukarički,13691,Vladimir Stojković,vladimir-stojkovic,G,28,False,29.0,17.0,16.0,4.0,0.0,14.0,16.0,3.0,13.0,12.0,1.0,90.0,33.0,5.2,12.0,17.882827989551,3.0,5.1666827788196,0.0,-0.0008,"{'original': 5.2, 'alternative': 5.8}",0,0.03,0.02,-0.29,-0.68,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,58.620689655172406,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015589,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,14.0,10.0,3.0,1.0,0.0,3.0,5.0,7.0,9.0,3.0,,90.0,36.0,5.8,13.0,52.688697971357,7.0,13.642101718909,0.0,,"{'original': 5.8, 'alternative': 6.1}",1,0.13,-0.04,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,71.42857142857143,33.33333333333333,,,,1.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.01,,,,,,,,,,,,,,,,,,,,,
14015589,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,30.0,21.0,10.0,3.0,0.0,10.0,14.0,11.0,16.0,4.0,,89.0,40.0,5.8,9.0,137.53780232639,14.0,69.368769965114,0.0,,"{'original': 5.8, 'alternative': 6}",0,0.16,0.07,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,70.0,30.0,,,,,1.0,6.0,,,,,3.0,,,,,,2.0,3.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,
14015589,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,38.0,31.0,9.0,5.0,0.0,17.0,18.0,14.0,20.0,1.0,,90.0,50.0,5.8,7.0,120.08040325778,15.0,64.219102150054,0.0,,"{'original': 5.8, 'alternative': 6.2}",2,0.11,0.09,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,81.57894736842105,55.55555555555556,,,,,1.0,4.0,,,1.0,,10.0,,,2.0,,-0.11,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14015589,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,31.0,24.0,2.0,1.0,0.0,7.0,9.0,17.0,22.0,6.0,,89.0,62.0,6.4,17.0,223.50228935832,20.0,98.112610494655,3.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.16,0.3,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,6,7,77.41935483870968,50.0,,25.0,,1.0,3.0,10.0,1.0,4.0,,,4.0,1.0,3.0,3.0,,,2.0,8.0,,,2.0,,,1.0,1.0,3.0,20.022149310209,69.070497975218,,,,,,,,,
14015589,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,31.0,17.0,5.0,1.0,0.0,6.0,7.0,11.0,24.0,2.0,,83.0,43.0,6.6,17.0,88.092263766092,12.0,16.138877093435,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.31,0.0,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,54.83870967741935,20.0,25.0,100.0,,4.0,,2.0,,2.0,,,1.0,,,1.0,2.0,,2.0,5.0,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,
14015589,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,57.0,40.0,13.0,6.0,0.0,12.0,14.0,28.0,43.0,5.0,,90.0,81.0,7.4,26.0,160.26891472754,20.0,35.036611703946,2.0,,"{'original': 7.4, 'alternative': 7.2}",1,0.39,0.18,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,70.17543859649122,46.15384615384615,14.285714285714285,,,7.0,1.0,6.0,2.0,,,1.0,2.0,1.0,,3.0,1.0,0.01,1.0,5.0,,2.0,2.0,,,,1.0,2.0,22.988438593829,43.065002919305,1.0,,,,,,,,
14015589,home,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,M,19,False,19.0,16.0,,,1.0,3.0,4.0,13.0,15.0,2.0,,90.0,32.0,6.5,8.0,117.4899530053,11.0,-45.712129027337,0.0,,"{'original': 6.5, 'alternative': 7}",2,0.31,-0.08,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,84.21052631578947,,100.0,,,1.0,2.0,6.0,1.0,,,1.0,,,4.0,3.0,2.0,-0.21,3.0,7.0,,,1.0,,1.0,,,3.0,,,1.0,,,,,,,,
14015589,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,24.0,17.0,1.0,,0.0,5.0,8.0,12.0,16.0,4.0,,63.0,36.0,5.9,16.0,99.511830115237,14.0,17.759394287784,0.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.03,0.04,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,70.83333333333334,,33.33333333333333,,,3.0,3.0,8.0,3.0,2.0,,,,,2.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,
14015589,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,24.0,19.0,1.0,,0.0,1.0,2.0,18.0,22.0,2.0,,83.0,48.0,7.7,14.0,138.40837781181,17.0,48.41356231301,2.0,,"{'original': 7.7, 'alternative': 7.4}",2,0.24,0.31,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,8,7,79.16666666666666,,33.33333333333333,66.66666666666666,,3.0,1.0,8.0,2.0,3.0,,1.0,1.0,,4.0,3.0,1.0,0.5,1.0,9.0,1.0,,4.0,,1.0,2.0,4.0,2.0,14.518394410193,32.632109920752,1.0,1.0,,,,,,,
