player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",False,save,regular,"{'x': 26, 'y': 31, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51.2, 'z': 24.3}",0.01788,0.009351,6872213,88,5238,"{'start': {'x': 31, 'y': 26}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 75.7}}",3,162,2538,shot,,
"{'name': 'Nikola Vuković', 'slug': 'nikola-vukovic', 'shortName': 'N. Vuković', 'position': 'D', 'jerseyNumber': '19', 'userCount': 17, 'gender': 'M', 'id': 1214474, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فوكوفيتش', 'bn': 'নিকোলা ভুকোভিচ', 'hi': 'निकोला वुकोविक'}, 'shortNameTranslation': {'ar': 'ن. فوكوفيتش', 'bn': 'এন. ভুকোভিচ', 'hi': 'एन. वुकोविक'}}}",False,block,throw-in-set-piece,"{'x': 19, 'y': 60, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.003263,,6872212,87,5163,"{'start': {'x': 60, 'y': 19}, 'block': {'x': 60, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,237,2463,shot,"{'x': 19, 'y': 60, 'z': 0}",
"{'name': 'Mirza Idrizović', 'firstName': '', 'lastName': '', 'slug': 'mirza-idrizovic', 'shortName': 'M. Idrizović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 874418, 'fieldTranslations': {'nameTranslation': {'ar': 'ميرزا إدريزوفيتش'}, 'shortNameTranslation': {'ar': 'م. إدريزوفيتش'}}}",True,miss,regular,"{'x': 20, 'y': 45, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.6, 'z': 10}",0.08259,,6872211,81,4801,"{'start': {'x': 45, 'y': 20}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 90}}",10,599,2101,shot,,
"{'name': 'Nikola Stijepović', 'slug': 'nikola-stijepovic', 'shortName': 'N. Stijepović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 1, 'gender': 'M', 'id': 171431, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا ستييبوفيتش', 'bn': 'নিকোলা স্টিজেপোভিচ', 'hi': 'निकोला स्टिजेपोविक'}, 'shortNameTranslation': {'ar': 'ن. ستييبوفيتش', 'bn': 'এন. স্টিজেপোভিচ', 'hi': 'एन. स्टिजेपोविक'}}}",False,miss,regular,"{'x': 23, 'y': 39, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 59.2, 'z': 43.3}",0.04236,,6872210,74,4402,"{'start': {'x': 39, 'y': 23}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 56.7}}",17,998,1702,shot,,
"{'name': 'Yann Michael Yao', 'firstName': '', 'lastName': '', 'slug': 'yann-michael-yao', 'shortName': 'Y. M. Yao', 'position': 'M', 'jerseyNumber': '11', 'userCount': 17, 'gender': 'M', 'id': 894450, 'fieldTranslations': {'nameTranslation': {'ar': 'يان ميخائيل ياو'}, 'shortNameTranslation': {'ar': 'ي. ياو'}}}",False,save,regular,"{'x': 15, 'y': 29, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 5.5}",0.04381,0.1098,6872209,68,4059,"{'start': {'x': 29, 'y': 15}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 94.5}}",23,1341,1359,shot,,
"{'name': 'Marko Đurišić', 'slug': 'marko-durisic', 'shortName': 'M. Đurišić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 14, 'gender': 'M', 'id': 843005, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو دوريسيتش', 'bn': 'মার্কো ডুরিসিক', 'hi': 'मार्को ड्यूरिशिक'}, 'shortNameTranslation': {'ar': 'م. دوريسيتش', 'bn': 'এম. ডুরিসিক', 'hi': 'एम. ड्यूरिशिक'}}}",False,block,regular,"{'x': 6, 'y': 35, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.04754,,6872208,64,3796,"{'start': {'x': 35, 'y': 6}, 'block': {'x': 35, 'y': 6}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1604,1096,shot,"{'x': 6, 'y': 35, 'z': 0}",
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",True,goal,regular,"{'x': 15, 'y': 54, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 2.1}",0.02658,0.4071,6872207,55,3291,"{'start': {'x': 54, 'y': 15}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 97.9}}",36,2109,591,shot,,regular
"{'name': 'Nihad Balić', 'firstName': 'Nihad Balić', 'lastName': '', 'slug': 'nihad-balic', 'shortName': 'N. Balić', 'position': 'D', 'jerseyNumber': '21', 'userCount': 4, 'gender': 'M', 'id': 1381385, 'fieldTranslations': {'nameTranslation': {'ar': 'نيهاد باليتش'}, 'shortNameTranslation': {'ar': 'ن. باليتش'}}}",True,miss,throw-in-set-piece,"{'x': 19, 'y': 30, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58, 'z': 42.4}",0.00201,,6872206,52,3066,"{'start': {'x': 30, 'y': 19}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 57.6}}",39,2334,366,shot,,
"{'name': 'Andrej Đukić', 'firstName': '', 'lastName': '', 'slug': 'andrej-dukic', 'shortName': 'A. Đukić', 'position': 'M', 'userCount': 15, 'gender': 'M', 'id': 1000576, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري ديوكيتش'}, 'shortNameTranslation': {'ar': 'أ. ديوكيتش'}}}",True,block,regular,"{'x': 11, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.08929,,6872205,47,2771,"{'start': {'x': 38, 'y': 11}, 'block': {'x': 38, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",44,2629,71,shot,"{'x': 11, 'y': 38, 'z': 0}",
"{'name': 'Lucas Estabio', 'firstName': 'Lucas', 'lastName': 'Estabio', 'slug': 'lucas-estabio', 'shortName': 'L. Estabio', 'position': 'F', 'jerseyNumber': '32', 'userCount': 8, 'gender': 'M', 'id': 2246412, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكاس استابيو'}, 'shortNameTranslation': {'ar': 'ل. استابيو'}}}",True,save,free-kick,"{'x': 17, 'y': 15, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 17.6}",0.0782,0.07116,6872215,22,1261,"{'start': {'x': 15, 'y': 17}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 82.4}}",24,1439,1261,shot,,
