match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,challengeLost,shotOffTarget,interceptionWon,fouls,shotValueNormalized,outfielderBlock,errorLeadToAShot,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,goals,bigChanceMissed,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015432,home,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,13.0,8.0,,,1.0,2.0,4.0,6.0,9.0,4.0,7.0,2.0,,,,,73.0,26.0,7.0,11.0,,"{'original': 7, 'alternative': 7.2}",0,0.25,0.09,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,13,6,3,3,61.53846153846154,,,,,,,12.0,1.0,,1.0,1.0,4.0,2.0,1.0,9.0,,,1.0,1.0,,,,1.0,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,True,10.0,7.0,4.0,3.0,0.0,3.0,4.0,4.0,6.0,,1.0,,3.0,,,,29.0,17.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.4}",1,0.31,0.27,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,70.0,75.0,,,,1.0,,3.0,1.0,,1.0,1.0,2.0,,,1.0,,,,,-0.09,,,1.0,,1.0,,,,,,,
14015432,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,,2.0,,,,,,28.0,17.0,7.3,6.0,,"{'original': 7.3, 'alternative': 7.1}",1,-0.18,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,88.88888888888889,,,,,1.0,,2.0,2.0,,2.0,1.0,2.0,,1.0,,,,,,0.51,,,,,,1.0,,1.0,,,,
14015432,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,10.0,8.0,,,0.0,1.0,2.0,7.0,8.0,,,3.0,2.0,,,,28.0,16.0,6.1,3.0,,"{'original': 6.1, 'alternative': 6.5}",1,-0.03,-0.08,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,1.0,-0.09,,,,,,,,,,,,
14015432,home,301263,FK Radnik Surdulica,72116,Evgen Pavlov,evgen-pavlov,F,17,True,9.0,6.0,,,0.0,1.0,1.0,5.0,8.0,3.0,3.0,,1.0,,,,17.0,15.0,6.0,4.0,,"{'original': 6, 'alternative': 6.8}",5,-0.22,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,66.66666666666666,,,,,,,1.0,1.0,,,,,,,,,4.0,,,-0.68,,,,,,1.0,,,1.0,,,
14015432,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,0.0,,,,,,,,,,,,1.0,1.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,,,,,,,,2.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
