match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,bigChanceCreated,shotOffTarget,keyPass,bigChanceMissed,hitWoodwork,blockedScoringAttempt
14147370,home,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,31.0,26.0,13.0,9.0,0.0,25.0,28.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,90.0,37.0,8.3,3.0,0.0,0.0,"{'original': 8.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.87096774193549,69.23076923076923,,,0.0,,,,,,,,
14147370,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,23.0,12.0,3.0,1.0,0.0,6.0,11.0,6.0,12.0,1.0,0.0,2.0,1.0,12.0,6.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,34.0,6.9,19.0,0.23,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,5,10,52.17391304347826,33.33333333333333,0.0,50.0,,1.0,,,,,,,
14147370,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,32.0,24.0,8.0,4.0,0.0,19.0,25.0,5.0,7.0,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,43.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,75.0,50.0,,,,1.0,,,,,,,
14147370,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,35.0,27.0,8.0,2.0,0.0,20.0,22.0,7.0,13.0,0.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,48.0,7.0,9.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,77.14285714285715,25.0,,,,3.0,1.0,,,,,,
14147370,home,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,26.0,18.0,4.0,1.0,0.0,12.0,16.0,5.0,9.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,33.0,6.5,12.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,1,6,69.23076923076923,25.0,0.0,,,1.0,,,,,,,
14147370,home,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,16.0,6.0,3.0,0.0,0.0,3.0,5.0,3.0,11.0,4.0,1.0,4.0,1.0,13.0,7.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,,,,,,,90.0,36.0,7.2,16.0,0.03,0.46,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,5,15,6,9,37.5,0.0,25.0,66.66666666666666,,1.0,,1.0,1.0,2.0,,,
14147370,home,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,21.0,17.0,6.0,4.0,0.0,12.0,15.0,5.0,6.0,0.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,31.0,7.1,9.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,6,10,80.95238095238095,66.66666666666666,,,,4.0,1.0,,,,,,
14147370,home,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,28.0,23.0,4.0,3.0,0.0,14.0,16.0,7.0,10.0,0.0,0.0,2.0,0.0,8.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,40.0,7.3,6.0,0.6,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,82.14285714285714,75.0,,50.0,,2.0,,,,,,,
14147370,home,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,12.0,6.0,1.0,0.0,0.0,4.0,6.0,2.0,6.0,0.0,0.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,65.0,28.0,6.2,11.0,0.36,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,50.0,0.0,,,,,1.0,,1.0,,1.0,1.0,
14147370,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,F,77,False,11.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,9.0,0.0,0.0,2.0,1.0,11.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,,,,,,,79.0,26.0,6.9,6.0,0.12,0.0,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,6,9,81.81818181818183,100.0,,100.0,,,,,,,,,2.0
