match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,bigChanceCreated,shotOffTarget,keyPass,bigChanceMissed,hitWoodwork,blockedScoringAttempt
14147370,home,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,F,10,False,22.0,15.0,3.0,2.0,0.0,4.0,7.0,11.0,15.0,1.0,1.0,1.0,0.0,10.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,74.0,35.0,7.0,13.0,0.05,0.18,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,6,9,68.18181818181817,66.66666666666666,100.0,50.0,,,2.0,,,2.0,,,1.0
14147370,home,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,25.0,14.0,7.0,6.0,0.28,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,50.0,,,100.0,,,1.0,,1.0,,,,
14147370,home,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,F,66,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,16.0,3.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,50.0,,0.0,100.0,,,,,,,,,
14147370,home,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,F,44,True,4.0,2.0,2.0,1.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,11.0,6.0,6.7,2.0,0.17,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,50.0,,,,,,,,,,,
14147370,home,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,home,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,home,6225,Mladost DG,804420,Zeljko Krstovic,zeljko-krstovic,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,home,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,home,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,34.0,30.0,11.0,8.0,0.0,21.0,22.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,90.0,40.0,7.5,4.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.23529411764706,72.72727272727273,,,,2.0,,,,,,,
14147370,away,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,33.0,25.0,4.0,2.0,0.0,12.0,14.0,13.0,19.0,2.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,84.0,40.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,1,8,75.75757575757575,50.0,0.0,0.0,,,,,,,,,
14147370,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,52.0,49.0,3.0,2.0,0.0,31.0,31.0,17.0,20.0,0.0,0.0,2.0,1.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,63.0,6.4,5.0,0.13,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,1,11,94.23076923076923,66.66666666666666,,0.0,,1.0,1.0,,1.0,,,,
14147370,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,74.0,61.0,16.0,9.0,0.0,40.0,42.0,19.0,29.0,4.0,4.0,3.0,2.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,90.0,89.0,7.6,15.0,0.0,0.18,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,1,5,82.43243243243244,56.25,100.0,,,4.0,,,,1.0,,,
14147370,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,28.0,17.0,5.0,2.0,0.0,8.0,9.0,6.0,13.0,3.0,1.0,2.0,2.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,71.0,33.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,2,9,60.71428571428571,40.0,33.33333333333333,0.0,,3.0,,,,,,,
14147370,away,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,57.0,49.0,9.0,5.0,0.0,25.0,25.0,24.0,32.0,3.0,2.0,1.0,0.0,13.0,9.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,90.0,90.0,7.6,13.0,0.05,0.21,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,9,12,85.96491228070175,55.55555555555556,66.66666666666666,75.0,,1.0,1.0,,1.0,2.0,,,
14147370,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,False,14.0,9.0,0.0,0.0,0.0,1.0,1.0,8.0,12.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,57.0,23.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,64.28571428571429,,50.0,50.0,,,1.0,,,,,,
14147370,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,26.0,23.0,0.0,0.0,0.0,9.0,9.0,10.0,12.0,0.0,0.0,2.0,2.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,71.0,35.0,7.2,6.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,5,9,88.46153846153845,,,,,5.0,,,,,,,
14147370,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,21.0,15.0,2.0,1.0,0.0,5.0,6.0,10.0,15.0,3.0,1.0,2.0,4.0,12.0,9.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,2.0,,,,,,,90.0,54.0,7.4,15.0,0.79,0.14,"{'original': 7.4, 'alternative': None}",7.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,6,15,5,10,71.42857142857143,50.0,33.33333333333333,100.0,,,2.0,,2.0,1.0,,,3.0
14147370,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,14.0,10.0,1.0,1.0,0.0,4.0,4.0,5.0,9.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,,,,,,,90.0,24.0,6.9,7.0,0.18,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,71.42857142857143,100.0,,,,1.0,,,1.0,,,,
14147370,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,F,4,False,15.0,10.0,1.0,1.0,0.0,4.0,4.0,6.0,11.0,3.0,1.0,2.0,2.0,12.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,,,,,,,71.0,29.0,6.9,10.0,0.1,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,4,10,66.66666666666666,100.0,33.33333333333333,100.0,,,3.0,,1.0,,,,
14147370,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,M,98,True,14.0,8.0,1.0,1.0,0.0,,,8.0,14.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,33.0,21.0,6.4,9.0,0.51,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,57.14285714285714,100.0,0.0,,,,1.0,,1.0,,1.0,,
14147370,away,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,True,10.0,7.0,2.0,1.0,0.0,1.0,1.0,6.0,9.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,15.0,6.9,6.0,0.0,0.03,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,70.0,50.0,66.66666666666666,100.0,,,,,,1.0,,,
14147370,away,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,True,19.0,17.0,2.0,1.0,0.0,6.0,6.0,11.0,12.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,19.0,22.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,89.47368421052632,50.0,100.0,0.0,,,,,,,,,
14147370,away,241802,OFK Petrovac,1008672,Dragan Stoisavljević,dragan-stoisavljevic,F,19,True,4.0,2.0,0.0,0.0,0.0,,,2.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,9.0,6.9,4.0,0.3,0.03,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,50.0,,,100.0,,,2.0,,1.0,1.0,,1.0,
14147370,away,829702,OFK Petrovac,886236,Alija Krnić,alija-krnic,D,47,True,4.0,1.0,0.0,0.0,0.0,1.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,6.0,6.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,25.0,,,,,,,,,,,,
14147370,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,away,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,away,6216,OFK Petrovac,1218114,Strahinja Tešović,strahinja-tesovic,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147370,away,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
