match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,totalOffside,keyPass,aerialWon,outfielderBlock,interceptionWon,shotOffTarget,shotValueNormalized,totalCross,accurateCross,wonContest,bigChanceCreated,fouls,onTargetScoringAttempt,goals,blockedScoringAttempt,bigChanceMissed,errorLeadToAShot,goodHighClaim,errorLeadToAGoal,hitWoodwork
14015504,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,21.0,14.0,11.0,4.0,0.0,11.0,13.0,3.0,8.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,27.0,6.6,7.0,0.1701,"{'original': 6.6, 'alternative': 6.6}",0,0.01,0.01,-0.08,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,36.36363636363637,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,50.0,43.0,4.0,3.0,0.0,19.0,22.0,24.0,28.0,4.0,4.0,,,,,90.0,80.0,7.1,17.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.29,0.15,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,86.0,75.0,,,,1.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,43.0,32.0,6.0,2.0,0.0,24.0,28.0,8.0,15.0,5.0,6.0,,,,,90.0,55.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.11,0.02,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,74.4186046511628,33.33333333333333,,,,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,38.0,33.0,10.0,6.0,0.0,26.0,28.0,7.0,10.0,2.0,2.0,,,,,90.0,50.0,7.0,8.0,,"{'original': 7, 'alternative': 6.9}",1,0.13,0.02,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,86.8421052631579,60.0,,,,1.0,2.0,4.0,,1.0,,1.0,1.0,1.0,,,,3.0,2.0,1.0,1.0,-0.44,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,22.0,17.0,3.0,2.0,0.0,11.0,11.0,6.0,11.0,,3.0,,,,,52.0,40.0,7.6,12.0,,"{'original': 7.6, 'alternative': 7}",0,0.29,-0.27,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,77.27272727272727,66.66666666666666,33.33333333333333,50.0,,,2.0,5.0,,,2.0,2.0,2.0,,1.0,,1.0,1.0,,,,,6.0,2.0,1.0,1.0,1.0,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,46.0,38.0,7.0,5.0,0.0,14.0,18.0,24.0,28.0,4.0,8.0,,,,,90.0,67.0,8.7,13.0,,"{'original': 8.7, 'alternative': 8}",2,0.42,0.12,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,4,4,82.6086956521739,71.42857142857143,50.0,,,3.0,7.0,8.0,,,2.0,3.0,2.0,2.0,1.0,,2.0,4.0,1.0,2.0,1.0,0.53,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,
14015504,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,48.0,42.0,11.0,10.0,0.0,23.0,26.0,19.0,22.0,1.0,13.0,,,,,90.0,76.0,7.6,17.0,,"{'original': 7.6, 'alternative': 7.9}",1,0.26,0.07,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,87.5,90.9090909090909,14.285714285714285,100.0,,1.0,3.0,6.0,1.0,1.0,3.0,,,3.0,1.0,1.0,,2.0,1.0,4.0,,0.01,7.0,1.0,3.0,,,,,1.0,,,,,
14015504,home,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,M,22,False,21.0,17.0,1.0,,0.0,9.0,11.0,8.0,10.0,,3.0,,,,,67.0,32.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.8}",1,-0.09,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,80.95238095238095,,,100.0,,3.0,5.0,4.0,1.0,,1.0,,,2.0,2.0,,,1.0,,1.0,1.0,-0.18,,,1.0,,1.0,,,,1.0,,,,
14015504,home,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,17.0,14.0,1.0,1.0,0.0,5.0,6.0,9.0,11.0,,4.0,,,,,66.0,32.0,6.7,11.0,,"{'original': 6.7, 'alternative': 6.8}",1,-0.05,0.19,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,82.35294117647058,100.0,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,,2.0,1.0,-0.07,3.0,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,27.0,21.0,3.0,2.0,0.0,6.0,6.0,15.0,21.0,1.0,4.0,,,,,88.0,45.0,6.9,16.0,,"{'original': 6.9, 'alternative': 7}",1,-0.08,0.48,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,77.77777777777779,66.66666666666666,,66.66666666666666,,1.0,7.0,8.0,2.0,1.0,3.0,,,4.0,4.0,1.0,,2.0,,,1.0,-0.33,2.0,,2.0,,2.0,,,,,,,,
