match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,totalOffside,keyPass,aerialWon,outfielderBlock,interceptionWon,shotOffTarget,shotValueNormalized,totalCross,accurateCross,wonContest,bigChanceCreated,fouls,onTargetScoringAttempt,goals,blockedScoringAttempt,bigChanceMissed,errorLeadToAShot,goodHighClaim,errorLeadToAGoal,hitWoodwork
14015504,home,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,11.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,8.0,,1.0,,,,,90.0,23.0,6.9,6.0,,"{'original': 6.9, 'alternative': 7}",2,0.04,0.68,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,81.81818181818183,100.0,,33.33333333333333,,2.0,5.0,5.0,,,3.0,,,2.0,2.0,,,2.0,,,1.0,-0.63,,,1.0,,2.0,1.0,,,2.0,,,,
14015504,home,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,16.0,11.0,3.0,2.0,0.0,3.0,3.0,8.0,13.0,,1.0,,,,,38.0,22.0,6.3,9.0,,"{'original': 6.3, 'alternative': 6.7}",0,0.14,0.14,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,68.75,66.66666666666666,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,6.0,5.0,2.0,1.0,0.0,2.0,2.0,3.0,4.0,,3.0,,,,,24.0,14.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.14,0.01,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,83.33333333333334,50.0,,,,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,
14015504,home,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,10.0,5.0,2.0,,0.0,3.0,4.0,2.0,6.0,,2.0,,,,,23.0,24.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.11,-0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,50.0,,,,,,2.0,2.0,,2.0,,1.0,1.0,5.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,2.0,,,,0.0,,,0.0,2.0,,,,,,,9.0,9.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.08,-0.45,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,25.0,,,,,,,,,,,3.0,,,1.0,,,,,,4.0,1.0,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5235,FK Javor Ivanjica,1149060,Savo Šušić,savo-susic,D,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,home,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,27.0,14.0,18.0,5.0,0.0,10.0,13.0,4.0,14.0,,6.0,1.0,1.0,,,90.0,33.0,6.5,13.0,0.3184,"{'original': 6.5, 'alternative': 6.6}",0,0.06,-0.02,-0.2,0.24,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,51.85185185185185,27.77777777777778,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,
14015504,away,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,30.0,29.0,1.0,,0.0,19.0,19.0,10.0,11.0,5.0,4.0,,,,,90.0,40.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.07,0.04,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,96.66666666666667,,,100.0,,3.0,5.0,3.0,,,1.0,,,,,,,2.0,,2.0,,,,,1.0,,2.0,,,,,,,,
14015504,away,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,False,52.0,36.0,15.0,4.0,0.0,24.0,30.0,12.0,22.0,10.0,6.0,,,,,90.0,68.0,6.6,16.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.16,0.26,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,69.23076923076923,26.666666666666668,,,,4.0,7.0,4.0,2.0,,,2.0,2.0,,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,48.0,38.0,5.0,2.0,0.0,30.0,33.0,8.0,15.0,8.0,9.0,,,,,90.0,68.0,7.1,10.0,,"{'original': 7.1, 'alternative': 7.3}",0,0.12,0.1,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,79.16666666666666,40.0,,,,,3.0,8.0,,,,5.0,5.0,,,,,3.0,,2.0,,,,,,,3.0,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,False,18.0,13.0,3.0,2.0,0.0,7.0,8.0,6.0,10.0,3.0,5.0,,,,,61.0,30.0,6.3,8.0,,"{'original': 6.3, 'alternative': 6.2}",0,0.08,0.12,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,72.22222222222221,66.66666666666666,,100.0,,,4.0,5.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,,3.0,,,,,,,1.0,
14015504,away,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,M,7,False,28.0,21.0,,,0.0,5.0,8.0,16.0,20.0,2.0,4.0,,,,,88.0,43.0,6.4,11.0,,"{'original': 6.4, 'alternative': 6.8}",0,0.0,-0.13,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,75.0,,,,,1.0,6.0,3.0,1.0,,2.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,False,18.0,12.0,3.0,1.0,0.0,3.0,4.0,9.0,14.0,3.0,3.0,,,,,80.0,33.0,8.0,11.0,,"{'original': 8, 'alternative': 7.4}",1,0.04,0.57,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,66.66666666666666,33.33333333333333,,,,1.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,,,1.0,,1.0,,0.49,,,,,1.0,1.0,1.0,,,,,,
14015504,away,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,False,46.0,40.0,2.0,1.0,0.0,14.0,14.0,26.0,32.0,4.0,4.0,,,,,90.0,62.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.4}",1,0.12,0.08,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,0,4,86.95652173913044,50.0,,,,3.0,7.0,3.0,1.0,,1.0,,,4.0,,,,3.0,,1.0,,-0.09,1.0,,,,2.0,,,1.0,,,,,
14015504,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,25.0,17.0,,,0.0,7.0,9.0,10.0,16.0,3.0,6.0,,,,,90.0,64.0,6.3,25.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.14,0.31,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,68.0,,20.0,50.0,,,3.0,3.0,,,4.0,1.0,,9.0,,,1.0,,,,,-0.3,5.0,1.0,2.0,,1.0,1.0,,,,,,,
14015504,away,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,F,70,False,60.0,49.0,3.0,,1.0,14.0,14.0,35.0,46.0,,6.0,,,,,90.0,79.0,7.3,18.0,,"{'original': 7.3, 'alternative': 7.7}",0,0.45,0.21,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,81.66666666666667,,25.0,40.0,,,3.0,5.0,,,5.0,1.0,1.0,1.0,2.0,,4.0,,,1.0,,,4.0,1.0,2.0,1.0,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,29.0,20.0,3.0,3.0,0.0,9.0,11.0,11.0,18.0,,3.0,,,,,90.0,40.0,6.6,11.0,,"{'original': 6.6, 'alternative': 7}",4,-0.45,0.27,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,68.96551724137932,100.0,,,,2.0,5.0,4.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,-0.48,,,,,2.0,,,4.0,,,,,1.0
14015504,away,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,True,13.0,9.0,,,0.0,,,9.0,13.0,,,,,,,29.0,16.0,6.1,6.0,,"{'original': 6.1, 'alternative': 6.6}",0,-0.26,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,69.23076923076923,,,,,2.0,3.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
14015504,away,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,5.0,4.0,,,0.0,2.0,3.0,2.0,2.0,,,,,,,10.0,6.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.2}",0,0.01,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,80.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,,,,,0.0,,,,,,,,,,,9.0,,6.4,,,"{'original': 6.4, 'alternative': 6.4}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,2049924,Ezekiel Ruben,ezekiel-ruben,D,66,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,241802,FK Spartak Subotica,1957203,Anđelko Pavlović,andjelko-pavlovic,F,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015504,away,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,M,16,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
