match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,outfielderBlock,interceptionWon,wonContest,keyPass,accurateCross,challengeLost,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,onTargetScoringAttempt,hitWoodwork,goals,goodHighClaim,errorLeadToAGoal,totalOffside
14015473,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,45.0,27.0,22.0,4.0,0.0,26.0,30.0,1.0,15.0,2.0,6.0,3.0,3.0,90.0,52.0,7.4,19.0,0.6098,"{'original': 7.4, 'alternative': 6.8}",0,-0.01,0.0,0.2,0.48,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,18.181818181818183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,36.0,29.0,8.0,3.0,0.0,17.0,20.0,12.0,16.0,4.0,4.0,,,90.0,63.0,6.9,13.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.26,0.07,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,80.55555555555556,37.5,,,,1.0,5.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-0.1,,,,,,,,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,61.0,49.0,10.0,1.0,0.0,38.0,41.0,11.0,20.0,7.0,6.0,,,90.0,77.0,7.4,14.0,,"{'original': 7.4, 'alternative': 7.2}",0,0.11,0.06,0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,80.32786885245902,10.0,,,,,3.0,2.0,4.0,4.0,,,,2.0,2.0,2.0,,1.0,,1.0,2.0,,,,,,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,82.0,72.0,8.0,4.0,0.0,50.0,56.0,22.0,26.0,6.0,5.0,,,90.0,94.0,7.8,10.0,,"{'original': 7.8, 'alternative': 7.5}",0,0.2,0.28,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,3,0,87.8048780487805,50.0,,100.0,,,2.0,4.0,2.0,7.0,,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,24.0,21.0,1.0,1.0,0.0,15.0,16.0,6.0,8.0,5.0,4.0,,,76.0,54.0,6.8,9.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.17,-0.42,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,87.5,100.0,100.0,,,1.0,,,6.0,3.0,2.0,,,2.0,1.0,2.0,1.0,3.0,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,53.0,47.0,2.0,,0.0,27.0,30.0,20.0,23.0,2.0,6.0,,,90.0,63.0,6.9,9.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.41,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,88.67924528301887,,50.0,,,2.0,1.0,1.0,5.0,1.0,2.0,,,,,,,,,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,34.0,31.0,3.0,2.0,0.0,10.0,10.0,21.0,24.0,1.0,1.0,,,76.0,45.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.28,0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,91.17647058823529,66.66666666666666,,,,,,,3.0,4.0,,,,3.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,,,,
14015473,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,17.0,14.0,,,0.0,2.0,2.0,12.0,15.0,1.0,2.0,,,75.0,31.0,6.3,9.0,,"{'original': 6.3, 'alternative': 6.5}",4,-0.12,0.11,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,82.35294117647058,,,,,1.0,3.0,,5.0,3.0,1.0,,3.0,,,3.0,3.0,1.0,-0.66,,,,1.0,,,,1.0,1.0,,,,,,
14015473,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,19.0,15.0,1.0,,0.0,9.0,10.0,6.0,9.0,,3.0,,,89.0,31.0,5.9,6.0,,"{'original': 5.9, 'alternative': 7}",4,-0.05,0.12,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,4,6,78.94736842105263,,,100.0,,1.0,3.0,,9.0,4.0,1.0,2.0,3.0,2.0,1.0,,,5.0,-0.59,,,2.0,,,,,1.0,,1.0,,,,,
14015473,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,35.0,26.0,,,0.0,9.0,12.0,17.0,23.0,,2.0,,,90.0,52.0,7.8,16.0,,"{'original': 7.8, 'alternative': 7.7}",3,-0.16,0.48,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,74.28571428571429,,100.0,50.0,,1.0,,,6.0,4.0,2.0,2.0,,1.0,1.0,4.0,2.0,1.0,0.52,,,1.0,3.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,,
