player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,miss,assisted,"{'x': 14.4, 'y': 40.1, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 56.6, 'z': 61.1}",5790050,72,4286,"{'start': {'x': 40.1, 'y': 14.4}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 38.9}}",19,1114,1586,shot,,
"{'name': 'Matija Malekinušić', 'firstName': '', 'lastName': '', 'slug': 'matija-malekinusic', 'shortName': 'M. Malekinušić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 112, 'gender': 'M', 'id': 1003429, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا مالاكينوشيتش', 'bn': 'মাতিজা মালেকিনুসিচ', 'hi': 'मतिजा मालेकिनुसिक'}, 'shortNameTranslation': {'ar': 'م. مالاكينوشيتش', 'bn': 'এম. মালেকিনুশিচ', 'hi': 'एम. मालेकिनुसिक'}}}",False,block,corner,"{'x': 7.9, 'y': 60.9, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.5, 'z': 19}",5790016,69,4082,"{'start': {'x': 60.9, 'y': 7.9}, 'block': {'x': 58.8, 'y': 6.2}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 81}}",22,1318,1382,shot,"{'x': 6.2, 'y': 58.8, 'z': 0}",
"{'name': 'Stefan Stanisavljević', 'slug': 'stefan-stanisavljevic', 'shortName': 'S. Stanisavljević', 'position': 'F', 'jerseyNumber': '18', 'userCount': 77, 'gender': 'M', 'id': 1032770, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستانيسافليفيتش'}, 'shortNameTranslation': {'ar': 'س. ستانيسافليفيتش'}}}",False,save,assisted,"{'x': 6.7, 'y': 56, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 45.7, 'z': 21.5}",5790005,68,4043,"{'start': {'x': 56, 'y': 6.7}, 'block': {'x': 52.5, 'y': 0.3}, 'end': {'x': 54.3, 'y': 0}, 'goal': {'x': 54.3, 'y': 78.5}}",23,1357,1343,shot,"{'x': 0.3, 'y': 52.5, 'z': 0}",
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",True,miss,assisted,"{'x': 7.7, 'y': 45, 'z': 0}",left-foot,high,"{'x': 0, 'y': 52.3, 'z': 62.5}",5789992,67,3964,"{'start': {'x': 45, 'y': 7.7}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 37.5}}",24,1436,1264,shot,,
"{'name': 'Semir Alić', 'firstName': '', 'lastName': '', 'slug': 'semir-alic', 'shortName': 'S. Alić', 'position': 'M', 'jerseyNumber': '14', 'userCount': 55, 'gender': 'M', 'id': 1102770, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمير عليتش'}, 'shortNameTranslation': {'ar': 'س. عليتش'}}}",False,block,assisted,"{'x': 12.8, 'y': 66.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.9, 'z': 19}",5790538,66,3922,"{'start': {'x': 66.4, 'y': 12.8}, 'block': {'x': 61.9, 'y': 8.1}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 81}}",25,1478,1222,shot,"{'x': 8.1, 'y': 61.9, 'z': 0}",
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",True,miss,assisted,"{'x': 8.8, 'y': 45.6, 'z': 0}",head,right,"{'x': 0, 'y': 37.1, 'z': 6.9}",5789984,65,3847,"{'start': {'x': 45.6, 'y': 8.8}, 'end': {'x': 62.9, 'y': 0}, 'goal': {'x': 62.9, 'y': 93.1}}",26,1553,1147,shot,,
"{'name': 'Stefan Stanisavljević', 'slug': 'stefan-stanisavljevic', 'shortName': 'S. Stanisavljević', 'position': 'F', 'jerseyNumber': '18', 'userCount': 77, 'gender': 'M', 'id': 1032770, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستانيسافليفيتش'}, 'shortNameTranslation': {'ar': 'س. ستانيسافليفيتش'}}}",False,miss,fast-break,"{'x': 5.4, 'y': 48.7, 'z': 0}",head,left,"{'x': 0, 'y': 61.5, 'z': 19.4}",5789947,63,3744,"{'start': {'x': 48.7, 'y': 5.4}, 'block': {'x': 42.6, 'y': 0.5}, 'end': {'x': 38.5, 'y': 0}, 'goal': {'x': 38.5, 'y': 80.6}}",28,1656,1044,shot,"{'x': 0.5, 'y': 42.6, 'z': 0}",
"{'name': 'Dragoljub Savić', 'slug': 'dragoljub-savic', 'shortName': 'D. Savić', 'position': 'M', 'jerseyNumber': '21', 'userCount': 54, 'gender': 'M', 'id': 980796, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغوليوب سافيتش', 'bn': 'ড্রাগলজুব স্যাভিক', 'hi': 'ड्रैगोलजुब सैविक'}, 'shortNameTranslation': {'ar': 'د. سافيتش', 'bn': 'ডি. স্যাভিক', 'hi': 'डी. सैविक'}}}",True,goal,regular,"{'x': 18.4, 'y': 45.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 1.9}",5789906,58,3454,"{'start': {'x': 45.4, 'y': 18.4}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 98.1}}",33,1946,754,shot,,regular
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",True,save,assisted,"{'x': 30.5, 'y': 40.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 4.4}",5789843,54,3224,"{'start': {'x': 40.7, 'y': 30.5}, 'block': {'x': 47.8, 'y': 0.59999999999999}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 95.6}}",37,2176,524,shot,"{'x': 0.59999999999999, 'y': 47.8, 'z': 0}",
"{'name': 'Dragoljub Savić', 'slug': 'dragoljub-savic', 'shortName': 'D. Savić', 'position': 'M', 'jerseyNumber': '21', 'userCount': 54, 'gender': 'M', 'id': 980796, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغوليوب سافيتش', 'bn': 'ড্রাগলজুব স্যাভিক', 'hi': 'ड्रैगोलजुब सैविक'}, 'shortNameTranslation': {'ar': 'د. سافيتش', 'bn': 'ডি. স্যাভিক', 'hi': 'डी. सैविक'}}}",True,block,assisted,"{'x': 15.6, 'y': 35.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 19}",5789819,52,3084,"{'start': {'x': 35.4, 'y': 15.6}, 'block': {'x': 40.2, 'y': 8.9}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 81}}",39,2316,384,shot,"{'x': 8.9, 'y': 40.2, 'z': 0}",
