match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147314,6224,FK Sutjeska Nikšić,home,5,17,354,2,10,50,1,5,6,14,33,2.78,12,3,10,4,42,0,19,0,427,0,8,9,30,25,14,18,4,6,2
14147314,36019,FK Mornar Bar,away,5,20,311,0,10,50,2,4,10,15,39,0.9,10,3,8,6,53,0,16,0,391,0,5,4,26,24,7,11,4,12,1
14147315,36019,FK Mornar Bar,home,4,36,462,3,9,69,2,5,11,18,37,1.89,10,3,5,3,56,0,12,3,548,1,1,6,28,14,7,9,2,5,5
14147315,37956,FK Arsenal Tivat,away,3,23,166,1,13,31,2,4,4,9,31,0.71,18,2,1,4,39,0,12,3,230,0,3,5,29,35,5,10,5,3,2
14147316,7581,FK Bokelj Kotor,home,9,49,363,4,23,50,1,4,10,23,38,1.54,12,3,9,3,48,1,11,1,442,0,5,5,20,13,6,12,6,8,1
14147316,36019,FK Mornar Bar,away,2,32,373,0,27,50,1,3,6,17,41,1.08,14,4,7,5,46,1,22,1,443,0,8,5,14,14,5,15,10,3,2
14147317,6226,FK Dečić Tuzi,home,7,34,406,2,16,55,2,5,5,15,36,2.01,15,1,5,1,37,1,20,2,476,0,5,4,20,14,7,12,5,3,0
14147317,6216,OFK Petrovac,away,5,33,315,0,22,45,3,2,3,7,36,0.67,10,2,9,2,34,0,14,2,386,0,1,3,25,25,2,7,5,2,3
14147318,6224,FK Sutjeska Nikšić,home,5,27,401,0,20,58,1,4,13,10,40,0.69,14,1,7,3,35,0,10,2,496,0,5,4,32,9,5,10,5,4,1
14147318,37956,FK Arsenal Tivat,away,1,28,256,0,8,42,1,2,9,12,31,0.49,18,1,7,2,40,0,27,4,337,0,3,3,31,33,2,7,5,1,0
14147319,24312,FK Jezero,home,3,21,284,0,12,47,4,1,5,14,42,1.08,5,6,9,3,48,1,21,1,372,0,5,4,25,25,6,14,8,9,1
14147319,5143,FK Budućnost Podgorica,away,5,27,363,1,7,53,4,6,6,15,31,1.91,12,1,9,3,36,0,10,5,456,0,5,5,29,10,8,14,6,5,3
14147320,24312,FK Jezero,home,1,22,391,4,13,51,0,3,7,20,42,1.06,11,2,6,3,43,0,19,3,439,0,7,6,20,18,6,13,7,2,1
14147320,6226,FK Dečić Tuzi,away,7,15,350,0,11,49,1,1,6,16,38,0.44,15,2,8,1,41,0,6,0,418,1,1,3,23,13,4,5,1,4,3
14147321,5143,FK Budućnost Podgorica,home,5,26,412,2,13,60,5,7,6,21,40,1.47,13,3,5,3,50,0,20,4,495,0,4,7,21,13,8,16,8,3,2
14147321,6219,FK Jedinstvo Bijelo Polje,away,9,19,250,1,8,40,3,2,7,17,33,0.7,13,2,8,6,46,1,17,0,316,0,2,4,17,19,3,10,7,7,4
14147322,6216,OFK Petrovac,home,4,31,261,5,8,41,6,6,9,13,32,1.07,16,2,11,4,44,1,13,3,341,0,2,6,20,17,7,15,8,2,1
14147322,327162,Mladost DG,away,5,18,370,3,14,59,0,8,7,21,40,0.56,11,5,5,2,46,0,22,6,457,0,3,3,21,17,2,7,5,5,1
14147323,6224,FK Sutjeska Nikšić,home,6,19,385,2,16,56,8,9,4,23,39,2.28,14,2,6,2,45,0,19,1,450,0,5,8,21,17,15,21,6,5,1
14147323,6216,OFK Petrovac,away,4,29,339,0,16,44,2,7,6,16,35,0.59,17,1,11,8,36,0,16,3,405,0,1,3,15,28,1,6,5,7,4
14147324,6226,FK Dečić Tuzi,home,4,34,255,3,19,43,1,3,7,13,35,1.61,16,2,5,5,40,0,22,2,319,0,3,5,17,33,6,9,3,2,1
14147324,6224,FK Sutjeska Nikšić,away,7,30,401,4,15,57,3,5,8,10,36,1.22,12,4,8,2,51,0,13,5,494,0,4,6,23,7,8,13,5,1,2
14147325,327162,Mladost DG,home,3,21,294,2,16,58,3,3,13,23,43,0.82,16,5,3,3,71,0,20,1,382,1,7,3,40,17,6,13,7,10,4
14147325,24312,FK Jezero,away,2,27,268,1,17,42,2,2,13,16,31,0.73,19,2,11,3,47,0,9,5,352,0,1,4,33,19,6,7,1,6,2
14147326,37956,FK Arsenal Tivat,home,3,28,186,1,19,43,0,3,6,13,33,0.44,11,0,9,1,38,1,14,2,294,0,3,5,35,40,5,9,4,2,0
14147326,7581,FK Bokelj Kotor,away,8,36,304,2,18,57,2,3,5,14,34,1.4,9,6,8,3,41,1,11,1,415,0,5,1,49,12,6,9,3,2,2
14147327,6224,FK Sutjeska Nikšić,home,2,25,289,0,9,45,2,6,1,13,36,1.14,13,5,6,7,49,0,19,1,361,0,4,6,12,7,7,12,5,5,1
