match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147376,36019,FK Mornar Bar,away,3,22,333,1,7,46,2,4,9,15,45,0.56,8,2,11,6,62,0,15,1,402,1,7,2,12,12,5,11,6,8,0
14147377,327162,Mladost DG,home,4,30,328,4,24,60,2,5,5,16,40,0.96,10,2,5,3,43,0,20,3,444,0,8,2,24,19,2,12,10,2,2
14147377,6224,FK Sutjeska Nikšić,away,7,34,168,1,22,40,1,3,5,10,35,2.42,16,4,13,0,40,0,23,2,280,0,2,6,34,19,7,9,2,4,3
14147378,6219,FK Jedinstvo Bijelo Polje,home,0,35,290,3,17,47,2,3,8,20,37,0.64,15,2,9,7,60,0,15,2,391,0,5,2,27,13,2,9,7,7,0
14147378,24312,FK Jezero,away,3,32,358,2,15,53,4,5,9,16,34,1.79,11,2,8,2,53,0,28,2,449,0,5,6,24,28,8,15,7,3,0
14147379,36019,FK Mornar Bar,home,5,32,356,1,13,54,4,4,8,17,39,2.42,22,1,7,2,48,2,17,1,431,0,5,5,25,16,11,16,5,4,2
14147379,6216,OFK Petrovac,away,0,28,282,0,12,46,2,0,5,15,35,0.56,12,3,11,3,43,1,20,0,356,0,6,3,21,9,3,12,9,3,3
14147380,6226,FK Dečić Tuzi,home,3,38,305,2,25,51,0,2,1,9,37,0.86,18,2,4,2,46,0,14,0,393,0,2,4,26,16,6,6,0,9,2
14147380,37956,FK Arsenal Tivat,away,5,30,339,1,20,49,3,3,4,18,30,1.21,18,5,5,0,45,0,13,1,425,0,3,4,30,10,4,10,6,5,0
14147381,5143,FK Budućnost Podgorica,home,9,25,442,2,21,68,5,5,3,14,42,0.84,13,4,2,3,40,0,13,5,524,0,5,1,19,6,7,11,4,3,0
14147381,7581,FK Bokelj Kotor,away,6,21,167,0,14,32,1,5,10,7,35,0.92,16,3,14,1,41,0,17,1,241,0,1,4,15,28,4,6,2,4,2
14147382,37956,FK Arsenal Tivat,home,4,26,145,0,30,44,4,4,4,12,34,0.39,22,2,13,2,38,0,22,2,243,0,2,4,27,14,3,10,7,0,3
14147382,327162,Mladost DG,away,4,30,214,0,26,56,1,7,6,14,39,0.5,14,7,7,4,44,0,15,4,323,0,5,2,37,21,4,8,4,2,2
14147383,7581,FK Bokelj Kotor,home,5,28,223,3,20,39,2,2,2,8,38,1.69,15,4,6,1,40,1,20,2,298,0,4,3,23,17,3,10,7,5,0
14147383,6226,FK Dečić Tuzi,away,4,31,392,1,20,61,0,2,6,12,37,0.85,17,3,11,2,40,0,13,4,476,0,5,2,26,19,4,7,3,5,4
14147384,6224,FK Sutjeska Nikšić,home,3,18,330,1,21,52,3,8,6,14,43,1.05,10,4,4,0,48,0,12,3,426,0,5,4,23,10,9,12,3,4,0
14147384,6219,FK Jedinstvo Bijelo Polje,away,5,21,330,3,12,48,1,1,8,7,27,0.38,19,1,6,2,32,0,11,1,430,0,2,0,26,12,1,3,2,0,5
14147385,24312,FK Jezero,home,4,19,239,0,16,51,2,3,9,11,32,2.17,19,2,9,3,46,0,16,0,350,0,3,7,20,19,9,12,3,3,2
14147385,36019,FK Mornar Bar,away,6,21,201,0,16,49,2,3,11,11,44,0.82,14,5,5,5,67,1,12,0,311,0,4,2,27,9,5,9,4,2,2
14147386,6216,OFK Petrovac,home,3,26,235,2,16,49,2,6,5,16,37,0.74,15,3,8,4,45,0,23,2,315,0,8,4,18,19,6,14,8,4,4
14147386,5143,FK Budućnost Podgorica,away,5,34,249,3,21,51,4,2,12,12,39,1.0,21,5,15,2,45,0,18,1,333,0,3,5,27,15,7,12,5,3,3
14147387,6216,OFK Petrovac,home,10,31,354,2,25,64,5,10,5,13,40,0.66,12,3,4,2,40,0,7,1,448,0,6,2,30,12,8,13,5,2,1
14147387,7581,FK Bokelj Kotor,away,1,21,153,0,23,36,0,1,8,5,30,0.13,13,2,15,2,25,0,8,0,246,0,1,2,33,20,2,3,1,6,1
14147388,24312,FK Jezero,home,4,24,311,0,10,55,3,4,10,8,37,1.14,9,2,5,2,47,0,12,2,402,0,5,5,32,12,5,13,8,1,1
14147388,5143,FK Budućnost Podgorica,away,1,18,214,2,20,45,1,4,6,8,39,0.27,16,2,10,4,41,0,15,2,313,0,3,2,29,17,3,6,3,5,5
14147389,6224,FK Sutjeska Nikšić,home,5,25,327,1,12,50,3,5,8,16,37,0.86,13,3,11,2,56,1,26,1,447,0,4,0,21,14,4,8,4,1,1
14147389,36019,FK Mornar Bar,away,6,28,342,0,21,50,2,5,6,21,39,1.38,16,1,8,0,48,1,26,0,456,0,8,3,9,17,6,14,8,8,3
14147390,37956,FK Arsenal Tivat,home,6,27,169,0,33,46,3,5,14,8,38,1.17,20,0,6,3,44,0,24,6,285,0,2,2,26,12,5,7,2,4,1
14147390,6219,FK Jedinstvo Bijelo Polje,away,2,30,190,0,35,54,2,3,6,17,43,0.18,20,3,7,2,52,0,16,3,292,0,2,3,38,17,0,7,7,1,2
14147391,6226,FK Dečić Tuzi,home,5,34,375,5,11,58,1,2,12,12,41,2.37,13,7,7,1,44,0,26,1,471,0,3,6,25,7,7,10,3,1,2
14147391,327162,Mladost DG,away,3,28,221,2,17,42,1,3,11,9,37,1.59,16,1,8,3,45,0,24,2,313,0,5,4,22,13,8,10,2,4,7
14147408,6216,OFK Petrovac,home,0,29,346,2,7,47,1,1,7,9,33,0.59,13,0,10,4,35,0,9,1,440,0,1,3,27,23,2,5,3,7,1
14147408,7581,FK Bokelj Kotor,away,4,21,369,1,10,53,3,5,3,20,40,1.3,15,1,3,1,46,1,17,2,471,0,4,4,33,15,8,12,4,3,3
14147447,327162,Mladost DG,home,5,39,419,2,13,59,2,7,10,24,42,2.83,10,0,2,3,60,0,28,3,508,0,1,10,21,11,9,13,4,1,2
14147447,6219,FK Jedinstvo Bijelo Polje,away,2,20,258,0,10,41,6,1,7,12,36,1.68,16,4,6,5,49,1,10,2,329,0,1,5,19,13,5,13,8,2,1
14833029,37956,FK Arsenal Tivat,home,3,22,268,0,32,55,2,3,9,20,38,0.24,14,2,7,1,45,0,6,3,364,0,1,0,32,25,2,3,1,6,2
14833029,36019,FK Mornar Bar,away,4,29,219,1,19,45,3,7,11,14,33,0.69,10,1,10,0,47,0,16,3,305,0,5,2,37,21,4,10,6,1,4
15188250,6226,FK Dečić Tuzi,home,6,40,341,1,17,53,2,6,12,21,31,1.37,10,0,7,4,39,0,23,1,430,0,4,4,24,19,5,10,5,2,0
15188250,5143,FK Budućnost Podgorica,away,2,27,273,2,21,47,3,2,2,16,37,0.84,9,2,9,3,49,0,12,1,373,0,4,3,29,18,3,10,7,7,1
