team_id,team_name,short_name
37956,FK Arsenal Tivat, Arsenal Tivat
6219,FK Jedinstvo Bijelo Polje, Jedinstvo
6216,OFK Petrovac, Petrovac
7581,FK Bokelj Kotor, Bokelj
6226,FK Dečić Tuzi, Dečić
327162,Mladost DG, Mladost DG
24312,FK Jezero, Jezero
5143,FK Budućnost Podgorica, Budućnost
6224,FK Sutjeska Nikšić, Sutjeska
36019,FK Mornar Bar, Mornar
