match_id,player_id,player_name,team_id,team_name,player_current_team_id,player_current_team,team_side,position_played,shirtNumber,substitute,played,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,successfulDribbles,totalClearance,totalContest,totalCross,totalDribble,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
14147297,927881,Stefan Spasojević,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,G,88,False,True,0.0,0.0,6.0,2.0,20.0,22.0,0.0,0.0,5.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,90.0,0.0,0.0,0.0,,,,,,3.0,6.4,,2.0,,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,22.0,26.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
14147297,314142,Stefan Vico,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,D,22,False,True,0.0,,1.0,4.0,6.0,10.0,2.0,1.0,3.0,,,,0.0,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,46.0,0.0,0.0,0.0,,,,,,2.0,6.4,,,,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,5.0,6.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
14147297,94246,Igor Ćuković,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,D,26,False,True,0.0,,3.0,7.0,20.0,27.0,0.0,2.0,6.0,,,,1.0,,,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,59.0,0.0,0.0,0.0,,,,,,7.0,6.5,,,,0.0,0.0,0.0,1.0,0.0,,5.0,0.0,12.0,22.0,34.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
14147297,57463,Saša Balić,7581,FK Bokelj Kotor,241802,No team,home,D,34,False,True,0.0,,5.0,8.0,36.0,45.0,1.0,2.0,10.0,,,,1.0,,,,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,,,1.0,,90.0,0.0,0.0,0.0,,,,,,13.0,6.3,,,,0.0,4.0,0.0,0.0,0.0,,10.0,0.0,15.0,41.0,57.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0
14147297,909420,Marko Čavor,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,D,29,False,True,0.0,,1.0,11.0,8.0,19.0,0.0,2.0,4.0,,,1.0,0.0,,,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,90.0,0.0,0.0,0.0,,,,,,11.0,6.4,,,,2.0,0.0,3.0,1.0,3.0,,5.0,0.0,19.0,11.0,30.0,1.0,0.0,42.0,0.0,1.0,2.0,0.0
14147297,1381377,Kristijan Radunović,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,M,14,False,True,0.0,,2.0,8.0,14.0,22.0,0.0,5.0,11.0,,,,0.0,1.0,,1.0,8.0,8.0,0.0,0.0,0.24,0.0,0.0,0.0,,1.0,2.0,,90.0,0.0,1.0,0.0,,,,,,20.0,7.5,,,1.0,0.0,3.0,1.0,0.0,1.0,,6.0,0.0,18.0,18.0,37.0,1.0,1.0,52.0,0.0,2.0,0.0,1.0
14147297,1486746,Alhassan Baba Musah,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,M,19,False,True,1.0,,0.0,11.0,5.0,16.0,1.0,2.0,6.0,,,1.0,0.0,,,,9.0,5.0,0.0,0.0,0.03,1.0,0.0,0.0,,,1.0,,90.0,0.0,0.0,0.0,,,,,,10.0,6.4,,,,2.0,0.0,3.0,3.0,3.0,,2.0,2.0,17.0,6.0,23.0,1.0,1.0,36.0,0.0,0.0,2.0,0.0
14147297,807177,Žarko Vilotijević,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,M,80,False,True,0.0,,2.0,5.0,7.0,12.0,1.0,1.0,7.0,,,,0.0,,,,5.0,3.0,0.0,0.03,0.0,1.0,0.0,0.0,,,1.0,1.0,46.0,0.0,0.0,0.0,,,,,,5.0,6.6,,,,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,10.0,7.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
14147297,572018,Velizar Janketić,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,M,7,False,True,0.0,,1.0,3.0,4.0,7.0,2.0,3.0,5.0,,,,1.0,,,1.0,12.0,6.0,0.0,0.24,0.11,1.0,0.0,0.0,,,,1.0,90.0,0.0,0.0,0.0,,,,,,17.0,6.6,,,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,0.0,13.0,7.0,20.0,1.0,0.0,32.0,0.0,5.0,0.0,0.0
14147297,813112,Luka Maraš,7581,FK Bokelj Kotor,7581,FK Bokelj Kotor,home,M,11,False,True,2.0,,0.0,3.0,1.0,4.0,3.0,1.0,2.0,,,,1.0,,,1.0,12.0,5.0,0.0,0.0,0.33,3.0,0.0,1.0,,,,,71.0,1.0,1.0,0.0,,,,,,6.0,7.4,,,,1.0,3.0,1.0,2.0,1.0,,0.0,0.0,3.0,1.0,5.0,1.0,2.0,19.0,0.0,3.0,1.0,2.0
