match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,challengeLost,fouls,aerialLost,aerialWon,blockedScoringAttempt,shotValueNormalized,bigChanceCreated,keyPass,totalContest,penaltyWon,shotOffTarget,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,goals,outfielderBlock,penaltyFaced,punches,penaltyConceded
14015479,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,23.0,18.0,7.0,3.0,0.0,18.0,21.0,2.0,8.0,1.0,1.0,3.0,1.0,1.0,90.0,33.0,7.0,5.0,0.0791,"{'original': 7, 'alternative': 7.4}",0,0.03,-0.08,0.21,0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.26086956521739,42.857142857142854,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,57.0,51.0,2.0,,0.0,18.0,19.0,38.0,4.0,,,,,,90.0,84.0,7.4,13.0,,"{'original': 7.4, 'alternative': 7.4}",0,0.28,0.27,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,89.47368421052632,,,,,33.0,3.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,37.0,35.0,3.0,1.0,0.0,24.0,25.0,12.0,3.0,,,,,,45.0,37.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.06,0.07,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,94.5945945945946,33.33333333333333,,,,11.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,89.0,86.0,1.0,1.0,0.0,40.0,41.0,48.0,4.0,,,,,,90.0,97.0,7.3,3.0,,"{'original': 7.3, 'alternative': 7.3}",0,0.36,0.12,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,96.62921348314607,100.0,,,,46.0,,2.0,4.0,,2.0,,1.0,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,19.0,15.0,,,0.0,7.0,9.0,10.0,1.0,,,,,,45.0,26.0,6.7,6.0,,"{'original': 6.7, 'alternative': 6.7}",1,-0.06,-0.05,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,78.94736842105263,,,,,8.0,2.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,-0.15,,,,,,,,,,,,,,
14015479,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,102.0,96.0,5.0,5.0,0.0,32.0,33.0,69.0,4.0,,,,,,90.0,109.0,8.4,6.0,,"{'original': 8.4, 'alternative': 7.9}",0,0.78,0.33,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,94.11764705882352,100.0,,,,64.0,,3.0,3.0,,,2.0,1.0,1.0,,,,1.0,,2.0,2.0,,,1.0,3.0,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,24.0,20.0,,,0.0,3.0,3.0,21.0,3.0,,,,,,64.0,37.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.12,-0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,83.33333333333334,,,,,17.0,,2.0,1.0,,,,,,,4.0,1.0,,,,,,,,,2.0,,,,,,,,,,,
14015479,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,54.0,48.0,11.0,8.0,0.0,21.0,22.0,32.0,4.0,,,,,,90.0,64.0,7.4,10.0,,"{'original': 7.4, 'alternative': 7.4}",0,0.25,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,88.88888888888889,72.72727272727273,,,,27.0,,3.0,2.0,1.0,1.0,2.0,,,,3.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,
14015479,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,69.0,60.0,7.0,3.0,0.0,17.0,17.0,52.0,7.0,,,,,,90.0,91.0,7.4,19.0,,"{'original': 7.4, 'alternative': 7.8}",5,0.72,0.55,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,86.95652173913044,42.857142857142854,,,,43.0,7.0,1.0,4.0,,,,1.0,1.0,,2.0,3.0,,,,,3.0,-0.28,1.0,2.0,1.0,,1.0,1.0,,,,,,,,
14015479,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,35.0,29.0,1.0,,0.0,4.0,4.0,31.0,3.0,,,,,,89.0,66.0,6.9,18.0,,"{'original': 6.9, 'alternative': 7.1}",3,0.07,0.62,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,5,9,82.85714285714286,,50.0,33.33333333333333,,25.0,4.0,10.0,6.0,3.0,2.0,,2.0,1.0,,2.0,1.0,2.0,,1.0,1.0,1.0,-0.52,,1.0,6.0,,,2.0,2.0,2.0,1.0,,,,,
