match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,shotValueNormalized,outfielderBlock,interceptionWon,wonContest,goals,accurateCross,bigChanceCreated,keyPass,bigChanceMissed,savedShotsFromInsideTheBox
14015467,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,24.0,12.0,19.0,8.0,0.0,10.0,13.0,2.0,11.0,1.0,2.0,3.0,11.0,1.0,1.0,1.0,3.0,90.0,34.0,6.9,12.0,-0.0009,"{'original': 6.9, 'alternative': 7.2}",0,0.06,-0.02,0.18,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,42.10526315789473,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,29.0,24.0,5.0,4.0,0.0,10.0,11.0,14.0,18.0,4.0,6.0,5.0,3.0,1.0,,,,90.0,64.0,7.4,15.0,,"{'original': 7.4, 'alternative': 7.1}",3,0.2,0.01,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,2,7,82.75862068965517,80.0,,,,2.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,-0.43,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,30.0,23.0,4.0,,0.0,17.0,17.0,6.0,13.0,3.0,4.0,5.0,3.0,,,,,90.0,42.0,7.1,8.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.26,0.09,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,1,0,76.66666666666667,,,,,,2.0,2.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,
14015467,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,25.0,16.0,8.0,5.0,0.0,10.0,14.0,6.0,11.0,3.0,6.0,3.0,1.0,1.0,,,,90.0,39.0,8.4,10.0,,"{'original': 8.4, 'alternative': 8.3}",1,0.25,0.02,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,3,3,64.0,62.5,,100.0,,,3.0,6.0,,1.0,1.0,,1.0,,1.0,1.0,,2.0,,0.52,,4.0,1.0,1.0,,,,,
14015467,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,28.0,15.0,8.0,3.0,1.0,3.0,9.0,12.0,19.0,,2.0,5.0,,1.0,,,,89.0,68.0,7.8,24.0,,"{'original': 7.8, 'alternative': 8.5}",0,0.69,0.02,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,53.57142857142857,37.5,55.55555555555556,,,9.0,,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,5.0,2.0,3.0,,
14015467,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,17.0,13.0,,,0.0,6.0,6.0,7.0,11.0,1.0,3.0,1.0,,1.0,,,,90.0,23.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.4}",0,-0.02,-0.09,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,76.47058823529412,,,,,,,3.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,42.0,26.0,8.0,1.0,0.0,9.0,11.0,17.0,31.0,2.0,5.0,3.0,8.0,,,,,90.0,59.0,6.8,18.0,,"{'original': 6.8, 'alternative': 7.1}",0,0.18,0.12,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,61.904761904761905,12.5,,50.0,,,,5.0,1.0,,2.0,,,,2.0,2.0,1.0,3.0,,,1.0,2.0,1.0,,,,,,
14015467,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,23.0,21.0,1.0,1.0,0.0,5.0,5.0,16.0,18.0,2.0,11.0,1.0,3.0,3.0,,,,90.0,53.0,7.4,11.0,,"{'original': 7.4, 'alternative': 7.6}",6,0.37,0.52,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,9,5,91.30434782608695,100.0,,75.0,,1.0,2.0,7.0,3.0,,4.0,1.0,1.0,4.0,3.0,2.0,5.0,1.0,,-0.42,,1.0,3.0,,,1.0,3.0,,
14015467,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,37.0,23.0,3.0,,0.0,3.0,5.0,20.0,32.0,3.0,11.0,3.0,9.0,4.0,,,,87.0,65.0,7.5,26.0,,"{'original': 7.5, 'alternative': 7.2}",2,0.31,0.29,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,7,15,8,7,62.16216216216216,,,40.0,,3.0,4.0,11.0,1.0,3.0,5.0,1.0,1.0,,2.0,,1.0,,1.0,-0.21,,,2.0,,,,3.0,1.0,
14015467,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,24.0,14.0,5.0,3.0,0.0,2.0,3.0,12.0,21.0,1.0,3.0,1.0,5.0,1.0,,,,81.0,39.0,6.1,16.0,,"{'original': 6.1, 'alternative': 6.5}",2,-0.01,0.3,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,2,8,58.333333333333336,60.0,,,,,3.0,11.0,4.0,1.0,2.0,1.0,,1.0,1.0,,3.0,1.0,,-0.6,,,,,,,,1.0,
14015467,home,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,25.0,20.0,,,0.0,5.0,5.0,15.0,20.0,7.0,9.0,3.0,,,,,,89.0,53.0,8.0,15.0,,"{'original': 8, 'alternative': 7.4}",2,0.09,0.22,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,10,6,2,4,80.0,,,50.0,,,3.0,7.0,,2.0,2.0,1.0,1.0,,1.0,1.0,7.0,1.0,1.0,0.46,,1.0,1.0,1.0,,,2.0,1.0,
14015467,home,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,5.0,2.0,,,0.0,,1.0,2.0,4.0,,2.0,1.0,1.0,1.0,,,,9.0,9.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.11,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,40.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,True,5.0,4.0,1.0,,0.0,,,4.0,5.0,1.0,2.0,,1.0,1.0,,,,10.0,8.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.03,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,80.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,
14015467,home,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,True,2.0,1.0,,,0.0,,,1.0,2.0,,1.0,,,1.0,,,,1.0,5.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,50.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,
14015467,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,1.0,,,,0.0,,,,1.0,,,2.0,,,,,,1.0,5.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
