match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,shotOffTarget,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,unsuccessfulTouch,bigChanceMissed,outfielderBlock,totalContest,blockedScoringAttempt,wonContest,bigChanceCreated,dispossessed,goals,punches,hitWoodwork,clearanceOffLine
14015539,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,0.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,False,25.0,16.0,16.0,7.0,0.0,15.0,22.0,1.0,3.0,1.0,1.0,6.0,8.0,1.0,5.0,7.0,90.0,45.0,7.0,9.0,,,,,1.5175,"{'original': 7, 'alternative': 7.8}",0,0.0,,-0.16,0.91,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,64.0,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
14015539,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,23.0,17.0,7.0,4.0,0.0,11.0,11.0,6.0,12.0,2.0,3.0,9.0,1.0,,,,90.0,40.0,7.4,7.0,67.981708200645,8.0,-24.57,1.785,,"{'original': 7.4, 'alternative': 7.4}",0,0.13,0.12,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,73.91304347826086,57.14285714285714,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,,,,,,1.0,
14015539,away,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,35.0,24.0,16.0,7.0,0.0,15.0,18.0,9.0,17.0,3.0,6.0,7.0,2.0,,,,90.0,51.0,7.2,13.0,71.075116025921,8.0,-50.61,1.785,,"{'original': 7.2, 'alternative': 7.3}",0,0.22,0.15,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,3,2,68.57142857142857,43.75,,,,,,3.0,5.0,1.0,,2.0,2.0,1.0,1.0,2.0,,,,2.0,,1.0,,,,,,,,,1.0
