match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,aerialWon,hitWoodwork,unsuccessfulTouch,wasFouled,aerialLost,accurateCross,totalContest,wonContest,bigChanceMissed,dispossessed,challengeLost,blockedScoringAttempt,keyPass,totalOffside,bigChanceCreated,onTargetScoringAttempt,errorLeadToAShot,goals
14015393,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,83.0,69.0,11.0,6.0,0.0,47.0,51.0,22.0,32.0,4.0,4.0,,,,90.0,94.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,9,5,2,3,83.13253012048193,54.54545454545454,,,,,4.0,10.0,,1.0,2.0,1.0,1.0,2.0,8.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,
14015393,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,82.0,72.0,10.0,5.0,0.0,50.0,55.0,22.0,27.0,4.0,1.0,,,,90.0,96.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,87.8048780487805,50.0,,,,,2.0,7.0,,1.0,2.0,2.0,,1.0,4.0,,1.0,1.0,,,,,,,1.0,,,,,,,
14015393,away,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,37.0,30.0,3.0,1.0,0.0,16.0,19.0,14.0,18.0,1.0,2.0,,,,90.0,70.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,81.08108108108108,33.33333333333333,33.33333333333333,,,9.0,4.0,5.0,,,,2.0,2.0,2.0,2.0,,,2.0,,3.0,,,,1.0,1.0,1.0,2.0,,,,,
14015393,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,58.0,50.0,2.0,1.0,0.0,29.0,32.0,21.0,26.0,2.0,7.0,,,,64.0,66.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,86.20689655172413,50.0,,,,1.0,2.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
14015393,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,15.0,15.0,1.0,1.0,0.0,4.0,4.0,11.0,11.0,,1.0,,,,35.0,22.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,100.0,100.0,,33.33333333333333,,1.0,3.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,3.0,1.0,,,,,,,,,,
14015393,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,67.0,55.0,8.0,7.0,0.0,30.0,34.0,25.0,33.0,1.0,8.0,,,,90.0,80.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,82.08955223880598,87.5,,,,1.0,3.0,2.0,1.0,,2.0,,,,1.0,,,1.0,,,1.0,,,,2.0,,,,,1.0,,
14015393,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,29.0,24.0,3.0,2.0,0.0,6.0,6.0,18.0,23.0,,5.0,,,,89.0,49.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,82.75862068965517,66.66666666666666,,,,4.0,5.0,4.0,1.0,,,,,1.0,1.0,,2.0,3.0,,,2.0,,,1.0,1.0,,4.0,,,,,
14015393,away,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,13.0,10.0,1.0,,0.0,4.0,6.0,6.0,7.0,1.0,1.0,,,,64.0,24.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,76.92307692307693,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,,2.0,,
14015393,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,F,10,False,25.0,24.0,,,0.0,10.0,10.0,14.0,15.0,,1.0,,,,64.0,33.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,96.0,,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
14015393,away,251278,FK Partizan,801067,Aldo Kalulu,aldo-kalulu,F,15,True,16.0,15.0,,,0.0,3.0,3.0,12.0,13.0,1.0,4.0,,,,55.0,27.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,93.75,,50.0,,,2.0,2.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,
14015393,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,8.0,6.0,2.0,,0.0,4.0,5.0,2.0,3.0,1.0,2.0,,,,26.0,14.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,75.0,,,,,,1.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,
14015393,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,6.0,4.0,,,0.0,,,4.0,6.0,,2.0,,,,26.0,12.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,66.66666666666666,,100.0,,,1.0,3.0,3.0,,,,1.0,,2.0,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,2.0,,1.0
14015393,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,True,11.0,10.0,1.0,,1.0,1.0,1.0,9.0,10.0,,1.0,,,,26.0,18.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,90.9090909090909,,100.0,100.0,,2.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,2.0,1.0,,,,
14015393,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,1.0,,,,0.0,,,,1.0,,,,,,9.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,
14015393,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015393,away,25736,FK Partizan,1493919,Zoran Alilović,zoran-alilovic,M,90,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015393,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015393,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015393,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015393,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
