minute,value
1.0,1
2.0,7
3.0,2
4.0,3
5.0,10
6.0,69
7.0,71
8.0,37
9.0,24
10.0,-34
11.0,-37
12.0,-25
13.0,-16
14.0,-76
15.0,-43
16.0,-30
17.0,-10
18.0,-12
19.0,-34
20.0,-100
21.0,-71
22.0,-40
23.0,-23
24.0,69
25.0,46
26.0,62
27.0,41
28.0,24
29.0,9
30.0,81
31.0,46
32.0,27
33.0,16
34.0,10
35.0,1
36.0,-41
37.0,-30
38.0,-19
39.0,-7
40.0,-35
41.0,-49
42.0,-29
43.0,-23
44.0,-20
45.0,-5
45.5,5
46.0,-5
47.0,-53
48.0,-32
49.0,-19
50.0,-6
51.0,-9
52.0,11
53.0,36
54.0,22
55.0,8
56.0,1
57.0,1
58.0,26
59.0,-25
60.0,-1
61.0,7
62.0,-4
63.0,-2
64.0,-4
65.0,6
66.0,3
67.0,8
68.0,11
69.0,3
70.0,-25
71.0,-23
72.0,-9
73.0,26
74.0,100
75.0,53
76.0,28
77.0,18
78.0,20
79.0,13
80.0,11
81.0,83
82.0,50
83.0,40
84.0,24
85.0,50
86.0,25
87.0,16
88.0,4
89.0,-35
90.0,-100
90.5,5
