minute,value
1.0,-2
2.0,-7
3.0,5
4.0,-2
5.0,45
6.0,46
7.0,13
8.0,-40
9.0,-21
10.0,-22
11.0,-10
12.0,-30
13.0,-16
14.0,-41
15.0,-20
16.0,39
17.0,17
18.0,4
19.0,-6
20.0,-93
21.0,-65
22.0,-35
23.0,-38
24.0,-24
25.0,-45
26.0,-28
27.0,-14
28.0,73
29.0,43
30.0,26
31.0,4
32.0,5
33.0,3
34.0,-3
35.0,-9
36.0,-6
37.0,48
38.0,-38
39.0,-9
40.0,-7
41.0,38
42.0,15
43.0,-33
44.0,-15
45.0,-6
45.5,-25
46.0,-8
47.0,-13
48.0,-5
49.0,78
50.0,40
51.0,22
52.0,11
53.0,4
54.0,-12
55.0,-10
56.0,-14
57.0,-11
58.0,28
59.0,-68
60.0,-38
61.0,-25
62.0,-27
63.0,-21
64.0,-12
65.0,28
66.0,11
67.0,40
68.0,17
69.0,8
70.0,-83
71.0,-60
72.0,-60
73.0,-33
74.0,-21
75.0,-44
76.0,-33
77.0,-25
78.0,-22
79.0,-5
80.0,-27
81.0,-17
82.0,-17
83.0,-11
84.0,-15
85.0,-9
86.0,-17
87.0,-37
88.0,-34
89.0,-17
90.0,39
90.5,-75
