match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,outfielderBlock,interceptionWon,fouls,aerialLost,totalCross,totalTackle,wonTackle,accurateCross,unsuccessfulTouch,wasFouled,keyPass,totalContest,wonContest,onTargetScoringAttempt,goals,shotValueNormalized,challengeLost,bigChanceCreated,dispossessed,shotOffTarget,penaltyWon,blockedScoringAttempt,totalOffside,bigChanceMissed,clearanceOffLine,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,keeperSaveValue,errorLeadToAShot,penaltyConceded
14015458,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,22.0,10.0,17.0,5.0,0.0,6.0,9.0,4.0,13.0,1.0,6.0,90.0,26.0,5.7,12.0,"{'original': 5.7, 'alternative': 6.1}",0,0.04,0.02,-0.19,-0.82,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,45.45454545454545,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,29.0,21.0,10.0,3.0,0.0,13.0,14.0,8.0,15.0,3.0,5.0,90.0,35.0,6.5,8.0,"{'original': 6.5, 'alternative': 6.5}",0,0.2,0.12,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,72.41379310344827,30.0,,,,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,17.0,14.0,4.0,4.0,0.0,9.0,12.0,5.0,5.0,9.0,1.0,90.0,27.0,6.7,3.0,"{'original': 6.7, 'alternative': 6.7}",0,0.12,0.04,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,0,1,82.35294117647058,100.0,,,,5.0,2.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,28.0,21.0,7.0,2.0,0.0,13.0,16.0,8.0,12.0,7.0,2.0,90.0,43.0,6.7,8.0,"{'original': 6.7, 'alternative': 6.7}",0,0.08,0.03,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,75.0,28.57142857142857,,,,1.0,3.0,5.0,2.0,1.0,4.0,,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,False,19.0,15.0,3.0,2.0,0.0,7.0,8.0,8.0,11.0,2.0,1.0,90.0,40.0,7.4,12.0,"{'original': 7.4, 'alternative': 7.3}",0,0.72,0.21,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,78.94736842105263,66.66666666666666,37.5,,,,3.0,4.0,,,1.0,2.0,8.0,2.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,32.0,24.0,12.0,6.0,0.0,9.0,10.0,15.0,22.0,3.0,6.0,90.0,49.0,8.2,11.0,"{'original': 8.2, 'alternative': 7.6}",1,0.07,0.13,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,5,3,75.0,50.0,,66.66666666666666,,3.0,4.0,8.0,,1.0,2.0,1.0,,3.0,1.0,,1.0,,1.0,3.0,2.0,1.0,1.0,0.51,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,22.0,16.0,7.0,5.0,0.0,7.0,7.0,9.0,15.0,,3.0,77.0,27.0,6.8,8.0,"{'original': 6.8, 'alternative': 6.8}",0,0.14,0.01,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,72.72727272727273,71.42857142857143,,,,,2.0,2.0,,,1.0,,2.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,M,3,False,22.0,15.0,3.0,2.0,0.0,5.0,8.0,10.0,14.0,1.0,6.0,63.0,42.0,7.9,9.0,"{'original': 7.9, 'alternative': 7.4}",0,0.64,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,6,3,68.18181818181817,66.66666666666666,100.0,,,2.0,3.0,8.0,,,2.0,,3.0,2.0,1.0,3.0,,4.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,F,22,False,20.0,12.0,2.0,,0.0,4.0,5.0,8.0,15.0,1.0,3.0,77.0,31.0,7.5,12.0,"{'original': 7.5, 'alternative': 7.2}",1,0.48,0.28,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,60.0,,50.0,50.0,,1.0,4.0,4.0,,,,2.0,2.0,,,1.0,1.0,2.0,3.0,2.0,1.0,,,-0.35,,,1.0,1.0,1.0,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,24.0,18.0,,,0.0,6.0,6.0,12.0,18.0,,6.0,89.0,43.0,7.0,13.0,"{'original': 7, 'alternative': 7}",4,-0.06,0.29,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,75.0,,50.0,,,1.0,8.0,3.0,,,1.0,,2.0,1.0,,1.0,,1.0,,5.0,,2.0,1.0,0.45,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,
