match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,duelLost,fouls,challengeLost,blockedScoringAttempt,shotValueNormalized,totalCross,accurateCross,onTargetScoringAttempt,goals,dispossessed,totalContest,shotOffTarget,errorLeadToAShot,wonContest,totalOffside,bigChanceCreated,penaltyWon,goodHighClaim,penaltyFaced,punches,penaltyConceded,lastManTackle,bigChanceMissed
14015582,home,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,False,24.0,15.0,,,0.0,2.0,3.0,13.0,21.0,3.0,,,89.0,35.0,7.1,13.0,180.16798401998,18.0,67.648319087054,4.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.33,0.38,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,4,4,62.5,,,66.66666666666666,,9.0,,,,,,2.0,2.0,16.78936550983,86.08240343082,2.0,2.0,5.0,6.0,3.0,,,-0.51,1.0,,1.0,,,3.0,,,2.0,3.0,,,,,,,,
14015582,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,4.0,2.0,1.0,,1.0,,1.0,2.0,3.0,2.0,,,21.0,9.0,7.4,3.0,30.652390434333,2.0,25.605144959102,1.0,,"{'original': 7.4, 'alternative': 7.2}",0,0.57,0.27,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,50.0,,,,,3.0,,,,2.0,2.0,,1.0,18.784665209872,19.384431923582,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,
14015582,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,6.0,6.0,,,0.0,4.0,4.0,2.0,2.0,1.0,,,13.0,8.0,7.5,1.0,26.590768820025,3.0,0.49009961494884,0.0,,"{'original': 7.5, 'alternative': 7.3}",1,0.03,0.04,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,0.49,,,1.0,1.0,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,29.0,24.0,6.0,2.0,0.0,23.0,26.0,1.0,3.0,8.0,5.0,6.0,90.0,47.0,7.0,5.0,35.761512579324,6.0,32.309764839138,0.0,0.5767,"{'original': 7, 'alternative': 7.7}",0,0.04,0.02,-0.3,0.46,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.75862068965517,33.33333333333333,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,
14015582,away,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,D,23,False,43.0,40.0,3.0,2.0,0.0,20.0,21.0,20.0,22.0,3.0,,,90.0,58.0,6.0,4.0,128.8426303374,17.0,17.550252040737,1.0,,"{'original': 6, 'alternative': 6.3}",0,0.14,0.16,-0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,93.02325581395348,66.66666666666666,,100.0,,2.0,3.0,,,1.0,1.0,1.0,,9.5494949540896,10.825470012891,,,,2.0,2.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,
14015582,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,88.0,75.0,21.0,11.0,0.0,56.0,59.0,19.0,29.0,2.0,,,90.0,98.0,7.2,14.0,308.58659754915,33.0,245.73776390775,1.0,,"{'original': 7.2, 'alternative': 6.9}",0,0.45,0.11,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,85.22727272727273,52.38095238095239,,,,2.0,5.0,,,,,1.0,1.0,16.994248520033,22.010325417858,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,70.0,61.0,7.0,2.0,0.0,50.0,51.0,11.0,19.0,3.0,,,90.0,84.0,6.9,11.0,210.50262425642,26.0,138.40191223092,1.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.21,0.22,0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,87.14285714285714,28.57142857142857,,,,4.0,4.0,1.0,1.0,1.0,,1.0,2.0,28.356542149511,28.35660494488,,2.0,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,
14015582,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,7.0,6.0,,,0.0,3.0,4.0,3.0,3.0,1.0,,,22.0,13.0,6.7,3.0,59.521559162524,5.0,6.3379162715439,0.0,,"{'original': 6.7, 'alternative': 6.3}",0,0.08,0.08,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.71428571428571,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,False,45.0,40.0,3.0,2.0,0.0,23.0,24.0,17.0,21.0,6.0,,,90.0,65.0,7.4,9.0,178.24885524445,21.0,79.818768911711,0.0,,"{'original': 7.4, 'alternative': 7.4}",1,0.14,0.34,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,10,2,88.88888888888889,66.66666666666666,,100.0,,11.0,,1.0,2.0,4.0,4.0,3.0,3.0,,,1.0,3.0,1.0,5.0,,1.0,1.0,-0.15,,,,,1.0,3.0,,,3.0,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,16.0,12.0,,,0.0,2.0,3.0,10.0,13.0,3.0,,,90.0,34.0,6.5,10.0,126.57217983152,13.0,80.249849359186,2.0,,"{'original': 6.5, 'alternative': 6.9}",3,0.06,0.23,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,75.0,,33.33333333333333,33.33333333333333,,2.0,,1.0,1.0,,,1.0,1.0,16.335544317489,33.49190385762,2.0,2.0,,5.0,2.0,,1.0,-0.36,3.0,1.0,2.0,,,3.0,,,1.0,,,,,,,,,1.0
14015582,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,66.0,55.0,4.0,3.0,0.0,28.0,31.0,27.0,35.0,8.0,,,90.0,89.0,7.1,16.0,234.6501044957,26.0,83.649900217377,1.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.03,0.23,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,83.33333333333334,75.0,,100.0,,7.0,3.0,,1.0,2.0,2.0,,3.0,18.792382028127,19.577295523131,1.0,,1.0,2.0,,,,-0.16,3.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,19.0,14.0,4.0,1.0,0.0,9.0,10.0,5.0,9.0,3.0,,,76.0,35.0,6.1,12.0,76.450282903408,10.0,37.556688514789,2.0,,"{'original': 6.1, 'alternative': 6.7}",4,-0.15,0.19,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,73.68421052631578,25.0,,50.0,,3.0,,,,,,1.0,2.0,14.912865503434,29.586731922986,,1.0,,6.0,3.0,,1.0,-0.52,4.0,,1.0,,1.0,2.0,2.0,,1.0,1.0,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1166063,Uroš Sremčević,uros-sremcevic,F,17,False,10.0,8.0,,,0.0,3.0,3.0,5.0,7.0,,,,45.0,17.0,6.5,5.0,20.601209418885,4.0,-7.5901873009862,0.0,,"{'original': 6.5, 'alternative': 6.9}",0,-0.53,0.19,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,80.0,,,100.0,,4.0,1.0,,,,,2.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,16.0,13.0,,,0.0,5.0,6.0,8.0,10.0,2.0,,,89.0,23.0,6.6,5.0,74.276806531062,6.0,-9.1749180800004,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.02,-0.02,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,81.25,,,,,1.0,4.0,,,,,2.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,19.0,15.0,3.0,2.0,0.0,10.0,12.0,5.0,7.0,3.0,,,68.0,34.0,6.5,6.0,55.440150735739,6.0,42.703096891205,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.03,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,78.94736842105263,66.66666666666666,,,,3.0,3.0,1.0,1.0,1.0,,,,19.189976762401,20.895110648188,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,15.0,13.0,1.0,,0.0,5.0,6.0,8.0,9.0,,,,45.0,24.0,6.0,7.0,16.382240852574,3.0,7.6818316011286,0.0,,"{'original': 6, 'alternative': 6.1}",0,-0.08,0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,86.66666666666667,,,,,,2.0,,,,,1.0,,,,1.0,,,4.0,,,,,,,,,4.0,,,,,1.0,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1616139,Nikola Skrobonja,nikola-skrobonja,M,44,True,5.0,2.0,,,0.0,1.0,1.0,1.0,4.0,1.0,,,14.0,7.0,6.3,5.0,36.117583933414,2.0,28.385319004212,1.0,,"{'original': 6.3, 'alternative': 6.2}",0,-0.17,0.09,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,40.0,,,,,,,,,,,,,17.341351802858,21.92286206224,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,,,1.0,5.0,,2.0,16.695553929115,1.0,-15.975855918785,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,66.66666666666666,,,100.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,F,91,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,M,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
