minute,value
1.0,13
2.0,91
3.0,58
4.0,35
5.0,24
6.0,87
7.0,50
8.0,-52
9.0,-11
10.0,14
11.0,3
12.0,-8
13.0,3
14.0,3
15.0,13
16.0,8
17.0,6
18.0,4
19.0,3
20.0,-31
21.0,-24
22.0,-16
23.0,-52
24.0,-38
25.0,-28
26.0,-19
27.0,-3
28.0,5
29.0,-22
30.0,-8
31.0,-7
32.0,-7
33.0,-37
34.0,-22
35.0,-11
36.0,-4
37.0,78
38.0,46
39.0,100
40.0,54
41.0,25
42.0,12
43.0,6
44.0,74
45.0,36
45.5,0
46.0,-7
47.0,-47
48.0,-55
49.0,-35
50.0,-23
51.0,-41
52.0,-33
53.0,-20
54.0,-95
55.0,-29
56.0,-12
57.0,33
58.0,15
59.0,8
60.0,1
61.0,-8
62.0,-9
63.0,-37
64.0,-24
65.0,-16
66.0,-11
67.0,-9
68.0,68
69.0,42
70.0,19
71.0,9
72.0,4
73.0,-6
74.0,-36
75.0,38
76.0,19
77.0,15
78.0,12
79.0,5
80.0,-3
81.0,-9
82.0,-7
83.0,9
84.0,36
85.0,20
86.0,-42
87.0,18
88.0,4
89.0,-3
90.0,-7
90.5,5
