match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,hitWoodwork,penaltyConceded,blockedScoringAttempt,penaltyWon,bigChanceCreated
14147337,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,13.0,10.0,1.0,1.0,0.0,5.0,6.0,5.0,7.0,0.0,0.0,3.0,2.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,68.0,30.0,6.6,8.0,0.02,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,5,15,4,11,76.92307692307693,100.0,,0.0,,,1.0,,,,,,
14147337,home,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,True,6.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,33.0,15.0,6.1,3.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,83.33333333333334,,,,,,,,,1.0,,,
14147337,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,M,11,True,8.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,28.0,16.0,6.2,9.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,25.0,0.0,0.0,,,1.0,,,,,,,
14147337,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,True,4.0,1.0,0.0,0.0,0.0,,2.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,22.0,5.0,6.1,5.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,25.0,,,,,,,,,,,,
14147337,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,5.0,5.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,22.0,9.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,0,4,100.0,,,,,2.0,,,,,,,
14147337,home,1138707,FK Mornar Bar,2291148,Vuk Šćepanović,vuk-scepanovic,G,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147337,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147337,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147337,home,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147337,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
