player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 5, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'hi': 'मिलिवोजे रायचेविक', 'bn': 'মিলিভোজে রাইচেভিচ'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'hi': 'एम. रायचेविक', 'bn': 'এম. রাইসেভিচ'}}}",False,miss,regular,"{'x': 13, 'y': 49, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.9, 'z': 37.3}",0.001471,6540984,90,3.0,5573,"{'start': {'x': 49, 'y': 13}, 'end': {'x': 41.1, 'y': 0}, 'goal': {'x': 41.1, 'y': 62.7}}",1,727,173,shot,,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",False,miss,throw-in-set-piece,"{'x': 17, 'y': 33, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 57.8, 'z': 53.6}",0.04814,6540983,90,1.0,5405,"{'start': {'x': 33, 'y': 17}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 46.4}}",1,895,5,shot,,,
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",False,miss,regular,"{'x': 20, 'y': 33, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.2, 'z': 48.2}",0.001918,6540982,89,,5319,"{'start': {'x': 33, 'y': 20}, 'end': {'x': 43.8, 'y': 0}, 'goal': {'x': 43.8, 'y': 51.8}}",2,81,2619,shot,,,
"{'name': 'Uroš Bulatović', 'firstName': '', 'lastName': '', 'slug': 'uros-bulatovic', 'shortName': 'U. Bulatović', 'position': 'M', 'jerseyNumber': '8', 'userCount': 3, 'gender': 'M', 'id': 1391890, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بولاتوفيتش'}}}",False,save,regular,"{'x': 53, 'y': 47, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 45.3, 'z': 32.6}",0.01306,6540981,87,,5205,"{'start': {'x': 47, 'y': 53}, 'end': {'x': 54.7, 'y': 0}, 'goal': {'x': 54.7, 'y': 67.4}}",4,195,2505,shot,0.08432,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",False,goal,regular,"{'x': 10, 'y': 51, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 2}",0.3728,6540980,83,,4955,"{'start': {'x': 51, 'y': 10}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 98}}",8,445,2255,shot,0.7485,regular,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 3.6}",0.76,6540985,80,,4786,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 96.4}}",11,614,2086,shot,0.81,penalty,
"{'name': 'Nenad Krivokapić', 'firstName': 'Nenad', 'lastName': 'Krivokapić', 'slug': 'nenad-krivokapic', 'shortName': 'N. Krivokapić', 'position': 'F', 'jerseyNumber': '11', 'userCount': 33, 'gender': 'M', 'id': 1149284, 'fieldTranslations': {'nameTranslation': {'ar': 'نينا كريفاكبيتش'}, 'shortNameTranslation': {'ar': 'ن. كريفاكبيتش'}}}",False,miss,regular,"{'x': 22, 'y': 53, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.5, 'z': 11.5}",0.02021,6540979,67,,4007,"{'start': {'x': 53, 'y': 22}, 'end': {'x': 42.5, 'y': 0}, 'goal': {'x': 42.5, 'y': 88.5}}",24,1393,1307,shot,,,
"{'name': 'Hiroki Harada', 'firstName': 'Hiroki Harada', 'lastName': '', 'slug': 'hiroki-harada', 'shortName': 'H. Harada', 'position': 'M', 'jerseyNumber': '10', 'userCount': 23, 'gender': 'M', 'id': 1218103, 'fieldTranslations': {'nameTranslation': {'ar': 'هيروكي هارادا'}, 'shortNameTranslation': {'ar': 'ه. هارادا'}}}",False,save,regular,"{'x': 25, 'y': 36, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 18.1}",0.04194,6540978,60,,3599,"{'start': {'x': 36, 'y': 25}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 81.9}}",31,1801,899,shot,0.063,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",False,save,regular,"{'x': 15, 'y': 67, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51, 'z': 6.9}",0.2184,6540977,46,,2718,"{'start': {'x': 67, 'y': 15}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 93.1}}",45,2682,18,shot,0.2168,,
"{'name': 'Ilija Martinović', 'slug': 'ilija-martinovic', 'shortName': 'I. Martinović', 'position': 'D', 'jerseyNumber': '25', 'userCount': 22, 'gender': 'M', 'id': 286837, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا مارتينوفيتش', 'hi': 'इलिजा मार्टिनोविक', 'bn': 'ইলিজা মার্টিনোভিচ'}, 'shortNameTranslation': {'ar': 'إ. مارتينوفيتش', 'hi': 'ई. मार्टिनोविक', 'bn': 'আই. মার্টিনোভিচ'}}}",True,goal,corner,"{'x': 5, 'y': 49, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.7, 'z': 14.7}",0.1987,6540976,43,,2524,"{'start': {'x': 49, 'y': 5}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 85.3}}",3,176,2524,shot,0.3289,regular,
