match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,shotValueNormalized,aerialLost,challengeLost,wasFouled,dispossessed,lastManTackle,keyPass,unsuccessfulTouch,totalContest,wonContest,bigChanceCreated,errorLeadToAShot,onTargetScoringAttempt,outfielderBlock,goals,errorLeadToAGoal,bigChanceMissed,hitWoodwork
14015412,home,241802,FK Napredak Kruševac,1846383,Đorđe Skočajić,dorde-skocajic,F,16,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,4.0,1.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,home,228024,FK Napredak Kruševac,1109778,Nikola Marinković,nikola-marinkovic,F,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,38.0,26.0,15.0,5.0,0.0,26.0,33.0,,5.0,1.0,8.0,1.0,2.0,4.0,90.0,48.0,5.6,12.0,0.001,"{'original': 5.6, 'alternative': 6.4}",0,0.06,0.0,-0.47,-0.6,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,68.42105263157895,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
14015412,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,35.0,28.0,2.0,1.0,1.0,15.0,16.0,13.0,19.0,2.0,3.0,,,,90.0,51.0,7.1,8.0,,"{'original': 7.1, 'alternative': 7.1}",1,0.4,0.0,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,80.0,50.0,,,,,,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,,0.02,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,,,
14015412,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,35.0,32.0,5.0,4.0,0.0,25.0,26.0,7.0,9.0,5.0,2.0,,,,66.0,50.0,7.1,4.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.25,0.05,0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,91.42857142857143,80.0,,,,,,1.0,2.0,3.0,,,2.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,5.0,,,,
