player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime
"{'name': 'Vukašin Đurđević', 'firstName': 'Vukasin Djurdjevic', 'slug': 'vukasin-durdevic', 'shortName': 'V. Đurđević', 'position': 'D', 'jerseyNumber': '24', 'userCount': 402, 'gender': 'M', 'id': 1147544, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين جورجييفيتش'}, 'shortNameTranslation': {'ar': 'ف. جورجييفيتش'}}}",False,goal,regular,corner,"{'x': 6.6, 'y': 42.1, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.9, 'z': 16.5}",5400043,90,5387,"{'start': {'x': 42.1, 'y': 6.6}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 83.5}}",1,13,2687,shot,,
"{'name': 'Nemanja Trifunović', 'firstName': 'Nemanja Trifunovic', 'slug': 'nemanja-trifunovic', 'shortName': 'N. Trifunović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 515, 'gender': 'M', 'id': 1166188, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا تريفتش'}, 'shortNameTranslation': {'ar': 'ن. تريفتش'}}}",False,miss,,assisted,"{'x': 14.8, 'y': 67.5, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.4, 'z': 9.7}",5400034,88,5258,"{'start': {'x': 67.5, 'y': 14.8}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 90.3}}",3,142,2558,shot,,
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",False,goal,regular,fast-break,"{'x': 21, 'y': 47, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 3.2}",5400016,85,5076,"{'start': {'x': 47, 'y': 21}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 96.8}}",6,324,2376,shot,,
"{'name': 'Nemanja Trifunović', 'firstName': 'Nemanja Trifunovic', 'slug': 'nemanja-trifunovic', 'shortName': 'N. Trifunović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 515, 'gender': 'M', 'id': 1166188, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا تريفتش'}, 'shortNameTranslation': {'ar': 'ن. تريفتش'}}}",False,miss,,assisted,"{'x': 6.1, 'y': 37.4, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41, 'z': 27.8}",5400007,84,4994,"{'start': {'x': 37.4, 'y': 6.1}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 72.2}}",7,406,2294,shot,,
"{'name': 'Nemanja Đeković', 'firstName': '', 'lastName': '', 'slug': 'nemanja-dekovic', 'shortName': 'N. Đeković', 'position': 'D', 'jerseyNumber': '25', 'userCount': 89, 'gender': 'M', 'id': 1102161, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ديكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. ديكوفيتش'}}}",True,block,,regular,"{'x': 19.5, 'y': 49.3, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.6, 'z': 19}",5400015,82,4894,"{'start': {'x': 49.3, 'y': 19.5}, 'block': {'x': 50, 'y': 15.1}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 81}}",9,506,2194,shot,"{'x': 15.1, 'y': 50, 'z': 0}",
"{'name': 'Nemanja Đeković', 'firstName': '', 'lastName': '', 'slug': 'nemanja-dekovic', 'shortName': 'N. Đeković', 'position': 'D', 'jerseyNumber': '25', 'userCount': 89, 'gender': 'M', 'id': 1102161, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ديكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. ديكوفيتش'}}}",True,miss,,assisted,"{'x': 24.6, 'y': 59.5, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63.7, 'z': 18.1}",5400013,82,4893,"{'start': {'x': 59.5, 'y': 24.6}, 'block': {'x': 48.4, 'y': 10.5}, 'end': {'x': 36.3, 'y': 0}, 'goal': {'x': 36.3, 'y': 81.9}}",9,507,2193,shot,"{'x': 10.5, 'y': 48.4, 'z': 0}",
"{'name': 'Nikola Bogdanovski', 'firstName': 'Nikola', 'lastName': 'Bogdanovski', 'slug': 'nikola-bogdanovski', 'shortName': 'N. Bogdanovski', 'position': 'M', 'jerseyNumber': '33', 'userCount': 16, 'gender': 'M', 'id': 956793, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بوغدانوفيسكي'}, 'shortNameTranslation': {'ar': 'ن. بوغدانوفيسكي'}}}",True,block,,assisted,"{'x': 12.2, 'y': 64, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 19}",5400003,82,4878,"{'start': {'x': 64, 'y': 12.2}, 'block': {'x': 60.5, 'y': 9.2}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81}}",9,522,2178,shot,"{'x': 9.2, 'y': 60.5, 'z': 0}",
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",True,save,,assisted,"{'x': 18.8, 'y': 46.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 5.7}",5399967,79,4739,"{'start': {'x': 46.8, 'y': 18.8}, 'block': {'x': 49.6, 'y': 2.8}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 94.3}}",12,661,2039,shot,"{'x': 2.8, 'y': 49.6, 'z': 0}",
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",True,miss,,assisted,"{'x': 8.5, 'y': 48.5, 'z': 0}",head,left,"{'x': 0, 'y': 73.6, 'z': 22.2}",5399966,79,4701,"{'start': {'x': 48.5, 'y': 8.5}, 'block': {'x': 35.6, 'y': 1.9}, 'end': {'x': 26.4, 'y': 0}, 'goal': {'x': 26.4, 'y': 77.8}}",12,699,2001,shot,"{'x': 1.9, 'y': 35.6, 'z': 0}",
"{'name': 'Miloš Vulić', 'firstName': '', 'lastName': '', 'slug': 'milos-vulic', 'shortName': 'M. Vulić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 124, 'gender': 'M', 'id': 795861, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش فوليتش', 'bn': 'মিলোস ভুলিচ', 'hi': 'मिलोस वुलिक'}, 'shortNameTranslation': {'ar': 'م. فوليتش', 'bn': 'এম. ভুলিচ', 'hi': 'एम. वुलिक'}}}",True,miss,,assisted,"{'x': 6.7, 'y': 62.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 52.1, 'z': 65.3}",5399957,78,4649,"{'start': {'x': 62.8, 'y': 6.7}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 34.7}}",13,751,1949,shot,,
