player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Luka Zarić', 'slug': 'luka-zaric', 'shortName': 'L. Zarić', 'position': 'M', 'jerseyNumber': '40', 'userCount': 479, 'gender': 'M', 'id': 1974511, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا زاريتش'}, 'shortNameTranslation': {'ar': 'ل. زاريتش'}}}",False,block,assisted,"{'x': 9.4, 'y': 61.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}","{'x': 7, 'y': 58.1, 'z': 0}",5855179,90,3.0,5538,"{'start': {'x': 61.1, 'y': 9.4}, 'block': {'x': 58.1, 'y': 7}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",1,762,138,shot,
"{'name': 'Young-woo Seol', 'slug': 'young-woo-seol', 'shortName': 'Y. W. Seol', 'position': 'D', 'jerseyNumber': '66', 'userCount': 2096, 'gender': 'M', 'id': 1019333, 'fieldTranslations': {'nameTranslation': {'ar': 'يونغ-وو سيول', 'bn': 'ইয়ং-উ সিওল', 'hi': 'यंग-वू सेओल'}, 'shortNameTranslation': {'ar': 'ي. سيول', 'bn': 'ওয়াই. ডব্লিউ. সিওল', 'hi': 'YW सेओल'}}}",False,goal,assisted,"{'x': 4.9, 'y': 65.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 7}",,5855160,90,1.0,5420,"{'start': {'x': 65.8, 'y': 4.9}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 93}}",1,880,20,shot,regular
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",False,block,regular,"{'x': 3.2, 'y': 41.7, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.1, 'z': 19}","{'x': 1.8, 'y': 44, 'z': 0}",5855109,87,,5182,"{'start': {'x': 41.7, 'y': 3.2}, 'block': {'x': 44, 'y': 1.8}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 81}}",4,218,2482,shot,
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",False,save,assisted,"{'x': 9.4, 'y': 48.3, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.9, 'z': 19.6}","{'x': 1.4, 'y': 50.4, 'z': 0}",5855108,87,,5179,"{'start': {'x': 48.3, 'y': 9.4}, 'block': {'x': 50.4, 'y': 1.4}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 80.4}}",4,221,2479,shot,
"{'name': 'Tomás Händel', 'firstName': 'Tomás Händel', 'lastName': '', 'slug': 'tomas-handel', 'shortName': 'T. Händel', 'position': 'M', 'jerseyNumber': '20', 'userCount': 976, 'gender': 'M', 'id': 1131048, 'fieldTranslations': {'nameTranslation': {'ar': 'توماس هاندل'}, 'shortNameTranslation': {'ar': 'ت. هاندل'}}}",False,block,regular,"{'x': 9.7, 'y': 41.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}","{'x': 7.6, 'y': 43.1, 'z': 0}",5855107,86,,5121,"{'start': {'x': 41.5, 'y': 9.7}, 'block': {'x': 43.1, 'y': 7.6}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",5,279,2421,shot,
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",False,goal,corner,"{'x': 12, 'y': 37.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 13.3}",,5855086,82,,4909,"{'start': {'x': 37.1, 'y': 12}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 86.7}}",9,491,2209,shot,regular
"{'name': 'Mahmudu Bajo', 'slug': 'bajo', 'shortName': 'M. Bajo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 1204, 'gender': 'M', 'id': 1516318, 'fieldTranslations': {'nameTranslation': {'ar': 'محمود باجو'}, 'shortNameTranslation': {'ar': 'م. باجو'}}}",False,save,corner,"{'x': 8.7, 'y': 47.4, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.2, 'z': 19}","{'x': 1.6, 'y': 51.8, 'z': 0}",5855090,82,,4901,"{'start': {'x': 47.4, 'y': 8.7}, 'block': {'x': 51.8, 'y': 1.6}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 81}}",9,499,2201,shot,
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",False,block,assisted,"{'x': 15.5, 'y': 63.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.8, 'z': 19}","{'x': 13.8, 'y': 61.9, 'z': 0}",5855083,82,,4861,"{'start': {'x': 63.2, 'y': 15.5}, 'block': {'x': 61.9, 'y': 13.8}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 81}}",9,539,2161,shot,
"{'name': 'Timi Max Elšnik', 'slug': 'timi-max-elsnik', 'shortName': 'T. M. Elšnik', 'position': 'M', 'jerseyNumber': '21', 'userCount': 1618, 'gender': 'M', 'id': 827371, 'fieldTranslations': {'nameTranslation': {'ar': 'تيمي ماكس إلسنيك', 'bn': 'টিমি ম্যাক্স এলসনিক', 'hi': 'टिमी मैक्स एल्शनिक'}, 'shortNameTranslation': {'ar': 'ت. م. إلسنيك', 'bn': 'টি. এম. এলসনিক', 'hi': 'टी.एम. एल्शनिक'}}}",False,miss,assisted,"{'x': 27.5, 'y': 48.6, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 63.5, 'z': 48.6}",,5854983,76,,4556,"{'start': {'x': 48.6, 'y': 27.5}, 'end': {'x': 36.5, 'y': 0}, 'goal': {'x': 36.5, 'y': 51.4}}",15,844,1856,shot,
"{'name': 'Luka Zarić', 'slug': 'luka-zaric', 'shortName': 'L. Zarić', 'position': 'M', 'jerseyNumber': '40', 'userCount': 479, 'gender': 'M', 'id': 1974511, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا زاريتش'}, 'shortNameTranslation': {'ar': 'ل. زاريتش'}}}",False,miss,corner,"{'x': 19.2, 'y': 61.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 48.6, 'z': 66.7}",,5854948,72,,4265,"{'start': {'x': 61.8, 'y': 19.2}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 33.3}}",19,1135,1565,shot,
