match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,totalCross,bigChanceCreated,penaltyConceded,keyPass,accurateCross,dispossessed,bigChanceMissed,shotOffTarget,totalOffside,goals,errorLeadToAGoal,punches,clearanceOffLine,penaltyWon,lastManTackle
14015584,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,13.0,10.0,2.0,,0.0,2.0,4.0,8.0,9.0,1.0,,,,,,,25.0,19.0,6.2,6.0,63.343165880127,8.0,13.292576031112,0.0,,"{'original': 6.2, 'alternative': 6}",0,0.37,0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,76.92307692307693,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,F,91,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,False,28.0,18.0,19.0,9.0,0.0,11.0,12.0,7.0,16.0,8.0,3.0,,,,,,90.0,37.0,6.3,10.0,57.188051998017,6.0,20.426005500223,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.27,0.0,-0.65,-0.6,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,64.28571428571429,47.368421052631575,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
