minute,value
1.0,-13
2.0,-9
3.0,-2
4.0,13
5.0,12
6.0,14
7.0,14
8.0,14
9.0,8
10.0,14
11.0,11
12.0,10
13.0,10
14.0,35
15.0,35
16.0,35
17.0,23
18.0,-48
19.0,72
20.0,30
21.0,12
22.0,-10
23.0,6
24.0,5
25.0,6
26.0,8
27.0,-26
28.0,-19
29.0,-18
30.0,-17
31.0,-12
32.0,-11
33.0,-43
34.0,-31
35.0,-14
36.0,-15
37.0,29
38.0,-36
39.0,-33
40.0,-26
41.0,30
42.0,6
43.0,6
44.0,15
45.0,4
45.5,50
46.0,-1
47.0,-61
48.0,55
49.0,12
50.0,7
51.0,-61
52.0,-30
53.0,-22
54.0,-43
55.0,-6
56.0,61
57.0,31
58.0,13
59.0,-31
60.0,-25
61.0,-35
62.0,-31
63.0,-19
64.0,-10
65.0,-6
66.0,55
67.0,32
68.0,18
69.0,15
70.0,-11
71.0,-21
72.0,-39
73.0,-14
74.0,-9
75.0,-11
76.0,-6
77.0,20
78.0,-11
79.0,-2
80.0,-2
81.0,-2
82.0,-4
83.0,-8
84.0,-16
85.0,-12
86.0,-14
87.0,-34
88.0,-21
89.0,-13
90.0,74
90.5,20
