minute,value
0.0,0
1.0,8
2.0,-16
3.0,8
4.0,6
5.0,10
6.0,17
7.0,22
8.0,24
9.0,15
10.0,20
11.0,12
12.0,-65
13.0,-30
14.0,47
15.0,28
16.0,27
17.0,26
18.0,21
19.0,-15
20.0,6
21.0,16
22.0,15
23.0,20
24.0,48
25.0,34
26.0,24
27.0,24
28.0,13
29.0,90
30.0,53
31.0,36
32.0,30
33.0,22
34.0,6
35.0,3
36.0,36
37.0,25
38.0,24
39.0,14
40.0,8
41.0,12
42.0,12
43.0,21
44.0,12
45.0,12
45.5,15
46.0,-1
47.0,-6
48.0,5
49.0,-6
50.0,5
51.0,6
52.0,9
53.0,9
54.0,65
55.0,3
56.0,6
57.0,8
58.0,14
59.0,33
60.0,32
61.0,18
62.0,10
63.0,5
64.0,5
65.0,7
66.0,13
67.0,3
68.0,16
69.0,19
70.0,16
71.0,18
72.0,16
73.0,13
74.0,17
75.0,20
76.0,16
77.0,19
78.0,10
79.0,10
80.0,-71
81.0,-30
82.0,-14
83.0,-4
84.0,5
85.0,7
86.0,3
87.0,7
88.0,9
89.0,15
90.0,34
90.5,-50
