minute,value
1.0,5
2.0,8
3.0,9
4.0,9
5.0,8
6.0,14
7.0,10
8.0,20
9.0,20
10.0,30
11.0,25
12.0,14
13.0,18
14.0,19
15.0,15
16.0,10
17.0,62
18.0,36
19.0,-22
20.0,-29
21.0,-25
22.0,-47
23.0,-22
24.0,21
25.0,4
26.0,8
27.0,27
28.0,21
29.0,64
30.0,48
31.0,56
32.0,41
33.0,33
34.0,51
35.0,28
36.0,21
37.0,18
38.0,45
39.0,33
40.0,65
41.0,57
42.0,31
43.0,26
44.0,12
45.0,4
45.5,-4
46.0,-4
47.0,-6
48.0,-1
49.0,13
50.0,25
51.0,13
52.0,13
53.0,24
54.0,24
55.0,53
56.0,13
57.0,7
58.0,35
59.0,22
60.0,90
61.0,49
62.0,29
63.0,16
64.0,11
65.0,28
66.0,42
67.0,25
68.0,15
69.0,93
70.0,59
71.0,29
72.0,17
73.0,11
74.0,1
75.0,1
76.0,-17
77.0,-47
78.0,-28
79.0,-17
80.0,-19
81.0,22
82.0,8
83.0,-6
84.0,-21
85.0,-25
86.0,-48
87.0,-33
88.0,-18
89.0,-35
90.0,-23
90.5,-45
