match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,hitWoodwork,dispossessed,penaltyWon,blockedScoringAttempt,penaltyConceded,bigChanceMissed
14147335,home,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,31.0,24.0,17.0,11.0,0.0,20.0,21.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,32.0,7.2,7.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.41935483870968,64.70588235294117,,,0.0,,,,,,,,
14147335,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,52.0,42.0,9.0,4.0,0.0,20.0,21.0,21.0,30.0,1.0,0.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,90.0,56.0,7.3,11.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,80.76923076923077,44.44444444444444,0.0,,,1.0,,,,,,,
14147335,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,52.0,41.0,6.0,2.0,0.0,33.0,40.0,8.0,11.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,57.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,78.84615384615384,33.33333333333333,,,,,,,,,,,
14147335,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,17.0,13.0,3.0,0.0,0.0,9.0,11.0,4.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,20.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,76.47058823529412,0.0,,,,,,,,,,,
14147335,home,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,68.0,60.0,9.0,6.0,0.0,29.0,32.0,28.0,33.0,1.0,0.0,1.0,5.0,5.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,86.0,7.5,15.0,0.02,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,5,4,88.23529411764706,66.66666666666666,0.0,100.0,,,1.0,,,,,,
14147335,home,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,M,5,False,41.0,30.0,6.0,0.0,0.0,18.0,20.0,10.0,18.0,0.0,0.0,0.0,1.0,10.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,86.0,50.0,6.6,13.0,0.2,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,4,10,73.17073170731707,0.0,,100.0,,1.0,1.0,1.0,,,,,
14147335,home,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,46.0,42.0,4.0,3.0,0.0,25.0,26.0,17.0,20.0,1.0,0.0,1.0,0.0,11.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,61.0,7.1,7.0,0.0,0.23,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,91.30434782608695,75.0,0.0,100.0,,1.0,,,1.0,,,,
14147335,home,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,28.0,18.0,3.0,1.0,0.0,6.0,8.0,12.0,20.0,3.0,1.0,2.0,1.0,15.0,10.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,,,,,,,90.0,50.0,8.1,19.0,0.11,0.2,"{'original': 8.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,3,22,9,13,64.28571428571429,33.33333333333333,33.33333333333333,100.0,,1.0,1.0,1.0,1.0,,,,
14147335,home,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,13.0,11.0,1.0,0.0,0.0,8.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,46.0,22.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,1,7,84.61538461538461,0.0,,,,,,,,,,,
14147335,home,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,28.0,21.0,6.0,3.0,0.0,6.0,7.0,14.0,20.0,0.0,0.0,1.0,0.0,14.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,,,,,,,90.0,67.0,7.7,15.0,0.48,0.19,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,1,25,12,13,75.0,50.0,,66.66666666666666,,1.0,2.0,,1.0,1.0,,,
14147335,home,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,F,10,False,30.0,19.0,5.0,1.0,0.0,7.0,7.0,12.0,23.0,2.0,0.0,4.0,0.0,12.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,81.0,49.0,7.5,11.0,0.99,0.06,"{'original': 7.5, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,2,8,63.33333333333333,20.0,0.0,,,1.0,1.0,,,,,,
14147335,home,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,True,17.0,14.0,0.0,0.0,0.0,7.0,8.0,7.0,9.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,44.0,25.0,6.8,4.0,0.19,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,82.35294117647058,,,100.0,,,,,,,,,
14147335,home,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,True,12.0,9.0,0.0,0.0,1.0,3.0,3.0,6.0,9.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,44.0,19.0,6.8,6.0,0.0,0.22,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,75.0,,,,,2.0,,,1.0,,,,
14147335,home,6225,Mladost DG,804420,Zeljko Krstovic,zeljko-krstovic,M,19,True,9.0,5.0,1.0,0.0,0.0,5.0,5.0,,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,9.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,55.55555555555556,0.0,,,,,,,,,,,
14147335,home,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,5.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,7.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,0.0,,,,,,,,,,,
14147335,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,M,3,True,1.0,0.0,1.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,3.0,,2.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,0.0,0.0,,,,,,,,,,,
14147335,home,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147335,home,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147335,home,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147335,home,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,25.0,21.0,14.0,10.0,0.0,14.0,16.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,90.0,32.0,7.0,5.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,84.0,71.42857142857143,,,0.0,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,36.0,25.0,8.0,2.0,0.0,19.0,21.0,6.0,14.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,68.0,41.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,69.44444444444444,25.0,,,,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,51.0,40.0,12.0,4.0,0.0,30.0,32.0,8.0,17.0,0.0,0.0,1.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,18.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,64.0,6.9,14.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,78.43137254901961,33.33333333333333,,,,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,51.0,41.0,9.0,3.0,0.0,31.0,35.0,8.0,14.0,0.0,0.0,3.0,1.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,64.0,6.1,10.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,4,20,4,16,80.3921568627451,33.33333333333333,,,,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,31.0,22.0,3.0,2.0,0.0,9.0,11.0,12.0,18.0,3.0,2.0,1.0,1.0,15.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,,,,,,,90.0,44.0,6.3,13.0,0.01,0.0,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,3,14,70.96774193548387,66.66666666666666,66.66666666666666,50.0,,,1.0,,1.0,,1.0,1.0,
14147335,away,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,M,4,False,27.0,23.0,2.0,1.0,0.0,13.0,14.0,9.0,11.0,0.0,0.0,0.0,1.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,90.0,40.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,2,13,85.18518518518519,50.0,,0.0,,,,,1.0,,,,
14147335,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,26.0,17.0,1.0,1.0,0.0,9.0,13.0,6.0,10.0,1.0,0.0,1.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,88.0,36.0,6.5,15.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,2,13,65.38461538461539,100.0,0.0,,,,,,1.0,,,,
14147335,away,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,M,13,False,32.0,19.0,6.0,2.0,0.0,13.0,16.0,4.0,13.0,1.0,0.0,1.0,0.0,17.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,68.0,42.0,6.0,13.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,2,16,59.375,33.33333333333333,0.0,,,,,,,,,,
14147335,away,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,M,7,False,9.0,6.0,0.0,0.0,0.0,,,6.0,9.0,1.0,0.0,2.0,2.0,9.0,11.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,,,,,,79.0,29.0,6.3,13.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,4,16,9,7,66.66666666666666,,0.0,50.0,,,,,2.0,,,,
