match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,interceptionWon,unsuccessfulTouch,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,challengeLost,totalClearance,totalTackle,wonTackle,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,blockedScoringAttempt,totalOffside,clearanceOffLine
14015562,home,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,False,15.0,11.0,1.0,,0.0,4.0,4.0,7.0,11.0,,1.0,1.0,1.0,,,,,,72.0,34.0,6.2,11.0,66.517450263244,11.0,-6.09,5.04,,"{'original': 6.2, 'alternative': 6.2}",3,0.26,0.04,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,73.33333333333333,,,,,,,4.0,10.0,1.0,,,2.0,1.0,3.0,2.0,,,,-0.67,,2.0,,,3.0,,,,1.0,1.0,1.0,
14015562,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,18.0,6.0,6.3,3.0,6.0610592217484,2.0,5.25,3.045,,"{'original': 6.3, 'alternative': 6.3}",1,-0.02,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,66.66666666666666,,,,,,,1.0,3.0,,,,,,1.0,2.0,,,,-0.51,,,,,,,1.0,,1.0,,,
14015562,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,F,88,True,3.0,1.0,1.0,,0.0,1.0,1.0,,2.0,,,2.0,,,,,,,8.0,6.0,6.4,4.0,49.862036992096,3.0,27.72,19.53,,"{'original': 6.4, 'alternative': 6.4}",0,-0.01,0.03,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,33.33333333333333,,,,,,,,2.0,,,,,,,,40.394931612765,1.0,,,,1.0,,,2.0,,,,,,,
14015562,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
