player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,goal,regular,fast-break,"{'x': 12.2, 'y': 68.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.6, 'z': 24.7}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390536,90,1.0,5457,"{'start': {'x': 68.3, 'y': 12.2}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 75.3}}",1,843,57,shot,
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,save,,assisted,"{'x': 17.5, 'y': 40.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 6.3}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6390526,89,,5292,"{'start': {'x': 40.1, 'y': 17.5}, 'block': {'x': 49.8, 'y': 2.3}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 93.7}}",2,108,2592,shot,"{'x': 2.3, 'y': 49.8, 'z': 0}"
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,save,,assisted,"{'x': 31.8, 'y': 22.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.7, 'z': 10.8}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390491,86,,5121,"{'start': {'x': 22.9, 'y': 31.8}, 'block': {'x': 50.4, 'y': 1}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 89.2}}",5,279,2421,shot,"{'x': 1, 'y': 50.4, 'z': 0}"
"{'name': 'Semir Alić', 'firstName': '', 'lastName': '', 'slug': 'semir-alic', 'shortName': 'S. Alić', 'position': 'M', 'jerseyNumber': '14', 'userCount': 55, 'gender': 'M', 'id': 1102770, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمير عليتش'}, 'shortNameTranslation': {'ar': 'س. عليتش'}}}",False,miss,,assisted,"{'x': 23.4, 'y': 44.2, 'z': 0}",right-foot,high,"{'x': 0, 'y': 46.1, 'z': 81.9}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6390437,77,,4596,"{'start': {'x': 44.2, 'y': 23.4}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 18.1}}",14,804,1896,shot,
"{'name': 'Darije Markočević', 'firstName': 'Darije Markocevic', 'slug': 'darije-markocevic', 'shortName': 'D. Markočević', 'position': 'F', 'jerseyNumber': '49', 'userCount': 62, 'gender': 'M', 'id': 1544668, 'fieldTranslations': {'nameTranslation': {'ar': 'داريا ماركوفيتش'}, 'shortNameTranslation': {'ar': 'د. ماركوفيتش'}}}",True,save,,corner,"{'x': 5.1, 'y': 56, 'z': 0}",head,high-centre,"{'x': 0, 'y': 48.6, 'z': 28.5}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390436,75,,4467,"{'start': {'x': 56, 'y': 5.1}, 'block': {'x': 51.8, 'y': 0.099999999999994}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 71.5}}",16,933,1767,shot,"{'x': 0.099999999999994, 'y': 51.8, 'z': 0}"
"{'name': 'Mateja Gašić', 'firstName': 'Mateja Gasic', 'slug': 'mateja-gasic', 'shortName': 'M. Gašić', 'position': 'D', 'jerseyNumber': '66', 'userCount': 40, 'gender': 'M', 'id': 1147541, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا غاشيتش'}, 'shortNameTranslation': {'ar': 'م. غاشيتش'}}}",True,miss,,corner,"{'x': 15.1, 'y': 45, 'z': 0}",right-foot,right,"{'x': 0, 'y': 37, 'z': 34.7}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390426,74,,4390,"{'start': {'x': 45, 'y': 15.1}, 'end': {'x': 63, 'y': 0}, 'goal': {'x': 63, 'y': 65.3}}",17,1010,1690,shot,
"{'name': 'Aleksandar Pejović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-pejovic', 'shortName': 'A. Pejović', 'position': 'M', 'jerseyNumber': '28', 'userCount': 45, 'gender': 'M', 'id': 804662, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر بيجوفيتش', 'bn': 'আলেকসান্ডার পেজোভিচ', 'hi': 'एलेक्ज़ेंडर पेजोविक'}, 'shortNameTranslation': {'ar': 'أ. بيجوفيتش', 'bn': 'এ. পেজোভিচ', 'hi': 'ए. पेजोविक'}}}",True,save,,corner,"{'x': 10.5, 'y': 53.8, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.1, 'z': 23.6}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390421,73,,4341,"{'start': {'x': 53.8, 'y': 10.5}, 'block': {'x': 49.5, 'y': 1}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 76.4}}",18,1059,1641,shot,"{'x': 1, 'y': 49.5, 'z': 0}"
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,save,,assisted,"{'x': 4.2, 'y': 66.2, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 17.7}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390355,61,,3613,"{'start': {'x': 66.2, 'y': 4.2}, 'block': {'x': 61.4, 'y': 2.8}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 82.3}}",30,1787,913,shot,"{'x': 2.8, 'y': 61.4, 'z': 0}"
"{'name': 'Stephen Chinedu', 'slug': 'chinedu-stephen', 'shortName': 'S. Chinedu', 'position': 'F', 'jerseyNumber': '9', 'userCount': 122, 'gender': 'M', 'id': 999008, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفن تشينيدو'}, 'shortNameTranslation': {'ar': 'س. تشينيدو'}}}",True,block,,assisted,"{'x': 20.3, 'y': 60.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 19}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6390295,49,,2885,"{'start': {'x': 60.1, 'y': 20.3}, 'block': {'x': 59.3, 'y': 18.6}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 81}}",42,2515,185,shot,"{'x': 18.6, 'y': 59.3, 'z': 0}"
"{'name': 'Jovan Marinković', 'slug': 'jovan-marinkovic', 'shortName': 'J. Marinković', 'position': 'D', 'jerseyNumber': '23', 'userCount': 46, 'gender': 'M', 'id': 948696, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ي. مارينكوفيتش'}}}",False,miss,,set-piece,"{'x': 10.1, 'y': 40.1, 'z': 0}",head,right,"{'x': 0, 'y': 40.2, 'z': 6.9}","{'name': 'Stefan Ranđelović', 'slug': 'stefan-randjelovic', 'shortName': 'S. Ranđelović', 'position': 'G', 'jerseyNumber': '99', 'userCount': 25, 'gender': 'M', 'id': 954755, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رانديليوفيتش'}, 'shortNameTranslation': {'ar': 'س. رانديليوفيتش'}}}",6390033,37,,2215,"{'start': {'x': 40.1, 'y': 10.1}, 'end': {'x': 59.8, 'y': 0}, 'goal': {'x': 59.8, 'y': 93.1}}",9,485,2215,shot,
