minute,value
1.0,-4
2.0,-2
3.0,1
4.0,-10
5.0,-15
6.0,-36
7.0,-17
8.0,-5
9.0,52
10.0,77
11.0,75
12.0,45
13.0,28
14.0,9
15.0,2
16.0,-7
17.0,-60
18.0,-42
19.0,30
20.0,2
21.0,-2
22.0,-7
23.0,-8
24.0,-8
25.0,29
26.0,18
27.0,15
28.0,9
29.0,5
30.0,-41
31.0,-45
32.0,59
33.0,19
34.0,16
35.0,16
36.0,11
37.0,6
38.0,4
39.0,1
40.0,80
41.0,47
42.0,22
43.0,-26
44.0,-8
45.0,-92
45.5,10
46.0,5
47.0,7
48.0,4
49.0,1
50.0,55
51.0,31
52.0,27
53.0,45
54.0,26
55.0,-52
56.0,-26
57.0,-18
58.0,189
59.0,100
60.0,64
61.0,31
62.0,-27
63.0,-27
64.0,-18
65.0,-68
66.0,-42
67.0,-30
68.0,-54
69.0,-34
70.0,-49
71.0,78
72.0,33
73.0,16
74.0,-82
75.0,-43
76.0,-34
77.0,43
78.0,8
79.0,4
80.0,-8
81.0,-6
82.0,-19
83.0,-13
84.0,-9
85.0,49
86.0,5
87.0,-7
88.0,-9
89.0,-7
90.0,-10
90.5,30
