match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,possessionLostCtrl,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialWon,totalContest,outfielderBlock,challengeLost,wonContest,blockedScoringAttempt,shotOffTarget,hitWoodwork,totalOffside,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,keeperSaveValue,goalkeeperValueNormalized,aerialLost
14015560,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,15.0,15.0,1.0,1.0,0.0,14.0,14.0,1.0,1.0,2.0,90.0,15.0,6.6,7.2184479234241,2.0,3.255,2.1,"{'original': 6.6, 'alternative': 6.7}",0,0.01,0.0,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,D,24,False,62.0,55.0,1.0,,0.0,12.0,12.0,43.0,50.0,4.0,90.0,95.0,7.7,233.86879110597,29.0,84.105,18.795,"{'original': 7.7, 'alternative': 8.3}",1,0.34,0.26,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,88.70967741935483,,28.57142857142857,,,7.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,16.0,70.819260219281,5.0,2.0,0.32,,,,,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,87.0,80.0,8.0,3.0,0.0,40.0,42.0,40.0,45.0,6.0,90.0,101.0,8.5,321.6074090258,36.0,229.425,30.87,"{'original': 8.5, 'alternative': 7.6}",0,0.46,0.23,0.46,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,7,1,91.95402298850574,37.5,,,,,,1.0,10.0,,,,1.0,1.0,6.0,3.0,,1.0,,8.0,74.120736608523,3.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,81.0,74.0,2.0,1.0,0.0,42.0,43.0,32.0,38.0,7.0,90.0,93.0,8.8,188.8101952687,22.0,84.525,14.91,"{'original': 8.8, 'alternative': 8.1}",1,0.26,0.14,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,91.35802469135803,50.0,,,,,,4.0,9.0,2.0,1.0,1.0,4.0,,3.0,1.0,,1.0,1.0,9.0,,,,0.51,5.0,,,1.0,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,57.0,55.0,3.0,2.0,1.0,19.0,19.0,36.0,38.0,5.0,90.0,67.0,6.7,193.84322295053,25.0,49.35,17.01,"{'original': 6.7, 'alternative': 7.6}",1,0.13,0.02,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,96.49122807017544,66.66666666666666,33.33333333333333,50.0,,3.0,1.0,4.0,1.0,,,,1.0,,,,1.0,,3.0,6.0,28.777123201885,2.0,4.0,-0.21,,2.0,,,1.0,1.0,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,47.0,40.0,1.0,1.0,0.0,11.0,13.0,29.0,34.0,8.0,72.0,56.0,6.9,132.95524428555,15.0,45.885,23.205,"{'original': 6.9, 'alternative': 7.3}",3,0.14,0.29,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.1063829787234,100.0,,,,1.0,,2.0,,,1.0,,,1.0,,,1.0,,,11.0,52.791431977083,3.0,1.0,-0.54,,1.0,,1.0,,,2.0,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,83.0,75.0,3.0,3.0,0.0,14.0,14.0,61.0,69.0,9.0,89.0,99.0,8.7,381.53570665358,37.0,34.02,19.845,"{'original': 8.7, 'alternative': 8}",2,0.95,0.25,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,90.36144578313254,100.0,33.33333333333333,,,3.0,1.0,2.0,7.0,1.0,,,,1.0,3.0,2.0,1.0,3.0,,12.0,55.021336372573,3.0,1.0,-0.14,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,77.0,75.0,3.0,3.0,0.0,17.0,17.0,58.0,60.0,7.0,73.0,97.0,8.7,285.32947089247,27.0,59.22,20.685,"{'original': 8.7, 'alternative': 8.3}",3,1.0,0.22,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,8,4,97.40259740259741,100.0,50.0,100.0,,2.0,1.0,4.0,8.0,2.0,2.0,,1.0,2.0,7.0,4.0,1.0,,1.0,6.0,33.462760050705,2.0,2.0,-0.5,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,48.0,39.0,6.0,3.0,0.0,11.0,12.0,28.0,36.0,6.0,89.0,65.0,7.5,141.87804827384,17.0,-69.72,6.195,"{'original': 7.5, 'alternative': 8}",6,-0.32,-0.15,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,81.25,50.0,,,,2.0,,2.0,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,,14.0,,,1.0,0.55,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,52.0,45.0,2.0,1.0,0.0,8.0,9.0,37.0,43.0,3.0,90.0,75.0,7.6,160.30488483262,17.0,22.47,16.38,"{'original': 7.6, 'alternative': 8}",3,0.21,-0.52,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,86.53846153846155,50.0,25.0,100.0,,4.0,1.0,1.0,4.0,1.0,1.0,1.0,,,1.0,,5.0,,,16.0,16.448173637216,1.0,2.0,0.48,2.0,1.0,,,1.0,,2.0,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,False,32.0,23.0,,,0.0,4.0,4.0,19.0,28.0,2.0,79.0,43.0,5.9,73.320183647186,9.0,30.24,13.125,"{'original': 5.9, 'alternative': 7.1}",4,0.05,0.36,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,71.875,,,,,1.0,,5.0,,2.0,,,,,,,,,1.0,13.0,13.282591049942,1.0,3.0,-0.54,,1.0,,1.0,,1.0,3.0,,1.0,,,,,,,,,
