match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,penaltyFaced,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,keyPass,shotValueNormalized,challengeLost,totalClearance,totalTackle,wonTackle,fouls,totalContest,wonContest,outfielderBlock,penaltyConceded,shotOffTarget,onTargetScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,lastManTackle,goals,penaltyWon,totalOffside
14015518,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,M,33,True,5.0,4.0,1.0,,0.0,2.0,3.0,2.0,2.0,2.0,,15.0,12.0,7.2,2.0,"{'original': 7.2, 'alternative': 6.9}",0,0.15,0.04,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,80.0,,,,,1.0,,,,,2.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
14015518,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,True,5.0,2.0,,,0.0,1.0,2.0,1.0,3.0,,,15.0,8.0,5.9,4.0,"{'original': 5.9, 'alternative': 6.3}",0,-0.03,0.03,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,0,4,40.0,,,,,,,4.0,,8.0,,,,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,True,2.0,1.0,1.0,1.0,0.0,,,1.0,2.0,,,1.0,3.0,,1.0,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,100.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14015518,away,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
