match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotOffTarget,unsuccessfulTouch,shotValueNormalized,totalCross,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,bigChanceMissed,blockedScoringAttempt,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015466,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,False,18.0,15.0,,,0.0,5.0,6.0,10.0,12.0,,3.0,,5.0,,,,,65.0,30.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.8}",3,-0.16,0.12,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,83.33333333333334,,,,,,4.0,,,,2.0,,1.0,3.0,,3.0,3.0,-0.19,,,,1.0,,,,,,,,,
14015466,away,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,22.0,17.0,,,0.0,9.0,9.0,8.0,13.0,,2.0,,4.0,,,,,65.0,38.0,5.8,17.0,,"{'original': 5.8, 'alternative': 6}",0,-0.21,-0.32,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,2,8,77.27272727272727,,,33.33333333333333,,,8.0,1.0,,,,,,2.0,,,3.0,,3.0,,1.0,6.0,2.0,,,,,,,,
14015466,away,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,15.0,15.0,,,0.0,3.0,3.0,12.0,12.0,1.0,3.0,1.0,2.0,,,,,90.0,30.0,5.6,8.0,,"{'original': 5.6, 'alternative': 6.7}",2,-0.36,0.14,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,2,7,100.0,,,,,5.0,12.0,1.0,,,,,2.0,2.0,3.0,1.0,3.0,-0.52,1.0,,3.0,1.0,,,,,1.0,,,,
14015466,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,True,35.0,30.0,4.0,2.0,0.0,15.0,16.0,15.0,19.0,,5.0,1.0,4.0,,,,,58.0,48.0,6.8,11.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.16,0.08,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,85.71428571428571,50.0,,66.66666666666666,,2.0,4.0,1.0,,,2.0,2.0,1.0,,,,2.0,,3.0,,,3.0,2.0,,,,,,,,
14015466,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,11.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,9.0,,3.0,,3.0,,,,,45.0,28.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.9}",1,0.1,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,72.72727272727273,100.0,25.0,,,,2.0,,,,,,3.0,1.0,2.0,,2.0,-0.07,4.0,1.0,1.0,,,,,,1.0,,,,
14015466,away,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,True,14.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,10.0,,2.0,,,,,,,25.0,26.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.9}",2,-0.07,0.21,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,85.71428571428571,100.0,,100.0,,,1.0,,,,,,1.0,,1.0,,,-0.15,5.0,,1.0,1.0,1.0,,1.0,,1.0,,,,
14015466,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,12.0,12.0,,,0.0,6.0,6.0,6.0,6.0,,2.0,,2.0,,,,,25.0,15.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.07,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,,,100.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,
14015466,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,True,7.0,6.0,1.0,,0.0,5.0,6.0,1.0,1.0,,,,2.0,,,,,12.0,8.0,6.3,1.0,,"{'original': 6.3, 'alternative': 6.1}",0,0.05,-0.03,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,263764,FK Radnički Niš,2237640,Marko Radic,marko-radic,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
