player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Ibrahim Tanko', 'firstName': '', 'lastName': '', 'slug': 'ibrahim-tanko', 'shortName': 'I. Tanko', 'position': 'F', 'jerseyNumber': '9', 'userCount': 53, 'gender': 'M', 'id': 895905, 'fieldTranslations': {'nameTranslation': {'ar': 'إبراهيم تانكو'}, 'shortNameTranslation': {'ar': 'إ. تانكو'}}}",True,save,assisted,"{'x': 12.2, 'y': 68.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 17.1}","{'x': 1.2, 'y': 50.7, 'z': 0}",5777531,90,5.0,5670,"{'start': {'x': 68.5, 'y': 12.2}, 'block': {'x': 50.7, 'y': 1.2}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 82.9}}",1,630,270,shot,
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",True,goal,fast-break,"{'x': 12.6, 'y': 62.9, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.2, 'z': 32.3}",,5777412,86,,5123,"{'start': {'x': 62.9, 'y': 12.6}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 67.7}}",5,277,2423,shot,regular
"{'name': 'Babacar Mboup', 'slug': 'babacar-mboup', 'shortName': 'B. Mboup', 'position': 'F', 'jerseyNumber': '12', 'userCount': 93, 'gender': 'M', 'id': 1566364, 'fieldTranslations': {'nameTranslation': {'ar': 'مبوب، باباكار'}, 'shortNameTranslation': {'ar': 'ب. مبوب'}}}",False,miss,assisted,"{'x': 25.6, 'y': 62.6, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 34.1, 'z': 54.2}",,5777355,79,,4728,"{'start': {'x': 62.6, 'y': 25.6}, 'end': {'x': 65.9, 'y': 0}, 'goal': {'x': 65.9, 'y': 45.8}}",12,672,2028,shot,
"{'name': 'Vanja Ilić', 'slug': 'vanja-ilic', 'shortName': 'V. Ilić', 'position': 'M', 'jerseyNumber': '23', 'userCount': 66, 'gender': 'M', 'id': 889059, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا إيلتش'}, 'shortNameTranslation': {'ar': 'ف. إيلتش'}}}",False,save,assisted,"{'x': 20.1, 'y': 60.1, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 13.3}","{'x': 1.5, 'y': 49.5, 'z': 0}",5777354,79,,4704,"{'start': {'x': 60.1, 'y': 20.1}, 'block': {'x': 49.5, 'y': 1.5}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 86.7}}",12,696,2004,shot,
"{'name': 'Nikola Srećković', 'slug': 'nikola-sreckovic', 'shortName': 'N. Srećković', 'position': 'M', 'jerseyNumber': '20', 'userCount': 42, 'gender': 'M', 'id': 810663, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سريتشكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. سريتشكوفيتش'}}}",False,block,assisted,"{'x': 26.3, 'y': 55.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 19}","{'x': 21.9, 'y': 54.7, 'z': 0}",5777326,76,,4548,"{'start': {'x': 55.8, 'y': 26.3}, 'block': {'x': 54.7, 'y': 21.9}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 81}}",15,852,1848,shot,
"{'name': 'Vanja Ilić', 'slug': 'vanja-ilic', 'shortName': 'V. Ilić', 'position': 'M', 'jerseyNumber': '23', 'userCount': 66, 'gender': 'M', 'id': 889059, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا إيلتش'}, 'shortNameTranslation': {'ar': 'ف. إيلتش'}}}",False,block,assisted,"{'x': 17.9, 'y': 52.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 19}","{'x': 11.8, 'y': 51.3, 'z': 0}",5777291,72,,4315,"{'start': {'x': 52.8, 'y': 17.9}, 'block': {'x': 51.3, 'y': 11.8}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 81}}",19,1085,1615,shot,
"{'name': 'Radomir Milosavljević', 'slug': 'radomir-milosavljevic', 'shortName': 'R. Milosavljević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 30, 'gender': 'M', 'id': 112321, 'fieldTranslations': {'nameTranslation': {'ar': 'رادومير ميلوسافليفيتش'}, 'shortNameTranslation': {'ar': 'ر. ميلوسافليفيتش'}}}",False,goal,assisted,"{'x': 4.5, 'y': 52.1, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.3, 'z': 19.6}",,5777247,67,,4016,"{'start': {'x': 52.1, 'y': 4.5}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 80.4}}",24,1384,1316,shot,regular
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,save,fast-break,"{'x': 7.9, 'y': 67.6, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 7.6}","{'x': 1.1, 'y': 52.9, 'z': 0}",5777236,67,,3967,"{'start': {'x': 67.6, 'y': 7.9}, 'block': {'x': 52.9, 'y': 1.1}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 92.4}}",24,1433,1267,shot,
"{'name': 'Kayode Saliman', 'firstName': 'Kayode', 'lastName': 'Saliman', 'slug': 'kayode-saliman', 'shortName': 'K. Saliman', 'position': 'M', 'jerseyNumber': '14', 'userCount': 39, 'gender': 'M', 'id': 1472922, 'fieldTranslations': {'nameTranslation': {'ar': 'كايويد ساليمان'}, 'shortNameTranslation': {'ar': 'ك. ساليمان'}}}",True,miss,corner,"{'x': 2.9, 'y': 61.3, 'z': 0}",head,high-left,"{'x': 0, 'y': 60.7, 'z': 58.3}",,5777213,64,,3829,"{'start': {'x': 61.3, 'y': 2.9}, 'end': {'x': 39.3, 'y': 0}, 'goal': {'x': 39.3, 'y': 41.7}}",27,1571,1129,shot,
"{'name': 'Stefan Aškovski', 'slug': 'stefan-askovski', 'shortName': 'S. Aškovski', 'position': 'D', 'jerseyNumber': '11', 'userCount': 66, 'gender': 'M', 'id': 99533, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان أشكوفسكي', 'bn': 'স্টেফান অ্যাসকোভস্কি', 'hi': 'स्टीफ़न एशकोवस्की'}, 'shortNameTranslation': {'ar': 'س. أشكوفسكي', 'bn': 'এস. আসকোভস্কি', 'hi': 'एस. एशकोवस्की'}}}",False,save,assisted,"{'x': 11.6, 'y': 37.4, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 7}","{'x': 4.6, 'y': 44.4, 'z': 0}",5777181,58,,3462,"{'start': {'x': 37.4, 'y': 11.6}, 'block': {'x': 44.4, 'y': 4.6}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 93}}",33,1938,762,shot,
"{'name': 'Bayere Loue', 'firstName': '', 'lastName': '', 'slug': 'bayere-loue', 'shortName': 'B. Loue', 'position': 'F', 'jerseyNumber': '27', 'userCount': 74, 'gender': 'M', 'id': 972802, 'fieldTranslations': {'nameTranslation': {'ar': 'باير لو'}, 'shortNameTranslation': {'ar': 'ب. لو'}}}",True,miss,assisted,"{'x': 12.9, 'y': 39.3, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 49.6, 'z': 54.2}",,5777159,56,,3355,"{'start': {'x': 39.3, 'y': 12.9}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 45.8}}",35,2045,655,shot,
"{'name': 'Ognjen Krsmanović', 'slug': 'ognjen-krsmanovic', 'shortName': 'O. Krsmanović', 'position': 'F', 'jerseyNumber': '22', 'userCount': 24, 'gender': 'M', 'id': 1398997, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كرسمنوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 11.7, 'y': 48.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 15.2}","{'x': 0.7, 'y': 50.9, 'z': 0}",5777134,55,,3256,"{'start': {'x': 48.5, 'y': 11.7}, 'block': {'x': 50.9, 'y': 0.7}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 84.8}}",36,2144,556,shot,
"{'name': 'Babacar Mboup', 'slug': 'babacar-mboup', 'shortName': 'B. Mboup', 'position': 'F', 'jerseyNumber': '12', 'userCount': 93, 'gender': 'M', 'id': 1566364, 'fieldTranslations': {'nameTranslation': {'ar': 'مبوب، باباكار'}, 'shortNameTranslation': {'ar': 'ب. مبوب'}}}",False,block,corner,"{'x': 2.6, 'y': 57.3, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.9, 'z': 19}","{'x': 2, 'y': 56.1, 'z': 0}",5777107,53,,3130,"{'start': {'x': 57.3, 'y': 2.6}, 'block': {'x': 56.1, 'y': 2}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 81}}",38,2270,430,shot,
"{'name': 'Radomir Milosavljević', 'slug': 'radomir-milosavljevic', 'shortName': 'R. Milosavljević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 30, 'gender': 'M', 'id': 112321, 'fieldTranslations': {'nameTranslation': {'ar': 'رادومير ميلوسافليفيتش'}, 'shortNameTranslation': {'ar': 'ر. ميلوسافليفيتش'}}}",False,miss,assisted,"{'x': 22.9, 'y': 52.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 40, 'z': 76.4}",,5777094,51,,3054,"{'start': {'x': 52.1, 'y': 22.9}, 'end': {'x': 60, 'y': 0}, 'goal': {'x': 60, 'y': 23.6}}",40,2346,354,shot,
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,save,assisted,"{'x': 12.9, 'y': 40.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 1.3}","{'x': 4.9, 'y': 46, 'z': 0}",5777084,49,,2936,"{'start': {'x': 40.9, 'y': 12.9}, 'block': {'x': 46, 'y': 4.9}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 98.7}}",42,2464,236,shot,
"{'name': 'Mateja Radonjić', 'firstName': '', 'lastName': '', 'slug': 'mateja-radonjic', 'shortName': 'M. Radonjić', 'position': 'M', 'jerseyNumber': '30', 'userCount': 49, 'gender': 'M', 'id': 1153961, 'fieldTranslations': {'nameTranslation': {'ar': 'هاليسديمير د / أوكتاي ر ك'}, 'shortNameTranslation': {'ar': 'ه. ك'}}}",False,miss,free-kick,"{'x': 24.7, 'y': 36.9, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 61.7, 'z': 76.4}",,5776761,41,,2405,"{'start': {'x': 36.9, 'y': 24.7}, 'end': {'x': 38.3, 'y': 0}, 'goal': {'x': 38.3, 'y': 23.6}}",5,295,2405,shot,
"{'name': 'Boubacari Doucoure', 'firstName': '', 'lastName': '', 'slug': 'boubacari-doucoure', 'shortName': 'B. Doucoure', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 986764, 'fieldTranslations': {'nameTranslation': {'ar': 'بوباكاري دوكوري'}, 'shortNameTranslation': {'ar': 'ب. دوكوري'}}}",True,save,corner,"{'x': 2.3, 'y': 40.6, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 11.4}","{'x': 0.7, 'y': 46.2, 'z': 0}",5776710,32,,1898,"{'start': {'x': 40.6, 'y': 2.3}, 'block': {'x': 46.2, 'y': 0.7}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 88.6}}",14,802,1898,shot,
"{'name': 'Petar Petrović', 'firstName': 'Petar', 'lastName': 'Petrović', 'slug': 'petar-petrovic', 'shortName': 'P. Petrović', 'position': 'D', 'jerseyNumber': '21', 'userCount': 51, 'gender': 'M', 'id': 1500275, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بيتروفيتش'}}}",True,miss,corner,"{'x': 8.2, 'y': 63, 'z': 0}",head,left,"{'x': 0, 'y': 64.4, 'z': 20.8}","{'x': 2.4, 'y': 42.6, 'z': 0}",5776698,32,,1897,"{'start': {'x': 63, 'y': 8.2}, 'block': {'x': 42.6, 'y': 2.4}, 'end': {'x': 35.6, 'y': 0}, 'goal': {'x': 35.6, 'y': 79.2}}",14,803,1897,shot,
