player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Uroš Bulatović', 'firstName': '', 'lastName': '', 'slug': 'uros-bulatovic', 'shortName': 'U. Bulatović', 'position': 'M', 'jerseyNumber': '8', 'userCount': 3, 'gender': 'M', 'id': 1391890, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بولاتوفيتش'}}}",True,miss,regular,"{'x': 30, 'y': 42, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.1, 'z': 11.4}",0.0007697,6555742,90,5389,"{'start': {'x': 42, 'y': 30}, 'end': {'x': 43.9, 'y': 0}, 'goal': {'x': 43.9, 'y': 88.6}}",1,11,2689,shot,,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,goal,throw-in-set-piece,"{'x': 12, 'y': 58, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.7, 'z': 6.6}",0.07864,6555741,87,5209,"{'start': {'x': 58, 'y': 12}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 93.4}}",4,191,2509,shot,regular,0.6366,
"{'name': 'Balša Boričić', 'slug': 'balsa-boricic', 'shortName': 'B. Boričić', 'position': 'M', 'jerseyNumber': '80', 'userCount': 4, 'gender': 'M', 'id': 357692, 'fieldTranslations': {'nameTranslation': {'ar': 'بالسا بوريتشيتش', 'hi': 'बाल्सा बोरिकिक', 'bn': 'বালসা বোরিসিচ'}, 'shortNameTranslation': {'ar': 'ب. بوريتشيتش', 'hi': 'बी. बोरिकिक', 'bn': 'বি. বোরিসিচ'}}}",True,miss,throw-in-set-piece,"{'x': 34, 'y': 29, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.7, 'z': 42.3}",0.003569,6555740,85,5091,"{'start': {'x': 29, 'y': 34}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 57.7}}",6,309,2391,shot,,,
"{'name': 'Matija Bojović', 'firstName': 'Matija', 'lastName': 'Bojović', 'slug': 'matija-bojovic', 'shortName': 'M. Bojović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 16, 'gender': 'M', 'id': 1185148, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا بوجوفيتش', 'hi': 'मतिजा बोजोविक', 'bn': 'মাতিজা বোজোভিচ'}, 'shortNameTranslation': {'ar': 'م. بوجوفيتش', 'hi': 'एम. बोजोविक', 'bn': 'এম. বোজোভিচ'}}}",True,miss,regular,"{'x': 9, 'y': 28, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.5, 'z': 18.5}",0.07688,6555739,77,4594,"{'start': {'x': 28, 'y': 9}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 81.5}}",14,806,1894,shot,,,
"{'name': 'Matija Bojović', 'firstName': 'Matija', 'lastName': 'Bojović', 'slug': 'matija-bojovic', 'shortName': 'M. Bojović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 16, 'gender': 'M', 'id': 1185148, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا بوجوفيتش', 'hi': 'मतिजा बोजोविक', 'bn': 'মাতিজা বোজোভিচ'}, 'shortNameTranslation': {'ar': 'م. بوجوفيتش', 'hi': 'एम. बोजोविक', 'bn': 'এম. বোজোভিচ'}}}",True,miss,regular,"{'x': 30, 'y': 33, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.9, 'z': 19.4}",0.02722,6555738,76,4522,"{'start': {'x': 33, 'y': 30}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 80.6}}",15,878,1822,shot,,,
"{'name': 'Andrej Bajović', 'firstName': '', 'lastName': '', 'slug': 'andrej-bajovic', 'shortName': 'A. Bajović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 29, 'gender': 'M', 'id': 1005614, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بايوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بايوفيتش'}}}",False,miss,regular,"{'x': 15, 'y': 38, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.9, 'z': 1.4}",0.04751,6555737,74,4430,"{'start': {'x': 38, 'y': 15}, 'end': {'x': 56.1, 'y': 0}, 'goal': {'x': 56.1, 'y': 98.6}}",17,970,1730,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,goal,regular,"{'x': 10, 'y': 60, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.4, 'z': 22.2}",0.239,6555736,69,4131,"{'start': {'x': 60, 'y': 10}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 77.8}}",22,1269,1431,shot,regular,0.6627,
"{'name': 'Nikola Braunović', 'firstName': '', 'lastName': '', 'slug': 'nikola-braunovic', 'shortName': 'N. Braunović', 'position': 'M', 'jerseyNumber': '29', 'userCount': 5, 'gender': 'M', 'id': 1466922, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا براونوفيتش'}, 'shortNameTranslation': {'ar': 'ن. براونوفيتش'}}}",False,block,regular,"{'x': 34, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0006591,6555735,68,4036,"{'start': {'x': 49, 'y': 34}, 'block': {'x': 49, 'y': 34}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",23,1364,1336,shot,,,"{'x': 34, 'y': 49, 'z': 0}"
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,save,regular,"{'x': 9, 'y': 59, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50.4, 'z': 23.4}",0.1708,6555734,60,3560,"{'start': {'x': 59, 'y': 9}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 76.6}}",31,1840,860,shot,,0.1349,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,miss,regular,"{'x': 4, 'y': 60, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.1, 'z': 30}",0.1209,6555733,55,3263,"{'start': {'x': 60, 'y': 4}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 70}}",36,2137,563,shot,,,
