match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,keyPass,blockedScoringAttempt,interceptionWon,dispossessed,penaltyConceded,bigChanceMissed,shotOffTarget,penaltyWon
15280974,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,30.0,28.0,10.0,8.0,0.0,21.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,90.0,34.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.33333333333333,80.0,,,0.0,,,,,,,,,
15280974,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,44.0,31.0,9.0,5.0,0.0,9.0,12.0,21.0,31.0,7.0,4.0,0.0,1.0,10.0,3.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,59.0,7.5,14.0,0.0,1.27,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,2,10,70.45454545454545,55.55555555555556,57.14285714285714,20.0,,1.0,6.0,,,,,,,
15280974,home,6216,OFK Petrovac,101141,Marko Roganović,marko-roganovic,D,99,False,63.0,55.0,7.0,5.0,0.0,28.0,29.0,26.0,33.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,90.0,81.0,7.1,10.0,0.08,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,87.3015873015873,71.42857142857143,100.0,100.0,,,,1.0,1.0,,,,,
15280974,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,72.0,61.0,14.0,6.0,0.0,42.0,44.0,17.0,26.0,0.0,0.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,93.0,7.3,17.0,0.26,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,84.72222222222221,42.857142857142854,,,,,,1.0,3.0,,,,,
15280974,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,50.0,42.0,2.0,2.0,0.0,12.0,14.0,28.0,34.0,3.0,1.0,1.0,4.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,83.0,56.0,6.9,8.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,84.0,100.0,33.33333333333333,,,,,,2.0,,,,,
15280974,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,56.0,50.0,2.0,2.0,0.0,18.0,20.0,31.0,34.0,0.0,0.0,2.0,2.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,68.0,7.3,8.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,7,7,89.28571428571429,100.0,,100.0,,,,,1.0,,,,,
15280974,home,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,False,64.0,59.0,3.0,2.0,0.0,29.0,30.0,28.0,32.0,0.0,0.0,1.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,79.0,75.0,6.6,8.0,0.01,0.03,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,92.1875,66.66666666666666,,0.0,,,1.0,1.0,3.0,1.0,1.0,,,
15280974,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,31.0,25.0,2.0,0.0,0.0,4.0,6.0,21.0,25.0,1.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,90.0,47.0,6.1,16.0,0.91,0.22,"{'original': 6.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,0,10,80.64516129032258,0.0,100.0,,,,1.0,1.0,,2.0,,1.0,,
15280974,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,43.0,37.0,3.0,2.0,0.0,10.0,10.0,27.0,33.0,1.0,1.0,1.0,2.0,14.0,8.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,67.0,7.3,12.0,0.31,0.12,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,3,19,6,13,86.04651162790698,66.66666666666666,100.0,60.0,,,1.0,1.0,,4.0,,,1.0,
15280974,home,6216,OFK Petrovac,979046,Nemanja Belaković,nemanja-belakovic,M,11,False,32.0,27.0,2.0,1.0,0.0,3.0,4.0,23.0,27.0,2.0,0.0,1.0,2.0,14.0,12.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,,,,,,,90.0,56.0,7.3,12.0,0.66,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,3,23,10,13,84.375,50.0,0.0,100.0,,,1.0,,1.0,2.0,,1.0,1.0,
