player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 35, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,miss,regular,"{'x': 13, 'y': 49, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.2, 'z': 15.9}",0.02531,6529737,90,3.0,5526,"{'start': {'x': 49, 'y': 13}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 84.1}}",1,774,126,shot,,,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",True,miss,regular,"{'x': 22, 'y': 34, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.6, 'z': 42.2}",0.01593,6529735,90,2.0,5465,"{'start': {'x': 34, 'y': 22}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 57.8}}",1,835,65,shot,,,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 35, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,miss,regular,"{'x': 6, 'y': 49, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.4, 'z': 6.3}",0.3905,6529733,89,,5321,"{'start': {'x': 49, 'y': 6}, 'end': {'x': 57.6, 'y': 0}, 'goal': {'x': 57.6, 'y': 93.7}}",2,79,2621,shot,,,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",False,block,free-kick,"{'x': 25, 'y': 32, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0007236,6529739,87,,5191,"{'start': {'x': 32, 'y': 25}, 'block': {'x': 32, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,209,2491,shot,"{'x': 25, 'y': 32, 'z': 0}",,
"{'name': 'Robert Gjelaj', 'firstName': '', 'lastName': '', 'slug': 'robert-gjelaj', 'shortName': 'R. Gjelaj', 'position': 'D', 'jerseyNumber': '23', 'userCount': 40, 'gender': 'M', 'id': 1108587, 'fieldTranslations': {'nameTranslation': {'ar': 'روبرت جيلاي'}, 'shortNameTranslation': {'ar': 'ر. جيلاي'}}}",False,miss,corner,"{'x': 16, 'y': 44, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 43.6, 'z': 1.4}",0.02517,6529731,78,,4680,"{'start': {'x': 44, 'y': 16}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 98.6}}",13,720,1980,shot,,,
"{'name': 'Nedeljko Piščević', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-piscevic', 'shortName': 'N. Piščević', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 889060, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلجو بيشيفيتش', 'hi': 'नेडेल्ज्को पिस्चेविक', 'bn': 'নেদেলজকো পিশেভিচ'}, 'shortNameTranslation': {'ar': 'ن. بيشيفيتش', 'hi': 'एन. पिस्चेविक', 'bn': 'এন. পিসচেভিচ'}}}",True,miss,corner,"{'x': 4, 'y': 58, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41.2, 'z': 46.6}",0.1833,6529729,76,,4535,"{'start': {'x': 58, 'y': 4}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 53.4}}",15,865,1835,shot,,,
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",True,block,regular,"{'x': 13, 'y': 29, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.04439,6529727,75,,4495,"{'start': {'x': 29, 'y': 13}, 'block': {'x': 29, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,905,1795,shot,"{'x': 13, 'y': 29, 'z': 0}",,
"{'name': 'Lazar Savović', 'slug': 'lazar-savovic', 'shortName': 'L. Savović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 105, 'gender': 'M', 'id': 1606673, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار سافوفيتش'}, 'shortNameTranslation': {'ar': 'ل. سافوفيتش'}}}",True,miss,regular,"{'x': 25, 'y': 46, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 44, 'z': 54.2}",0.05032,6529725,73,,4341,"{'start': {'x': 46, 'y': 25}, 'end': {'x': 56, 'y': 0}, 'goal': {'x': 56, 'y': 45.8}}",18,1059,1641,shot,,,
"{'name': 'Lazar Mijović', 'slug': 'lazar-mijovic', 'shortName': 'L. Mijović', 'position': 'M', 'jerseyNumber': '88', 'userCount': 36, 'gender': 'M', 'id': 1005616, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميوفيتش', 'hi': 'लज़ार मिजोविक', 'bn': 'লাজার মিজোভিচ'}, 'shortNameTranslation': {'ar': 'ل. ميوفيتش', 'hi': 'एल. मिजोविक', 'bn': 'এল. মিজোভিচ'}}}",True,block,regular,"{'x': 14, 'y': 59, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.09167,6529723,73,,4336,"{'start': {'x': 59, 'y': 14}, 'block': {'x': 59, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",18,1064,1636,shot,"{'x': 14, 'y': 59, 'z': 0}",,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",True,post,regular,"{'x': 19, 'y': 41, 'z': 0}",right-foot,high,"{'x': 0, 'y': 55, 'z': 39.4}",0.09249,6529721,62,,3697,"{'start': {'x': 41, 'y': 19}, 'end': {'x': 45, 'y': 0}, 'goal': {'x': 45, 'y': 60.6}}",29,1703,997,shot,,,
