player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType,addedTime
"{'name': 'Luka Malešević', 'firstName': '', 'lastName': '', 'slug': 'luka-malesevic', 'shortName': 'L. Malešević', 'position': 'D', 'userCount': 5, 'gender': 'M', 'id': 839270, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ماليشيفيتش', 'hi': 'लुका मालेशेविक', 'bn': 'লুকা মালেসেভিচ'}, 'shortNameTranslation': {'ar': 'ل. ماليشيفيتش', 'hi': 'एल. मालेशेविक', 'bn': 'এল. মালেসেভিচ'}}}",True,miss,regular,"{'x': 24, 'y': 68, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.3, 'z': 17.8}",0.006405,6566509,89,5317,"{'start': {'x': 68, 'y': 24}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 82.2}}",2,83,2617,shot,,,,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",False,block,free-kick,"{'x': 28, 'y': 79, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",5.355e-05,6566511,80,4796,"{'start': {'x': 79, 'y': 28}, 'block': {'x': 79, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",11,604,2096,shot,"{'x': 28, 'y': 79, 'z': 0}",,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,save,regular,"{'x': 15, 'y': 29, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54, 'z': 6.6}",0.05619,6566508,79,4703,"{'start': {'x': 29, 'y': 15}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 93.4}}",12,697,2003,shot,,0.08925,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,goal,regular,"{'x': 12, 'y': 26, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 17}",0.03899,6566507,72,4266,"{'start': {'x': 26, 'y': 12}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 83}}",19,1134,1566,shot,,0.3538,regular,
"{'name': 'Andrija Kaluđerović', 'firstName': '', 'lastName': '', 'slug': 'andrija-kaluderovic', 'shortName': 'A. Kaluđeriović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 94261, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا كالوجيروفيتش'}, 'shortNameTranslation': {'ar': 'أ. كالوجيروفيتش'}}}",True,block,regular,"{'x': 30, 'y': 27, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.001753,6566506,71,4255,"{'start': {'x': 27, 'y': 30}, 'block': {'x': 27, 'y': 30}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",20,1145,1555,shot,"{'x': 30, 'y': 27, 'z': 0}",,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,miss,throw-in-set-piece,"{'x': 12, 'y': 47, 'z': 0}",head,close-right,"{'x': 0, 'y': 44, 'z': 26.1}",0.04434,6566505,69,4086,"{'start': {'x': 47, 'y': 12}, 'end': {'x': 56, 'y': 0}, 'goal': {'x': 56, 'y': 73.9}}",22,1314,1386,shot,,,,
"{'name': 'Yann Michael Yao', 'firstName': '', 'lastName': '', 'slug': 'yann-michael-yao', 'shortName': 'Y. M. Yao', 'position': 'M', 'jerseyNumber': '11', 'userCount': 17, 'gender': 'M', 'id': 894450, 'fieldTranslations': {'nameTranslation': {'ar': 'يان ميخائيل ياو'}, 'shortNameTranslation': {'ar': 'ي. ياو'}}}",True,miss,regular,"{'x': 7, 'y': 55, 'z': 0}",head,close-right,"{'x': 0, 'y': 40.9, 'z': 32.2}",0.2061,6566504,67,3979,"{'start': {'x': 55, 'y': 7}, 'end': {'x': 59.1, 'y': 0}, 'goal': {'x': 59.1, 'y': 67.8}}",24,1421,1279,shot,,,,
"{'name': 'Vukas Dragović', 'slug': 'vukas-dragovic', 'shortName': 'V. Dragović', 'position': 'M', 'jerseyNumber': '99', 'userCount': 9, 'gender': 'M', 'id': 1484678, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاس دراجوفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجوفيتش'}}}",True,miss,regular,"{'x': 11, 'y': 53, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.5, 'z': 30.5}",0.1185,6566503,59,3519,"{'start': {'x': 53, 'y': 11}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 69.5}}",32,1881,819,shot,,,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,miss,regular,"{'x': 13, 'y': 43, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.9, 'z': 41}",0.2638,6566502,57,3403,"{'start': {'x': 43, 'y': 13}, 'end': {'x': 58.1, 'y': 0}, 'goal': {'x': 58.1, 'y': 59}}",34,1997,703,shot,,,,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 35, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,block,regular,"{'x': 18, 'y': 51, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.07506,6566501,55,3241,"{'start': {'x': 51, 'y': 18}, 'block': {'x': 51, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",36,2159,541,shot,"{'x': 18, 'y': 51, 'z': 0}",,,
