minute,value
1.0,-13
2.0,-41
3.0,-80
4.0,-52
5.0,-35
6.0,22
7.0,2
8.0,9
9.0,9
10.0,34
11.0,27
12.0,14
13.0,-53
14.0,-40
15.0,-33
16.0,-22
17.0,-29
18.0,-15
19.0,-19
20.0,-41
21.0,-25
22.0,-15
23.0,-10
24.0,39
25.0,47
26.0,33
27.0,19
28.0,31
29.0,16
30.0,12
31.0,87
32.0,47
33.0,31
34.0,18
35.0,10
36.0,-1
37.0,-6
38.0,34
39.0,18
40.0,15
41.0,7
42.0,2
43.0,-3
44.0,90
45.0,72
45.5,20
46.0,5
47.0,-15
48.0,70
49.0,43
50.0,20
51.0,12
52.0,8
53.0,35
54.0,10
55.0,-40
56.0,-21
57.0,26
58.0,11
59.0,38
60.0,26
61.0,20
62.0,10
63.0,1
64.0,10
65.0,31
66.0,23
67.0,50
68.0,31
69.0,43
70.0,25
71.0,55
72.0,100
73.0,59
74.0,39
75.0,14
76.0,1
77.0,-5
78.0,-8
79.0,31
80.0,17
81.0,6
82.0,4
83.0,3
84.0,-1
85.0,6
86.0,9
87.0,6
88.0,5
89.0,34
90.0,20
90.5,-20
