match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,keyPass,hitWoodwork,clearanceOffLine,savedShotsFromInsideTheBox
14147353,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,18.0,14.0,0.0,0.0,0.0,6.0,6.0,8.0,12.0,0.0,0.0,0.0,2.0,11.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,,,,,,90.0,41.0,7.1,8.0,0.42,0.0,"{'original': 7.1, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,5,11,77.77777777777779,,,100.0,,4.0,5.0,,,1.0,,
14147353,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,True,14.0,11.0,3.0,3.0,0.0,4.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,29.0,25.0,7.0,3.0,0.0,0.04,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,7,4,78.57142857142857,100.0,,100.0,,1.0,,,1.0,,,
14147353,home,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,True,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,7.0,8.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,40.0,100.0,0.0,100.0,,,,,,,,
14147353,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,2.0,2.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7.0,5.0,6.2,2.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,100.0,,,0.0,,,,,,,,
14147353,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,2.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,100.0,100.0,,,,,,,,
14147353,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,home,36019,FK Mornar Bar,798005,Marko Vučić,marko-vucic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,home,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,55668,Miloš Dragojević,milos-dragojevic,G,33,False,24.0,24.0,4.0,4.0,0.0,23.0,23.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,42.0,29.0,7.1,1.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,28.0,22.0,5.0,3.0,0.0,10.0,10.0,12.0,17.0,3.0,1.0,1.0,0.0,13.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,90.0,39.0,6.4,5.0,0.03,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,6,12,78.57142857142857,60.0,33.33333333333333,100.0,,,1.0,,,,,
14147353,away,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,63.0,53.0,14.0,6.0,0.0,39.0,40.0,14.0,22.0,0.0,0.0,2.0,0.0,14.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,90.0,84.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,6,12,84.12698412698413,42.857142857142854,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,78954,Žarko Tomašević,zarko-tomasevic,D,5,False,81.0,70.0,16.0,9.0,0.0,43.0,43.0,25.0,35.0,2.0,1.0,2.0,2.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,90.0,103.0,7.1,14.0,0.06,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,86.41975308641975,56.25,50.0,,,,1.0,,,,,
14147353,away,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,False,18.0,12.0,3.0,1.0,0.0,8.0,9.0,4.0,9.0,1.0,0.0,7.0,1.0,12.0,6.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,30.0,6.9,11.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,8,10,5,5,66.66666666666666,33.33333333333333,0.0,100.0,,,,,,,1.0,
14147353,away,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,48.0,43.0,8.0,5.0,0.0,22.0,23.0,19.0,23.0,0.0,0.0,0.0,1.0,7.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,90.0,61.0,7.1,9.0,0.02,0.06,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,7,7,89.58333333333334,62.5,,50.0,,,1.0,,1.0,,,
14147353,away,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,False,33.0,29.0,3.0,2.0,0.0,18.0,19.0,11.0,13.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,70.0,42.0,6.6,5.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,87.87878787878788,66.66666666666666,0.0,100.0,,1.0,,,,,,
14147353,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,14.0,10.0,0.0,0.0,0.0,1.0,1.0,9.0,13.0,0.0,0.0,3.0,2.0,10.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,90.0,28.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,6,7,71.42857142857143,,,50.0,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,44305,Draško Božović,drasko-bozovic,M,7,False,36.0,28.0,3.0,0.0,0.0,14.0,17.0,14.0,19.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,41.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,77.77777777777779,0.0,66.66666666666666,100.0,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,1799572,Halil Kajoshaj,halil-kajoshaj,M,50,False,6.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,77.0,13.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,66.66666666666666,,,,,1.0,,,,,,
14147353,away,6226,FK Dečić Tuzi,838300,Stefan Golubović,stefan-golubovic,F,27,False,8.0,8.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,6.0,3.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,,,,,77.0,18.0,6.3,6.0,0.08,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,0,8,100.0,,,0.0,,,,1.0,,,,
14147353,away,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,True,25.0,18.0,11.0,4.0,0.0,13.0,13.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,32.0,6.6,8.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.0,36.36363636363637,,,,,,,,,,1.0
14147353,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,True,7.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,20.0,11.0,6.3,0.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,,,,,1.0,,,,
14147353,away,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,20.0,7.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,,,,50.0,,1.0,,,,,,
14147353,away,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,4.0,4.0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,6.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,100.0,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,5.0,6.4,1.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,50.0,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147353,away,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
