player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Jovan Marinković', 'slug': 'jovan-marinkovic', 'shortName': 'J. Marinković', 'position': 'D', 'jerseyNumber': '23', 'userCount': 46, 'gender': 'M', 'id': 948696, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ي. مارينكوفيتش'}}}",True,miss,corner,"{'x': 5, 'y': 46, 'z': 0}",head,left,"{'x': 0, 'y': 70.6, 'z': 26.4}",,5430881,39,,2294,"{'start': {'x': 46, 'y': 5}, 'end': {'x': 29.4, 'y': 0}, 'goal': {'x': 29.4, 'y': 73.6}}",7,406,2294,shot,
"{'name': 'Ejike Opara', 'slug': 'ejike-opara', 'shortName': 'E. Opara', 'position': 'F', 'jerseyNumber': '11', 'userCount': 157, 'gender': 'M', 'id': 1617764, 'fieldTranslations': {'nameTranslation': {'ar': 'إيجيكي أوبارا'}, 'shortNameTranslation': {'ar': 'إ. أوبارا'}}}",True,goal,set-piece,"{'x': 3.6, 'y': 48.3, 'z': 0}",head,high-centre,"{'x': 0, 'y': 51.7, 'z': 22.2}",,5430790,23,,1345,"{'start': {'x': 48.3, 'y': 3.6}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 77.8}}",23,1355,1345,shot,regular
"{'name': 'Mihajlo Petković', 'firstName': 'Mihajlo', 'lastName': 'Petkovic', 'slug': 'mihajlo-petkovic', 'shortName': 'M. Petković', 'position': 'M', 'jerseyNumber': '21', 'userCount': 153, 'gender': 'M', 'id': 1100966, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو بيتكوفيتش', 'bn': 'মিহাজলো পেটকোভিচ', 'hi': 'मिहाज्लो पेतकोविच'}, 'shortNameTranslation': {'ar': 'م. بيتكوفيتش', 'bn': 'এম. পেটকোভিচ', 'hi': 'एम. पेतकोविच'}}}",True,block,assisted,"{'x': 14.7, 'y': 34, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 19}","{'x': 11.6, 'y': 37.2, 'z': 0}",5430789,21,,1224,"{'start': {'x': 34, 'y': 14.7}, 'block': {'x': 37.2, 'y': 11.6}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 81}}",25,1476,1224,shot,
"{'name': 'Ahmed Hadzimujovic', 'firstName': 'Ahmed Hadzimujovic', 'slug': 'ahmed-hadzimujovic', 'shortName': 'A. Hadzimujovic', 'position': 'D', 'jerseyNumber': '4', 'userCount': 132, 'gender': 'M', 'id': 1981962, 'fieldTranslations': {'nameTranslation': {'ar': 'أحمد هادزيموجوفيتش'}, 'shortNameTranslation': {'ar': 'أ. هادزيموجوفيتش'}}}",True,miss,set-piece,"{'x': 7.9, 'y': 52.1, 'z': 0}",head,left,"{'x': 0, 'y': 68.1, 'z': 16.7}",,5430761,17,,969,"{'start': {'x': 52.1, 'y': 7.9}, 'end': {'x': 31.9, 'y': 0}, 'goal': {'x': 31.9, 'y': 83.3}}",29,1731,969,shot,
"{'name': 'Ejike Opara', 'slug': 'ejike-opara', 'shortName': 'E. Opara', 'position': 'F', 'jerseyNumber': '11', 'userCount': 157, 'gender': 'M', 'id': 1617764, 'fieldTranslations': {'nameTranslation': {'ar': 'إيجيكي أوبارا'}, 'shortNameTranslation': {'ar': 'إ. أوبارا'}}}",True,miss,throw-in-set-piece,"{'x': 5.4, 'y': 52.6, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 19.4}",,5430760,15,,870,"{'start': {'x': 52.6, 'y': 5.4}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 80.6}}",31,1830,870,shot,
"{'name': 'Mihajlo Petković', 'firstName': 'Mihajlo', 'lastName': 'Petkovic', 'slug': 'mihajlo-petkovic', 'shortName': 'M. Petković', 'position': 'M', 'jerseyNumber': '21', 'userCount': 153, 'gender': 'M', 'id': 1100966, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو بيتكوفيتش', 'bn': 'মিহাজলো পেটকোভিচ', 'hi': 'मिहाज्लो पेतकोविच'}, 'shortNameTranslation': {'ar': 'م. بيتكوفيتش', 'bn': 'এম. পেটকোভিচ', 'hi': 'एम. पेतकोविच'}}}",True,block,fast-break,"{'x': 22.6, 'y': 64, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}","{'x': 19.2, 'y': 61.7, 'z': 0}",5430744,14,,836,"{'start': {'x': 64, 'y': 22.6}, 'block': {'x': 61.7, 'y': 19.2}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",32,1864,836,shot,
"{'name': 'Ejike Opara', 'slug': 'ejike-opara', 'shortName': 'E. Opara', 'position': 'F', 'jerseyNumber': '11', 'userCount': 157, 'gender': 'M', 'id': 1617764, 'fieldTranslations': {'nameTranslation': {'ar': 'إيجيكي أوبارا'}, 'shortNameTranslation': {'ar': 'إ. أوبارا'}}}",True,miss,assisted,"{'x': 9.9, 'y': 47.9, 'z': 0}",left-foot,left,"{'x': 0, 'y': 66.2, 'z': 12.5}",,5430726,11,,634,"{'start': {'x': 47.9, 'y': 9.9}, 'end': {'x': 33.8, 'y': 0}, 'goal': {'x': 33.8, 'y': 87.5}}",35,2066,634,shot,
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",True,miss,regular,"{'x': 17.5, 'y': 45.8, 'z': 0}",right-foot,right,"{'x': 0, 'y': 39, 'z': 15.3}",,5430716,10,,563,"{'start': {'x': 45.8, 'y': 17.5}, 'end': {'x': 61, 'y': 0}, 'goal': {'x': 61, 'y': 84.7}}",36,2137,563,shot,
"{'name': 'Skima Togbe', 'firstName': 'Skima Togbe', 'slug': 'skima-togbe', 'shortName': 'S. Togbe', 'position': 'M', 'jerseyNumber': '16', 'userCount': 94, 'gender': 'M', 'id': 1982067, 'fieldTranslations': {'nameTranslation': {'ar': 'سكيما توغبي'}, 'shortNameTranslation': {'ar': 'س. توغبي'}}}",True,block,assisted,"{'x': 23.5, 'y': 33.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 19}","{'x': 14.5, 'y': 40.4, 'z': 0}",5430678,8,,450,"{'start': {'x': 33.8, 'y': 23.5}, 'block': {'x': 40.4, 'y': 14.5}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 81}}",38,2250,450,shot,
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",True,save,assisted,"{'x': 21.1, 'y': 28.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19.6}","{'x': 1.1, 'y': 48, 'z': 0}",5430652,4,,209,"{'start': {'x': 28.4, 'y': 21.1}, 'block': {'x': 48, 'y': 1.1}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 80.4}}",42,2491,209,shot,
