player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Nemanja Tošić', 'slug': 'nemanja-tosic', 'shortName': 'N. Tošić', 'position': 'D', 'jerseyNumber': '44', 'userCount': 100, 'gender': 'M', 'id': 926607, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا توشيتش', 'bn': 'নেমাঞ্জা তোসিচ', 'hi': 'नेमांजा तोसिक'}, 'shortNameTranslation': {'ar': 'ن. توشيتش', 'bn': 'এন. তোশিচ', 'hi': 'एन. तोसिक'}}}",True,miss,corner,"{'x': 7, 'y': 51.3, 'z': 0}",head,high,"{'x': 0, 'y': 51.9, 'z': 65.3}",5976092,90,5.0,5664,"{'start': {'x': 51.3, 'y': 7}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 34.7}}",1,636,264,shot,,
"{'name': 'Milan Pavkov', 'slug': 'milan-pavkov', 'shortName': 'M. Pavkov', 'position': 'F', 'jerseyNumber': '50', 'userCount': 375, 'gender': 'M', 'id': 804183, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان بافكوف', 'bn': 'মিলান পাভকভ', 'hi': 'मिलन पावकोव'}, 'shortNameTranslation': {'ar': 'م. بافكوف', 'bn': 'এম. পাভকোভ', 'hi': 'एम. पावकोव'}}}",True,save,throw-in-set-piece,"{'x': 6.1, 'y': 73, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.3, 'z': 26.6}",5976080,90,4.0,5633,"{'start': {'x': 73, 'y': 6.1}, 'block': {'x': 54.2, 'y': 0}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 73.4}}",1,667,233,shot,"{'x': 0, 'y': 54.2, 'z': 0}",
"{'name': 'Dušan Jovančić', 'firstName': '', 'lastName': '', 'slug': 'dusan-jovancic', 'shortName': 'D.\xa0Jovančić', 'position': 'D', 'jerseyNumber': '77', 'userCount': 61, 'gender': 'M', 'id': 267523, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان جوفانشيتش', 'bn': 'দুসান জোভানসিক', 'hi': 'दुसान जोवान्चीक'}, 'shortNameTranslation': {'ar': 'د. جوفانشيتش', 'bn': 'ডি. জোভানসিক', 'hi': 'डी. जोवान्चीक'}}}",True,miss,throw-in-set-piece,"{'x': 26.5, 'y': 60.3, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 59, 'z': 2.8}",5976072,90,4.0,5630,"{'start': {'x': 60.3, 'y': 26.5}, 'block': {'x': 50.2, 'y': 11.1}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 97.2}}",1,670,230,shot,"{'x': 11.1, 'y': 50.2, 'z': 0}",
"{'name': 'Nemanja Tošić', 'slug': 'nemanja-tosic', 'shortName': 'N. Tošić', 'position': 'D', 'jerseyNumber': '44', 'userCount': 100, 'gender': 'M', 'id': 926607, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا توشيتش', 'bn': 'নেমাঞ্জা তোসিচ', 'hi': 'नेमांजा तोसिक'}, 'shortNameTranslation': {'ar': 'ن. توشيتش', 'bn': 'এন. তোশিচ', 'hi': 'एन. तोसिक'}}}",True,miss,assisted,"{'x': 25, 'y': 35.8, 'z': 0}",left-foot,high,"{'x': 0, 'y': 55.3, 'z': 77.8}",5975846,85,,5041,"{'start': {'x': 35.8, 'y': 25}, 'end': {'x': 44.7, 'y': 0}, 'goal': {'x': 44.7, 'y': 22.2}}",6,359,2341,shot,,
"{'name': 'Filip Matijašević', 'firstName': 'Filip Matijasevic', 'slug': 'filip-matijasevic', 'shortName': 'F. Matijašević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 97, 'gender': 'M', 'id': 1981976, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب ماتيياشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. ماتيياشيفيتش'}}}",True,save,assisted,"{'x': 17.9, 'y': 49, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.4, 'z': 11.4}",5977515,82,,4874,"{'start': {'x': 49, 'y': 17.9}, 'block': {'x': 49.6, 'y': 2.3}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 88.6}}",9,526,2174,shot,"{'x': 2.3, 'y': 49.6, 'z': 0}",
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,miss,set-piece,"{'x': 21.1, 'y': 56, 'z': 0}",right-foot,high,"{'x': 0, 'y': 46.1, 'z': 83.3}",5975804,80,,4774,"{'start': {'x': 56, 'y': 21.1}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 16.7}}",11,626,2074,shot,,
"{'name': 'Milan Pavkov', 'slug': 'milan-pavkov', 'shortName': 'M. Pavkov', 'position': 'F', 'jerseyNumber': '50', 'userCount': 375, 'gender': 'M', 'id': 804183, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان بافكوف', 'bn': 'মিলান পাভকভ', 'hi': 'मिलन पावकोव'}, 'shortNameTranslation': {'ar': 'م. بافكوف', 'bn': 'এম. পাভকোভ', 'hi': 'एम. पावकोव'}}}",True,miss,assisted,"{'x': 14.4, 'y': 47.9, 'z': 0}",head,close-right,"{'x': 0, 'y': 42.7, 'z': 11.1}",5975687,76,,4503,"{'start': {'x': 47.9, 'y': 14.4}, 'block': {'x': 53.4, 'y': 5.4}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 88.9}}",15,897,1803,shot,"{'x': 5.4, 'y': 53.4, 'z': 0}",
"{'name': 'Stefan Stanisavljević', 'slug': 'stefan-stanisavljevic', 'shortName': 'S. Stanisavljević', 'position': 'F', 'jerseyNumber': '18', 'userCount': 77, 'gender': 'M', 'id': 1032770, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستانيسافليفيتش'}, 'shortNameTranslation': {'ar': 'س. ستانيسافليفيتش'}}}",False,miss,set-piece,"{'x': 5.1, 'y': 47.6, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 43.5, 'z': 90.3}",5975793,75,,4462,"{'start': {'x': 47.6, 'y': 5.1}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 9.7}}",16,938,1762,shot,,
"{'name': 'Nemanja Miletić', 'slug': 'nemanja-miletic', 'shortName': 'N. Miletić', 'position': 'D', 'jerseyNumber': '3', 'userCount': 54, 'gender': 'M', 'id': 799179, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلتيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلتيتش'}}}",False,block,throw-in-set-piece,"{'x': 20.7, 'y': 45.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 19}",5975615,66,,3948,"{'start': {'x': 45.6, 'y': 20.7}, 'block': {'x': 45.7, 'y': 17.9}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 81}}",25,1452,1248,shot,"{'x': 17.9, 'y': 45.7, 'z': 0}",
"{'name': 'Stefan Stanisavljević', 'slug': 'stefan-stanisavljevic', 'shortName': 'S. Stanisavljević', 'position': 'F', 'jerseyNumber': '18', 'userCount': 77, 'gender': 'M', 'id': 1032770, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستانيسافليفيتش'}, 'shortNameTranslation': {'ar': 'س. ستانيسافليفيتش'}}}",False,miss,fast-break,"{'x': 16.6, 'y': 51.5, 'z': 0}",right-foot,high,"{'x': 0, 'y': 49.4, 'z': 80.6}",5975453,62,,3682,"{'start': {'x': 51.5, 'y': 16.6}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 19.4}}",29,1718,982,shot,,
