match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,aerialLost,unsuccessfulTouch,shotOffTarget,onTargetScoringAttempt,goals,shotValueNormalized,totalCross,accurateCross,blockedScoringAttempt,keyPass,challengeLost,dispossessed,totalContest,wonContest,totalOffside,bigChanceCreated,bigChanceMissed
14015494,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,24.0,18.0,,,0.0,10.0,11.0,8.0,13.0,5.0,7.0,3.0,,,,,,90.0,42.0,6.1,14.0,,"{'original': 6.1, 'alternative': 6.8}",3,0.1,-0.52,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,12,5,2,3,75.0,,,50.0,,10.0,,1.0,,,1.0,,7.0,6.0,2.0,,,-0.52,,,1.0,1.0,1.0,1.0,2.0,1.0,,,
14015494,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,True,9.0,7.0,,,0.0,1.0,1.0,6.0,8.0,1.0,3.0,,3.0,,,,,45.0,21.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.9}",1,0.13,0.27,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,77.77777777777779,,25.0,,,4.0,,,1.0,,1.0,2.0,1.0,4.0,,1.0,,-0.12,4.0,1.0,,3.0,1.0,,,,,,
14015494,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,5.0,2.0,,,0.0,,,2.0,5.0,2.0,3.0,,2.0,,,,,19.0,10.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.9}",2,-0.04,-0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,40.0,,,,,2.0,,,,,1.0,,1.0,,1.0,1.0,,-0.25,,,,,,,1.0,,1.0,,
14015494,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,15.0,13.0,3.0,2.0,0.0,5.0,6.0,8.0,9.0,2.0,5.0,,4.0,,,,,19.0,23.0,7.0,3.0,,"{'original': 7, 'alternative': 6.9}",1,0.0,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,86.66666666666667,66.66666666666666,,100.0,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,0.01,,,,,,,1.0,1.0,,,
14015494,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,7.0,5.0,2.0,1.0,0.0,2.0,2.0,3.0,5.0,,,,,,,,,19.0,9.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.1,0.0,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,71.42857142857143,50.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
14015494,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,29.0,19.0,18.0,8.0,0.0,16.0,17.0,3.0,12.0,,,1.0,10.0,,2.0,5.0,1.0,90.0,43.0,7.3,10.0,0.389,"{'original': 7.3, 'alternative': 7.2}",0,0.07,0.0,0.17,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,65.51724137931035,44.44444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,5149,FK Novi Pazar,1152937,Dragan Bojat,dragan-bojat,D,2,False,37.0,35.0,4.0,2.0,0.0,21.0,22.0,14.0,15.0,,5.0,4.0,1.0,,,,,90.0,69.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7}",0,0.1,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,5,1,94.5945945945946,50.0,,100.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,4.0,,,,,1.0,3.0,3.0,,,
14015494,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,36.0,32.0,4.0,1.0,0.0,24.0,26.0,8.0,10.0,5.0,7.0,5.0,3.0,,,,,90.0,49.0,6.7,5.0,,"{'original': 6.7, 'alternative': 7}",0,0.02,0.0,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,14,3,2,1,88.88888888888889,25.0,,,,10.0,1.0,,1.0,1.0,1.0,1.0,9.0,1.0,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,52.0,46.0,7.0,6.0,1.0,21.0,24.0,25.0,28.0,1.0,4.0,3.0,7.0,,,,,90.0,78.0,7.5,18.0,,"{'original': 7.5, 'alternative': 7.7}",1,0.47,0.32,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,88.46153846153845,85.71428571428571,10.0,,,2.0,,1.0,,,3.0,,1.0,,,,,-0.17,10.0,1.0,1.0,3.0,,,1.0,,,1.0,
14015494,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,False,9.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,8.0,1.0,3.0,3.0,1.0,,,,,45.0,18.0,7.0,2.0,,"{'original': 7, 'alternative': 6.8}",0,0.16,0.04,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,77.77777777777779,100.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,45.0,35.0,7.0,3.0,0.0,13.0,16.0,22.0,29.0,1.0,5.0,1.0,7.0,,,,,90.0,59.0,6.5,14.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.15,0.3,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,4,8,77.77777777777779,42.857142857142854,,50.0,,10.0,,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,-0.07,1.0,,,1.0,3.0,2.0,2.0,1.0,,,
14015494,away,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,M,6,False,36.0,28.0,2.0,,0.0,20.0,21.0,8.0,15.0,2.0,3.0,1.0,8.0,,,,,90.0,49.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.1,0.13,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,77.77777777777779,,,,,5.0,,2.0,,,1.0,1.0,,,1.0,,,-0.03,1.0,,,,2.0,2.0,,,,,
14015494,away,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,M,11,False,12.0,9.0,1.0,,0.0,3.0,5.0,6.0,7.0,,,,1.0,,,,,45.0,17.0,6.3,4.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.17,0.06,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
14015494,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,16.0,11.0,1.0,,0.0,4.0,4.0,7.0,12.0,1.0,6.0,,1.0,,,,,84.0,33.0,7.1,12.0,,"{'original': 7.1, 'alternative': 7.5}",3,-0.66,-0.6,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,68.75,,,66.66666666666666,,5.0,1.0,,,,3.0,2.0,1.0,3.0,1.0,2.0,1.0,0.52,2.0,,,,,1.0,3.0,2.0,2.0,,
14015494,away,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,18.0,15.0,1.0,1.0,0.0,5.0,6.0,10.0,12.0,1.0,3.0,2.0,5.0,,,,,90.0,42.0,6.3,15.0,,"{'original': 6.3, 'alternative': 6.7}",1,0.01,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,83.33333333333334,100.0,,,,8.0,,,1.0,1.0,1.0,2.0,3.0,4.0,,1.0,,0.01,1.0,,,1.0,,1.0,3.0,,,,
14015494,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,11.0,7.0,,,0.0,3.0,4.0,4.0,7.0,2.0,4.0,5.0,1.0,,,,,90.0,24.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",2,0.03,0.11,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,2,2,63.63636363636363,,,,,6.0,,,,,2.0,1.0,4.0,3.0,2.0,,,-0.56,,,,,,1.0,,,1.0,,1.0
14015494,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,13.0,9.0,,,0.0,1.0,1.0,8.0,12.0,1.0,2.0,,1.0,,,,,45.0,22.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.6}",1,0.0,0.14,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,69.23076923076923,,50.0,33.33333333333333,,5.0,,,,,,,2.0,1.0,,1.0,,-0.13,2.0,1.0,,,,1.0,3.0,1.0,,,
14015494,away,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,16.0,12.0,3.0,2.0,0.0,7.0,10.0,5.0,6.0,2.0,2.0,5.0,,,,,,45.0,22.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.06,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,75.0,66.66666666666666,,,,4.0,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,1.0,,,,,11.0,3.0,6.6,,,"{'original': 6.6, 'alternative': 6.5}",0,0.01,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015494,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
